0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66126 11122	6	 * 	302.54	DCR|5VULN|3DMG|1CDMG	1RCVC|24569VULN|345DMG|456BPWR|7LIT|8RCR|aCDMG
2	66126 13132	10	   	296.83	DCR|5VULN|3DMG|1DUR	1RCVC|24569VULN|345DMG|456BPWR|7BELT|8DUR|aRCR
3	66233 25232	7	 * 	290.97	DCR|3VULN|3DMG|3DUR	1RCVC|29aVULN|3MLV|49aDUR|5LHND|6RCR|7LIT|89aDMG|9aBPWR
4	66126 33111	5	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	1RCVC|2459VULN|345DMG|45BPWR|6RCR|7TLV|8CDMG|aMLV
5	66126 33112	5	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	1RCVC|2459VULN|345DMG|45BPWR|6RCR|7TLV|8CDMG|aBEXP
6	66126 33113	5	   	290.84	DCR|4VULN|3DMG|1TLV|1CDMG	1RCVC|2459VULN|345DMG|45BPWR|6RCR|7TLV|8CDMG|aDUST
7	66126 11123	6	   	288.89	DCR|5VULN|3DMG	1RCVC|24569VULN|345DMG|456BPWR|7LIT|8RCR|aCGEN
8	66126 11121	6	   	288.79	DCR|5VULN|3DMG	1RCVC|24569VULN|345DMG|456BPWR|7LIT|8RCR|aLEGI
9	66126 24322	7	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	1RCVC|245VULN|345DMG|45BPWR|6MBVNT|7CDMG|8aDUR|9RCR
10	66126 32211	9	   	280.78	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45aBPWR|6aLWND|7RCR|9aLHND
11	66126 32221	8	   	280.78	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45aBPWR|6aLWND|7RCR|9aFEWX
12	66126 32311	5	   	280.78	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45aBPWR|6RCR|7aFEWX|9aLWND
13	66126 32321	7	   	280.78	DCR|5VULN|3DMG	1RCVC|2458aVULN|345DMG|45aBPWR|6aLWND|7RCR|9aFEWX
