0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21156 22236	4	 * 	285.89	DCR|4VULN|2DMG|2DUR|1AART	19CGEN|2aDUR|3AART|4579VULN|69DMG|8RCR|9BPWR
2	62232 61224	5	 * 	285.41	DCR|4VULN|3DUR|1DMG|1CDMG	1FEWX|256aVULN|345DUR|5BPWR|7CDMG|8DMG|9RCR
3	11131 16326	4	 * 	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1RCVC|25aVULN|38aDUR|4CGEN|6RCR|7TLV|9aDMG|aBPWR
4	11522 16326	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1RCVC|23aVULN|48aDUR|5CGEN|6RCR|7TLV|9aDMG|aBPWR
5	11432 16431	3	 * 	281.62	DCR|4VULN|3DUR|2TLV|1AART	1RCVC|247aVULN|37TLV|5AART|67aDUR|7aBPWR|8RCR|9aLWND
6	11532 16431	2	   	281.62	DCR|4VULN|3DUR|2TLV|1AART	1RCVC|237aVULN|47TLV|5AART|67aDUR|7aBPWR|8RCR|9aLWND
7	12462 51223	8	   	281.60	DCR|4VULN|3DUR|1TLV|1CDMG	1RCVC|2DUST|356aVULN|456DUR|56BPWR|7TLV|8RCR|9CDMG
8	15262 11242	5	 * 	279.79	DCR|5VULN|2DMG|2LIT	1RCVC|2RPLT|34579VULN|69DMG|89LIT|9BPWR|aRCR
9	11432 21151	3	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1RCVC|24aVULN|3TLV|5AART|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
10	11532 21151	2	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1RCVC|23aVULN|4TLV|5AART|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
11	16532 21151	1	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1RCVC|23aVULN|4TLV|5AART|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
12	32232 18523	9	 * 	278.00	DCR|4VULN|3DUR|3CDMG	19aBEXP|259aVULN|345DUR|59aBPWR|6MBVNT|79aCDMG|8RCR
13	62232 18523	9	   	278.00	DCR|4VULN|3DUR|3CDMG	19aFEWX|259aVULN|345DUR|59aBPWR|6MBVNT|79aCDMG|8RCR
14	21152 22236	4	   	276.47	DCR|3VULN|3DUR|2DMG|1AART	19CGEN|25aDUR|3AART|479VULN|69DMG|8RCR|9BPWR
15	51152 22236	4	   	276.47	DCR|3VULN|3DUR|2DMG|1AART	19MLV|25aDUR|3AART|479VULN|69DMG|8RCR|9BPWR
16	62232 62153	5	   	275.01	DCR|4VULN|3DUR|1CDMG|1AART	1FEWX|2567VULN|345DUR|5BPWR|8CDMG|9AART|aRCR
17	62223 35242	3	   	274.40	DCR|5VULN|1DMG|1DUR|1ASPD	1FEWX|2789aVULN|3DUR|4ASPD|5DMG|6RCR
18	62223 34242	3	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1FEWX|289aVULN|3DUR|4ASPD|57DMG|6RCR
19	32232 14378	10	   	271.66	DCR|4VULN|3DUR|1DMG	1BEXP|2579VULN|345DUR|5BPWR|6MBVNT|8RCR|aDMG
20	62232 52224	5	   	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1FEWX|257aVULN|345DUR|5BPWR|6SELL|8DMG|9RCR
21	21156 22231	4	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	19CGEN|2DUR|3AART|4579VULN|69DMG|8RCR|9BPWR|aRPLT
22	21156 22232	4	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	19CGEN|2DUR|3AART|4579VULN|69DMG|8RCR|9BPWR|aMLV
23	21156 22233	4	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	19CGEN|2DUR|3AART|4579VULN|69DMG|8RCR|9BPWR|aZMB
24	51152 22234	5	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	159MLV|2DUR|3AART|479aVULN|69DMG|8RCR|9BPWR
25	21156 22234	4	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	19CGEN|2DUR|3AART|4579VULN|69DMG|8RCR|9BPWR|aTBNT
26	21156 22235	4	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	19CGEN|2DUR|3AART|4579VULN|69DMG|8RCR|9BPWR|aMBVNT
27	62232 61225	5	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	1FEWX|256VULN|345DUR|5BPWR|7CDMG|8DMG|9RCR|aLIT
