0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25225 52123	8	 * 	299.97	DCR|3VULN|3DMG|3ASPD|2DUR	17DUR|289DMG|37aASPD|457VULN|6RCR|7BPWR
2	22225 52134	10	 * 	299.39	DCR|5VULN|2DUR|2ASPD|1DMG	17DUR|2ZMB|37ASPD|4579aVULN|6RCR|7BPWR|8DMG
3	25225 52113	10	   	298.76	DCR|3VULN|3DMG|2DUR|2ASPD	17DUR|28aDMG|37ASPD|457VULN|6RCR|7BPWR|9LIT
4	22225 52135	10	   	296.10	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	17DUR|2ZMB|37ASPD|4579VULN|6RCR|7BPWR|8DMG|aTLV
5	22225 52132	10	   	293.50	DCR|4VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2ZMB|37ASPD|4579VULN|6RCR|7BPWR|8DMG|aCDMG
6	25225 52221	8	 * 	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|4579VULN|6RCR|7BPWR|aRPLT
7	25225 52222	8	   	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|4579VULN|6RCR|7BPWR|aRMIN
8	25225 52223	8	   	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|4579VULN|6RCR|7BPWR|aZMB
9	25225 52233	10	   	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|457aVULN|6RCR|7BPWR|9LHND
10	25225 52213	10	   	292.98	DCR|4VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|457aVULN|6RCR|7BPWR|9LEGI
11	23511 65123	1	   	292.62	DCR|3VULN|2DMG|3ASPD|2DUR	18DUR|25aASPD|3BBNT|458VULN|58BPWR|6RCR|78DMG|9LIT
12	25225 52112	9	   	292.62	DCR|3VULN|2DMG|3ASPD|2DUR	17DUR|28DMG|37aASPD|457VULN|6RCR|7BPWR|9LIT
13	22425 52111	9	 * 	291.88	DCR|4VULN|3DMG|2DUR	17DUR|2ZMB|378DMG|457aVULN|6RCR|7BPWR|9BELT
14	22425 52111	10	   	291.88	DCR|4VULN|3DMG|2DUR	17DUR|2ZMB|378DMG|457aVULN|6RCR|7BPWR|9BELT
15	22425 52121	8	   	291.88	DCR|4VULN|3DMG|2DUR	17DUR|2ZMB|378DMG|457aVULN|6RCR|7BPWR|9BELT
16	25165 12322	9	 * 	291.37	DCR|3VULN|3DUR|2DMG|1TLV	167DUR|27DMG|3LHND|4TLV|57aVULN|7BPWR|8RCR|9LIT
17	22225 52113	8	   	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	17DUR|2ZMB|37ASPD|457VULN|6RCR|7BPWR|8aDMG|9TLV
18	25225 52122	8	   	290.45	DCR|3VULN|3DMG|2DUR|2ASPD	17DUR|289DMG|37ASPD|457VULN|6RCR|7BPWR|aRCVC
19	22425 52221	8	 * 	289.45	DCR|4VULN|3DUR|2DMG	178DUR|2ZMB|37DMG|4579VULN|6RCR|7BPWR|aRPLT
20	22425 52222	8	   	289.45	DCR|4VULN|3DUR|2DMG	178DUR|2ZMB|37DMG|4579VULN|6RCR|7BPWR|aRMIN
21	22425 52223	8	   	289.45	DCR|4VULN|3DUR|2DMG	178DUR|2aZMB|37DMG|4579VULN|6RCR|7BPWR
22	22425 52233	10	   	289.45	DCR|4VULN|3DUR|2DMG	178DUR|2ZMB|37DMG|457aVULN|6RCR|7BPWR|9LHND
23	22425 52213	10	   	289.35	DCR|4VULN|3DUR|2DMG	178DUR|2ZMB|37DMG|457aVULN|6RCR|7BPWR|9LEGI
24	22225 52142	10	   	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	17DUR|2ZMB|37ASPD|457VULN|6RCR|7BPWR|89DMG|aCDMG
25	25225 52333	10	   	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	17DUR|2aDMG|37ASPD|457VULN|6RCR|7BPWR|8FEWX|9CDMG
26	25225 52122	10	   	288.35	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	17DUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9ERES|aCDMG
27	23511 65131	1	 * 	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	189DUR|25ASPD|3BBNT|458VULN|58BPWR|6RCR|78DMG|aBEXP
28	23511 65132	1	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	189DUR|25ASPD|3BBNT|458VULN|58BPWR|6RCR|78DMG|aCGEN
29	23511 65133	1	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	189DUR|25ASPD|3BBNT|458VULN|58BPWR|6RCR|78DMG|aLWND
30	23511 65111	1	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	18aDUR|25ASPD|3BBNT|458VULN|58BPWR|6RCR|78DMG|9RCVC
31	23363 36251	1	   	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	18aDUR|24ASPD|378VULN|58DMG|6BBNT|8BPWR|9RCR
32	25225 52113	8	   	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	17aDUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9DUST
33	22225 52114	8	   	287.11	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	17DUR|2ZMB|37ASPD|457VULN|6RCR|7BPWR|8DMG|9TLV|aCDMG
34	21425 61333	10	   	286.19	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	1DUR|2RMIN|36DMG|4569VULN|6BPWR|7CDMG|8ASPD|aRCR
35	25225 52131	10	   	284.32	DCR|3VULN|2DMG|3ASPD|2DUR	17DUR|28DMG|37aASPD|457VULN|6RCR|7BPWR|9RPLT
36	25225 52133	8	   	284.32	DCR|3VULN|2DMG|3ASPD|2DUR	17DUR|28DMG|37aASPD|457VULN|6RCR|7BPWR|9LWND
37	25225 52211	8	   	284.08	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	178DUR|2DMG|37ASPD|457VULN|6RCR|7BPWR|9CDMG|aRCVC
38	25225 52213	8	   	284.08	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	178DUR|2DMG|37ASPD|457VULN|6RCR|7BPWR|9CDMG|aRMIN
39	25212 52214	8	   	284.08	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	178DUR|2DMG|37ASPD|4RCVC|57aVULN|6RCR|7BPWR|9CDMG
40	25225 52212	8	   	283.98	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	178DUR|2DMG|37ASPD|457VULN|6RCR|7BPWR|9CDMG|aTBNT
41	25225 52132	9	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9RPLT|aLIT
42	25225 52111	10	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9LIT|aLWND
43	25225 52113	9	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9LIT|aLWND
44	23511 65121	1	   	283.00	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|25ASPD|3BBNT|458VULN|58BPWR|6RCR|78DMG|9LIT|aERES
45	25225 52111	9	   	283.00	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9LIT|aTBNT
46	25225 52112	10	   	283.00	DCR|3VULN|2DMG|2DUR|2ASPD	17DUR|28DMG|37ASPD|457VULN|6RCR|7BPWR|9LIT|aERES
47	25165 12312	10	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	167DUR|27DMG|3LHND|4TLV|57aVULN|7BPWR|8RCR|9LEGI
48	22425 52111	8	 * 	282.46	DCR|3VULN|3DMG|3DUR	17aDUR|2ZMB|378DMG|457VULN|6RCR|7BPWR|9LHND
49	22425 52131	10	   	282.46	DCR|3VULN|3DMG|3DUR	17aDUR|2ZMB|378DMG|457VULN|6RCR|7BPWR|9LHND
50	22425 52131	9	   	282.46	DCR|3VULN|3DMG|3DUR	17aDUR|2ZMB|378DMG|457VULN|6RCR|7BPWR|9LHND
51	22425 52211	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	178DUR|2ZMB|37DMG|457VULN|6RCR|7BPWR|9CDMG|aRCVC
52	22425 52213	8	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	178DUR|2ZMB|37DMG|457VULN|6RCR|7BPWR|9CDMG|aRMIN
53	25225 52331	10	   	280.38	DCR|3VULN|3ASPD|2DUR|1DMG|1CDMG	17DUR|2DMG|37aASPD|457VULN|6RCR|7BPWR|8FEWX|9CDMG
54	22425 52212	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	178DUR|2ZMB|37DMG|457VULN|6RCR|7BPWR|9CDMG|aTBNT
55	22425 52133	8	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	17DUR|2ZMB|378DMG|457VULN|6RCR|7BPWR|9DMSP|aASPD
