0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51642 22131	10	 * 	292.65	DCR|4VULN|3DMG|3DUR	178DMG|2DUST|3RPLT|4789VULN|5RCVC|678DUR|78BPWR|aRCR
2	51117 52443	1	   	289.47	DCR|3VULN|3DMG|3DUR|1AART	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9AART|aASPD
3	21117 52451	1	 * 	289.03	DCR|4VULN|3DUR|1TLV|3ASPD	178ASPD|2MBVNT|378DUR|478aVULN|5TBNT|6RCR|78BPWR|9TLV
4	21117 52453	1	 * 	288.04	DCR|3VULN|3DUR|1TLV|3ASPD|1DMG	178ASPD|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9TLV|aDMG
5	51114 14852	1	 * 	285.86	DCR|5VULN|3DUR|1DMG	1DMG|2MBVNT|356DUR|4569aVULN|56BPWR|7LIT|8RCR
6	51114 13741	1	 * 	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|4568VULN|56BPWR|7TLV|9BEXP|aRCR
7	51114 13771	1	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|4568VULN|56BPWR|7TLV|9FEWX|aRCR
8	51114 13781	1	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|4568VULN|56BPWR|7TLV|9LHND|aRCR
9	51114 14851	1	   	285.10	DCR|4VULN|3DUR|2DMG	1aDMG|2MBVNT|356DUR|4569VULN|56BPWR|7LIT|8RCR
10	21117 52461	1	 * 	282.89	DCR|4VULN|3DUR|3ASPD|1DMG	178ASPD|2MBVNT|378DUR|4789VULN|5TBNT|6RCR|78BPWR|aDMG
11	51117 52442	1	   	281.16	DCR|3VULN|3DMG|3DUR|1AART	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9AART|aFEWX
12	51117 52444	1	   	281.16	DCR|3VULN|3DMG|3DUR|1AART	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9AART|aLWND
13	51117 52411	1	   	279.81	DCR|3VULN|3DMG|3DUR	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9RCVC|aASPD
14	51117 52423	1	   	279.81	DCR|3VULN|3DMG|3DUR	178DMG|2MBVNT|378DUR|478VULN|5TBNT|6RCR|78BPWR|9FEWX|aASPD
15	51114 13524	1	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8CDMG|9FEWX|aRCR
16	51114 13564	1	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1DMG|2MBVNT|356DUR|456VULN|56BPWR|7TLV|8CDMG|9LWND|aRCR
17	51114 12672	1	   	277.45	DCR|5VULN|3DUR|1DMG	1DMG|2MBVNT|356DUR|45689VULN|56BPWR|7BBNT|aRCR
18	51114 12314	1	   	276.70	DCR|4VULN|3DUR|2DMG	1aDMG|2MBVNT|356DUR|456aVULN|56aBPWR|7BBNT|8aERES|9RCR
19	21114 14851	1	   	275.82	DCR|4VULN|3DUR|1DMG	1ASPD|2MBVNT|356DUR|4569VULN|56BPWR|7LIT|8RCR|aDMG
20	21114 13741	1	   	273.66	DCR|4VULN|3DUR|1TLV	1ASPD|2MBVNT|356DUR|4568VULN|56BPWR|7TLV|9BEXP|aRCR
