0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63331 64333	10	 * 	300.45	DCR|4VULN|3DUR|2DMG|1ASPD	135DUR|236aVULN|36BPWR|46DMG|7FEWX|8RCR|9ASPD
2	63331 64332	10	   	291.46	DCR|3VULN|3DUR|2DMG|1CDMG|1ASPD	135DUR|236VULN|36BPWR|46DMG|7FEWX|8RCR|9ASPD|aCDMG
3	63331 64322	8	   	291.37	DCR|3VULN|3DUR|2DMG|1TLV	135DUR|236VULN|36BPWR|46DMG|7FEWX|8RCR|9LIT|aTLV
4	63331 33436	7	 * 	291.30	DCR|5VULN|3DUR|1DMG	135DUR|2379aVULN|3BPWR|4DMG|6BEXP|8RCR
5	63331 13436	7	   	291.20	DCR|5VULN|3DUR|1DMG	135DUR|2379aVULN|3BPWR|4DMG|6DUST|8RCR
6	63331 64323	8	 * 	290.77	DCR|3VULN|3DMG|3DUR	135DUR|236VULN|36BPWR|46aDMG|7FEWX|8RCR|9LIT
7	63332 14432	6	   	289.45	DCR|4VULN|3DUR|2DMG	137DUR|2379VULN|37BPWR|47DMG|5RCVC|6LEGI|8RCR|aFEWX
8	63331 61432	6	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7LWND|8RCR|aFEWX
9	63331 61631	10	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|236aVULN|36BPWR|46DMG|79MLV|8RCR
10	63331 62432	7	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7BEXP|8RCR|aBELT
11	63331 62433	7	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7aBEXP|8RCR
12	63331 64322	9	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|236aVULN|36BPWR|46DMG|7FEWX|8RCR|9RPLT
13	63331 64332	8	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7FEWX|8RCR|aBELT
14	63331 64333	8	   	289.45	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7FEWX|8RCR|aBEXP
15	63331 33416	7	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|237aVULN|3BPWR|49DMG|6BEXP|8RCR
16	63331 33436	6	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|239aVULN|3BPWR|47DMG|6BEXP|8RCR
17	63331 63432	7	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7DUST|8RCR|aBELT
18	63331 63433	7	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7DUST|8RCR|aBEXP
19	63332 14431	6	   	289.35	DCR|4VULN|3DUR|2DMG	137DUR|2379VULN|37BPWR|47DMG|5RCVC|6LEGI|8RCR|aERES
20	63332 14433	6	   	289.35	DCR|4VULN|3DUR|2DMG	137DUR|2379VULN|37BPWR|47DMG|5RCVC|6LEGI|8RCR|aDUST
21	63331 61431	6	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7LWND|8RCR|aERES
22	63331 61433	6	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7LWND|8RCR|aDUST
23	63331 62431	7	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7BEXP|8RCR|aERES
24	63331 64331	8	   	289.35	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7FEWX|8RCR|aERES
25	63331 13416	7	   	289.25	DCR|4VULN|3DUR|2DMG	135DUR|237aVULN|3BPWR|49DMG|6DUST|8RCR
26	63331 13436	6	   	289.25	DCR|4VULN|3DUR|2DMG	135DUR|239aVULN|3BPWR|47DMG|6DUST|8RCR
27	63331 63431	7	   	289.25	DCR|4VULN|3DUR|2DMG	135DUR|2369VULN|36BPWR|46DMG|7DUST|8RCR|aERES
28	63333 23436	4	   	289.25	DCR|4VULN|3DUR|2DMG	136DUR|239aVULN|36BPWR|47DMG|56DUST|8RCR
29	63336 21115	5	   	288.44	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	13DUR|2367VULN|3BPWR|4DMG|5TLV|8CDMG|9BEXP|aRCR
30	63336 21125	5	   	288.44	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	13DUR|2367VULN|3BPWR|4DMG|5TLV|8CDMG|9LHND|aRCR
