0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26251 33633	4	 * 	305.20	橙4易伤3伤害3时间	145a易伤2平台345伤害45a序列升级6立即金币78a时间9核
2	21321 63162	2	 * 	295.86	橙5易伤2伤害2时间	1389a易伤23时间39序列升级49伤害579低血量敌人6核
3	26253 61223	8	   	295.25	橙3易伤3伤害2时间1等级	149易伤2平台349伤害49序列升级5最后敌人6全技能7等级89时间a核
4	21322 62244	2	   	291.88	橙4易伤3伤害2时间	1369易伤23时间39序列升级479伤害5赏金塔89最后敌人a核
5	21322 62144	2	   	291.68	橙4易伤3伤害2时间	1369易伤23时间39序列升级479伤害5赏金塔89挖尘a核
6	25611 26332	10	   	289.81	橙4易伤2伤害2暴击1时间	1379易伤2雷电49伤害5掉矿6时间89暴击9序列升级a核
7	21333 15216	2	 * 	289.26	橙4易伤3时间2攻速1等级	137a易伤237时间37序列升级4金币生成5掉矿67攻速8核9等级
8	26551 31233	8	 * 	288.85	橙5易伤3攻速2时间	1456a易伤2平台347攻速4a序列升级8a时间9核
9	21323 35216	2	   	288.11	橙4易伤3时间1伤害1等级	137a易伤237时间37序列升级4伤害5掉矿67金币生成8核9等级
10	21325 13116	2	   	288.01	橙4易伤3时间1伤害1等级	138a易伤235时间3序列升级4伤害6核7最后敌人9等级
11	21325 13156	2	   	288.01	橙4易伤3时间1伤害1等级	1389易伤235时间3序列升级4伤害6核7最后敌人a等级
12	21325 41216	2	   	288.01	橙4易伤3时间1伤害1等级	136a易伤235时间3序列升级4伤害7敌人爆炸8核9等级
13	21325 42216	2	   	288.01	橙4易伤3时间1伤害1等级	136a易伤235时间3序列升级4伤害7最后敌人8核9等级
14	21325 14116	2	   	287.91	橙4易伤3时间1伤害1等级	138a易伤235时间3序列升级4伤害6核7挖尘9等级
15	21321 63166	2	   	287.33	橙4易伤2伤害2时间1攻速	1389易伤23时间39序列升级49伤害579低血量敌人6核a攻速
16	21325 11163	2	   	286.87	橙3易伤3时间2伤害2等级	13a易伤235时间3a序列升级4a伤害6核7a等级8平台9双倍矿
17	21662 11523	5	   	286.77	橙3易伤3时间2伤害3等级	14a易伤234时间4a序列升级57a等级6核8平台9a伤害
18	21663 11523	4	   	286.77	橙3易伤3时间2伤害3等级	14a易伤234时间4a序列升级57a等级6核8平台9a伤害
19	21325 43511	2	   	285.31	橙4易伤3时间1伤害1暴击	1367易伤235时间3序列升级4伤害8暴击9赏金塔a核
20	21321 64633	2	   	284.63	橙4易伤2伤害2时间	138a易伤23时间3a序列升级4a伤害5低血量敌人6核7雷电9a矿等
21	21321 64611	2	   	283.09	橙4易伤2时间1伤害1等级	1389易伤23时间3序列升级4伤害5低血量敌人6核7雷电a等级
22	21325 13166	2	   	282.77	橙4易伤3时间1伤害1攻速	138a易伤235时间3序列升级4伤害6核7最后敌人9攻速
23	26231 43633	2	   	282.46	橙3易伤3伤害3时间	15a易伤2平台3立即金币456伤害5a序列升级78a时间9核
24	21321 64343	2	   	281.95	橙3易伤2伤害2时间2等级	13a易伤23时间3a序列升级4a伤害58低血量敌人6核7雷电9a等级
25	25611 24332	10	   	281.75	橙3易伤2伤害2时间2暴击	139易伤2雷电49伤害5掉矿67时间89暴击9序列升级a核
26	21235 63162	4	   	281.18	橙5易伤2伤害1时间	1489a易伤2时间379低血量敌人59伤害6核9序列升级
27	21235 63162	5	   	281.18	橙5易伤2伤害1时间	1489a易伤2时间379低血量敌人59伤害6核9序列升级
28	21621 63162	2	   	281.18	橙5易伤2伤害1时间	1389a易伤2时间49伤害579低血量敌人6核9序列升级
29	26251 33333	10	   	281.08	橙5易伤2伤害1等级	14569易伤2平台34伤害4序列升级7最后敌人8核a等级
30	26251 35333	10	   	281.08	橙5易伤2伤害1等级	14569易伤2平台34伤害4序列升级7低血量敌人8核a等级
31	26251 32132	10	   	281.08	橙5易伤2伤害1等级	14567易伤2平台34伤害4序列升级8策反9等级a核
32	26251 34333	10	   	280.98	橙5易伤2伤害1等级	14569易伤2平台34伤害4序列升级7挖尘8核a等级
33	21323 61256	2	   	280.64	橙3易伤2伤害2时间1等级1攻速	136易伤23时间36序列升级48伤害56掉矿7攻速9等级a核
34	26251 33313	8	 * 	280.58	橙5易伤3伤害	1456a易伤2平台349伤害4a序列升级7a最后敌人8核
35	26251 33334	9	   	280.58	橙5易伤3伤害	14569易伤2平台34a伤害4a序列升级7a最后敌人8核
36	26251 35313	8	   	280.58	橙5易伤3伤害	1456a易伤2平台349伤害4a序列升级7a低血量敌人8核
37	26251 33314	8	   	280.48	橙5易伤3伤害	1456a易伤2平台349伤害4序列升级7最后敌人8核
38	26251 52423	7	   	280.38	橙5易伤3伤害	1459a易伤2平台347伤害4a序列升级6加一8核
39	26251 34313	8	   	280.38	橙5易伤3伤害	1456a易伤2平台349伤害4a序列升级7a挖尘8核
40	21663 31216	5	   	278.95	橙4易伤3时间1等级1攻速	145a易伤234时间45序列升级6攻速7敌人爆炸8核9等级
41	21663 32216	5	   	278.95	橙4易伤3时间1等级1攻速	145a易伤234时间45序列升级6攻速7最后敌人8核9等级
42	21111 11414	9	   	278.60	橙4易伤2时间1伤害2暴击	1679易伤29时间3矿等4平台5伤害89暴击9序列升级a核
43	21111 11464	8	   	278.60	橙4易伤2时间1伤害2暴击	1679易伤29时间3矿等4平台5伤害89暴击9序列升级a核
44	12121 32455	1	   	278.40	橙4易伤2时间3雷电2等级	129雷电269序列升级3赏金邻近46时间569a易伤79等级8核
45	23325 16312	9	   	278.26	橙4易伤2时间2暴击1伤害1卖塔	139a易伤2卖塔49暴击5伤害6掉矿79时间8核9序列升级
46	23325 16314	10	   	278.26	橙4易伤2时间2暴击1伤害1卖塔	139a易伤2卖塔49暴击5伤害6掉矿79时间8核9序列升级
47	23325 16362	8	   	278.26	橙4易伤2时间2暴击1伤害1卖塔	139a易伤2卖塔49暴击5伤害6掉矿79时间8核9序列升级
48	21325 11322	2	   	278.01	橙2易伤3时间2伤害1等级1暴击	13易伤235时间3序列升级4a伤害6核7等级8雷电9暴击
49	23142 31632	7	   	277.73	橙5易伤2时间2暴击1卖塔	1579a易伤2卖塔36时间46暴击6序列升级8核
50	26251 12236	4	   	277.29	橙4易伤3伤害1时间	1459易伤2平台345伤害45序列升级6时间7基地爆炸8策反a核
51	26251 23236	4	   	277.19	橙4易伤3伤害1时间	1459易伤2平台345伤害45序列升级6挖尘7时间8策反a核
52	21325 15116	2	   	276.38	橙3易伤3时间1伤害1等级1攻速	13a易伤235时间3序列升级4伤害6核7攻速8策反9等级
53	21321 63161	2	   	276.32	橙4易伤2伤害2时间	1389易伤23时间39序列升级49伤害579低血量敌人6核a基地爆炸
54	21321 63164	2	   	276.32	橙4易伤2伤害2时间	1389易伤23时间39序列升级49伤害579低血量敌人6核a策反
55	21321 63165	2	   	276.32	橙4易伤2伤害2时间	1389易伤23时间39序列升级49伤害579低血量敌人6核a敌人爆炸
56	21321 63662	2	   	276.32	橙4易伤2伤害2时间	139a易伤23时间39序列升级49伤害579低血量敌人6核8立即金币
57	21662 43331	5	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9雷电a平台
58	21662 43332	5	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9雷电a立即金币
59	21662 43333	5	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9雷电a策反
60	21663 43331	4	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9雷电a平台
61	21663 43332	4	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9雷电a立即金币
62	21663 43333	4	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9雷电a策反
63	21662 43321	5	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9双倍矿a雷电
64	21663 43321	4	   	276.26	橙4易伤3时间1等级	1467易伤234时间4序列升级5等级8核9双倍矿a雷电
65	21663 33511	5	   	276.25	橙4易伤3时间1暴击1攻速	1457易伤234时间45序列升级6攻速8暴击9赏金塔a核
66	21321 63163	2	   	276.22	橙4易伤2伤害2时间	1389易伤23时间39序列升级49伤害579低血量敌人6核a挖尘
67	21621 63162	3	   	276.22	橙4易伤2伤害2时间	189a易伤23时间49伤害579低血量敌人6核9序列升级
68	26551 12133	6	 * 	276.02	橙4易伤2伤害3攻速	1459易伤2平台348攻速4序列升级67伤害a核
69	26251 16133	6	   	276.02	橙4易伤2伤害3攻速	1459易伤2平台34伤害4序列升级678攻速a核
