0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51611 13251	1	 * 	266.58	橙3易伤3伤害2时间	1平台28a易伤3额外掉落4雷电56a伤害7a时间9核a序列升级
2	13225 43316	1	 * 	259.22	橙5易伤2时间2雷电	17低血量敌人2挖青35时间45789易伤57序列升级67雷电a核
3	12225 36313	1	 * 	257.40	橙4易伤1等级1伤害1时间	1低血量敌人2467易伤3时间5赏金邻近8核9等级a伤害
4	12234 36313	1	   	257.40	橙4易伤1等级1伤害1时间	1低血量敌人2567易伤3时间4赏金邻近8核9等级a伤害
5	42235 36313	1	   	257.40	橙4易伤1等级1伤害1时间	1基地爆炸2467易伤3时间5赏金邻近8核9等级a伤害
6	62235 36313	1	   	257.40	橙4易伤1等级1伤害1时间	1敌人爆炸2467易伤3时间5赏金邻近8核9等级a伤害
7	53131 33141	9	 * 	255.73	橙3易伤2伤害2等级1全技能	1平台29敌人爆炸358易伤49等级69伤害7全技能9序列升级a核
8	62131 33141	9	   	255.73	橙3易伤2伤害2等级1全技能	19敌人爆炸2平台358易伤49等级69伤害7全技能9序列升级a核
9	11241 24631	10	 * 	254.28	橙3易伤2伤害3等级	19低血量敌人2雷电357等级49a易伤69伤害8核9序列升级
10	11241 45331	10	   	254.28	橙3易伤2伤害3等级	19低血量敌人2雷电357等级49a易伤6核89伤害9序列升级
11	13225 43326	1	 * 	254.10	橙4易伤3时间2雷电	17低血量敌人2挖青359时间4578易伤57序列升级67雷电a核
12	41243 41323	6	   	254.05	橙4易伤1等级1时间	1基地爆炸2雷电3等级457a易伤6核8攻速9时间
13	16633 32234	7	 * 	253.32	橙2易伤3时间1等级1伤害1暴击	13低血量敌人235时间3序列升级4暴击6伤害79易伤8核a等级
14	16533 32234	7	   	253.22	橙2易伤3时间1等级1伤害1暴击	1低血量敌人235时间4暴击6伤害79易伤8核a等级
15	11241 41163	6	   	252.84	橙3易伤2等级1伤害1时间	1低血量敌人2雷电35等级47a易伤6核8时间9伤害
16	12225 36311	1	 * 	251.92	橙4易伤2时间1等级	1低血量敌人2467易伤3a时间5赏金邻近8核9等级
17	12234 36311	1	   	251.92	橙4易伤2时间1等级	1低血量敌人2567易伤3a时间4赏金邻近8核9等级
18	42235 36311	1	   	251.92	橙4易伤2时间1等级	1基地爆炸2467易伤3a时间5赏金邻近8核9等级
19	62235 36311	1	   	251.92	橙4易伤2时间1等级	1敌人爆炸2467易伤3a时间5赏金邻近8核9等级
20	16633 32232	7	 * 	251.81	橙3易伤3时间1伤害1暴击	13低血量敌人235时间3序列升级4暴击6伤害79a易伤8核
