0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53126 42233	9	 * 	284.46	橙3易伤2伤害2时间2攻速1全技能	1a时间249易伤3立即金币5全技能6a攻速7a伤害8核a序列升级
2	53226 22243	4	 * 	280.36	橙3易伤3时间2伤害1暴击	19a时间25a易伤3基地爆炸4暴击6a伤害7赏金塔8核a序列升级
3	53226 22263	4	 * 	273.45	橙3易伤2伤害2时间2暴击	1a时间25a易伤3基地爆炸49暴击6a伤害7赏金塔8核a序列升级
4	53126 42223	9	 * 	273.20	橙2易伤3伤害2时间2攻速1全技能	1a时间24易伤3立即金币5全技能6a攻速79a伤害8核a序列升级
5	33131 43265	5	 * 	271.14	橙5易伤3时间	1挖青2679a易伤3立即金币479挖尘579时间79序列升级8核
6	33131 53265	6	   	271.14	橙5易伤3时间	1挖青2679a易伤3立即金币479挖尘579时间79序列升级8核
7	53362 31211	5	   	270.10	橙3易伤2伤害1时间1等级2雷电	1时间28a易伤3低血量敌人4最后敌人5a伤害6等级7a雷电9核a序列升级
8	53432 31211	5	   	270.00	橙3易伤2伤害1时间1等级2雷电	1时间28a易伤3挖尘4最后敌人5a伤害6等级7a雷电9核a序列升级
9	53224 42213	6	   	267.13	橙3易伤2伤害2时间1暴击	1a时间26a易伤39基地爆炸4暴击5a伤害7赏金塔8核a序列升级
10	53226 22213	4	   	267.13	橙3易伤2伤害2时间1暴击	1a时间25a易伤39基地爆炸4暴击6a伤害7赏金塔8核a序列升级
11	33432 31211	5	   	266.90	橙3易伤2时间1伤害1等级2雷电	1挖青28a易伤3挖尘4a时间5伤害6等级7a雷电9核a序列升级
12	53214 41133	10	   	266.81	橙3易伤3时间2伤害	189时间29a易伤3基地爆炸4双倍矿5低血量敌人69伤害7核9序列升级
13	53231 41133	10	   	266.81	橙3易伤3时间2伤害	189时间29a易伤35基地爆炸4最后敌人69伤害7核9序列升级
14	53321 41133	10	   	266.81	橙3易伤3时间2伤害	189时间29a易伤3低血量敌人45基地爆炸69伤害7核9序列升级
15	33221 41133	10	   	266.71	橙3易伤3时间2伤害	1挖青29a易伤34基地爆炸589时间69伤害7核9序列升级
16	53123 22443	4	   	266.71	橙3易伤3时间2伤害	19a时间24a易伤3立即金币5平台6a伤害7赏金塔8核a序列升级
17	53253 43231	2	   	266.66	橙4易伤3时间2雷电	17a时间236a易伤47最后敌人57挖尘7a序列升级8核9a雷电
18	56122 11231	10	 * 	266.62	橙3易伤3时间2攻速1等级	12a时间3低血量敌人49a易伤5等级6最后敌人7核8a攻速a序列升级
19	56322 11231	10	   	266.62	橙3易伤3时间2攻速1等级	12a时间3等级49a易伤5基地爆炸6最后敌人7核8a攻速a序列升级
20	56322 61231	10	   	266.62	橙3易伤3时间2攻速1等级	12a时间3等级49a易伤5基地爆炸6低血量敌人7核8a攻速a序列升级
21	33131 41133	10	   	266.61	橙3易伤3时间2伤害	1挖青29a易伤3立即金币4挖尘589时间69伤害7核9序列升级
22	53432 61133	10	   	266.61	橙3易伤3时间2伤害	189时间29a易伤36挖尘4最后敌人59伤害7核9序列升级
23	33131 43231	5	   	266.56	橙4易伤3时间2雷电	1挖青267a易伤3立即金币47挖尘57a时间7a序列升级8核9a雷电
24	33131 53231	6	   	266.56	橙4易伤3时间2雷电	1挖青267a易伤3立即金币47挖尘57a时间7a序列升级8核9a雷电
25	56324 11231	10	   	266.52	橙3易伤3时间2攻速1等级	12a时间3等级49a易伤5挖尘6最后敌人7核8a攻速a序列升级
