0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11651 16131	10	 * 	290.45	橙5易伤3伤害1全技能	1立即金币2479a易伤3全技能59a伤害6核89a矿等9a序列升级
2	11651 16131	9	   	274.59	橙5易伤2伤害1全技能	1立即金币2479a易伤3全技能59伤害6核89矿等9序列升级
3	11651 13231	10	   	270.91	橙4易伤3伤害1全技能	1立即金币249a易伤3全技能59a伤害6核79a矿等8双倍矿9a序列升级
4	61651 13231	10	   	270.91	橙4易伤3伤害1全技能	18双倍矿249a易伤3全技能59a伤害6核79a矿等9a序列升级
5	31523 11242	1	   	270.90	橙3易伤3伤害1等级1时间	18低血量敌人2最后敌人358易伤468伤害7核8序列升级9等级a时间
6	33523 11242	2	   	270.90	橙3易伤3伤害1等级1时间	18低血量敌人2最后敌人358易伤468伤害7核8序列升级9等级a时间
7	56241 32323	7	   	270.00	橙3易伤2伤害1等级1时间2雷电	18雷电2掉矿38伤害4基地爆炸5等级6核789易伤8序列升级a时间
8	56251 32323	7	   	269.90	橙3易伤2伤害1等级1时间2雷电	18雷电2掉矿38伤害4挖尘5等级6核789易伤8序列升级a时间
9	11632 12443	7	 * 	268.62	橙3易伤2伤害2暴击1时间1全技能	1立即金币29a易伤3全技能49伤害5时间6策反7核89暴击9序列升级
10	11632 12543	8	   	268.62	橙3易伤2伤害2暴击1时间1全技能	1立即金币29a易伤3全技能49伤害5时间6策反7核89暴击9序列升级
11	11632 12553	9	   	268.62	橙3易伤2伤害2暴击1时间1全技能	1立即金币29a易伤3全技能49伤害5时间6策反7核89暴击9序列升级
12	54241 33322	7	   	267.51	橙3易伤2伤害1等级2雷电1暴击	18雷电2金币生成38伤害4基地爆炸5等级6核789易伤8序列升级a暴击
13	54251 33322	7	   	267.41	橙3易伤2伤害1等级2雷电1暴击	18雷电2金币生成38伤害4挖尘5等级6核789易伤8序列升级a暴击
14	11422 21435	6	 * 	266.81	橙3易伤3时间2伤害	1立即金币28a易伤3随机矿45a时间6平台7核9a伤害a序列升级
15	51221 32365	1	 * 	266.74	橙4易伤2时间1伤害	1雷电258a易伤3敌人爆炸46时间7核9伤害
16	31513 21214	1	   	265.13	橙5易伤2伤害	18a低血量敌人28最后敌人3458a易伤6随机矿7核8a序列升级9a伤害
17	33513 21214	2	   	265.13	橙5易伤2伤害	18a低血量敌人28最后敌人3458a易伤6随机矿7核8a序列升级9a伤害
18	31523 11243	1	   	262.96	橙3易伤3伤害1等级	18低血量敌人2最后敌人358易伤468伤害7核8序列升级9等级a雷电
19	33523 11243	2	   	262.96	橙3易伤3伤害1等级	18低血量敌人2最后敌人358易伤468伤害7核8序列升级9等级a雷电
20	35513 21114	2	   	261.64	橙4易伤2伤害1时间	18a低血量敌人2时间345a易伤6随机矿7核9a伤害a序列升级
21	35513 21314	2	   	261.64	橙4易伤2伤害1时间	1a低血量敌人2时间345a易伤6随机矿7核8立即金币9a伤害a序列升级
22	31523 11253	1	   	261.04	橙4易伤3伤害	18低血量敌人29最后敌人358a易伤468伤害7核8序列升级
23	33523 11253	2	   	261.04	橙4易伤3伤害	18低血量敌人29最后敌人358a易伤468伤害7核8序列升级
24	31523 51213	1	   	261.04	橙4易伤3伤害	18低血量敌人2最后敌人358a易伤489伤害6双倍矿7核8序列升级
25	33523 51213	2	   	261.04	橙4易伤3伤害	18低血量敌人2最后敌人358a易伤489伤害6双倍矿7核8序列升级
26	31523 11234	1	   	260.94	橙4易伤3伤害	18低血量敌人2最后敌人358a易伤468伤害7核8序列升级9赏金塔
27	33523 11234	2	   	260.94	橙4易伤3伤害	18低血量敌人2最后敌人358a易伤468伤害7核8序列升级9赏金塔
