0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41124 33521	2	 * 	291.04	橙4易伤3伤害1等级1时间	148敌人爆炸258伤害3568易伤58序列升级7核9时间a等级
2	24624 22131	5	 * 	281.95	橙3易伤3时间2伤害1等级	1随机矿237时间36序列升级46伤害56a易伤8等级9核
3	31143 32516	2	 * 	277.38	橙5易伤2伤害1等级	18基地爆炸28伤害35678易伤4双倍矿8序列升级9等级a核
4	41124 33522	2	   	273.15	橙4易伤3伤害1时间	148敌人爆炸258伤害3568易伤58序列升级7核9时间a雷电
5	62231 22633	2	 * 	269.89	橙2易伤3伤害2等级1时间	1矿等279伤害3时间4雷电59易伤6攻速89等级9序列升级a核
6	62331 22633	3	   	269.89	橙2易伤3伤害2等级1时间	1矿等279伤害3时间4雷电59易伤6攻速89等级9序列升级a核
7	66231 22433	1	   	269.89	橙2易伤3伤害2等级1时间	1矿等29等级3时间4雷电59易伤6攻速789伤害9序列升级a核
8	62153 62322	1	   	267.35	橙4易伤2伤害1等级	14a矿等248a易伤3赏金邻近4a序列升级5雷电6核7等级9a伤害
9	31144 33511	2	 * 	266.93	橙5易伤3伤害	18基地爆炸258伤害35689易伤4双倍矿58序列升级7核a金币生成
10	41124 33533	2	   	266.93	橙5易伤3伤害	148敌人爆炸258伤害35689易伤58序列升级7核a低血量敌人
11	31144 33513	2	   	266.83	橙5易伤3伤害	18基地爆炸258伤害35689易伤4双倍矿58序列升级7核a掉矿
12	41124 33532	2	   	266.83	橙5易伤3伤害	148敌人爆炸258伤害35689易伤58序列升级7核a加一
13	24624 22132	5	   	265.56	橙2易伤3时间2伤害1等级	1随机矿237时间36序列升级46伤害56易伤8等级9核a攻速
14	52134 26131	1	 * 	265.25	橙4易伤3时间1等级	1策反245时间357a易伤5序列升级6掉矿8等级9核
15	31144 33532	2	   	264.84	橙4易伤3伤害1时间	18基地爆炸258伤害3568易伤4双倍矿58序列升级7核9时间a矿等
16	41124 33213	2	   	264.84	橙4易伤3伤害1时间	149敌人爆炸259伤害3569易伤59序列升级7核8平台a时间
17	41124 33513	2	   	264.84	橙4易伤3伤害1时间	148敌人爆炸258伤害3568易伤58序列升级7核9平台a时间
18	41124 33523	2	   	264.84	橙4易伤3伤害1时间	148敌人爆炸258伤害3568易伤58序列升级7核9时间a随机矿
19	41614 33213	2	   	264.84	橙4易伤3伤害1时间	139敌人爆炸259伤害4569易伤59序列升级7核8平台a时间
20	31144 33533	2	   	264.74	橙4易伤3伤害1时间	18基地爆炸258伤害3568易伤4双倍矿58序列升级7核9时间a加一
21	52354 22131	5	   	264.36	橙3易伤3时间1等级1伤害	16策反2伤害347时间56a易伤6序列升级8等级9核
22	62633 33135	3	 * 	263.18	橙4易伤2等级1伤害1暴击	1a矿等2伤害359a易伤4金币生成6暴击7a等级8核a序列升级
