0	Index      	 *	Score 	Summary	Detail	
1	25155 23131	 * 	268.69	橙橙2易伤1等级1时间	1随机技能2基础对愈3时间4赏金邻近5等级69易伤7a核8电塔对黄
2	41146 11331	   	268.69	橙橙2易伤1等级1全技能	1赏金塔23易伤3序列升级4赏金邻近5全技能6a核7头目8等级9加一
3	41316 11331	   	268.69	橙橙2易伤1等级1全技能	1赏金塔24易伤3赏金邻近5全技能6a核7头目8等级9加一
4	15261 11131	   	256.34	橙橙2易伤1时间1暴击	1时间2防空对头目3随机技能45易伤6雷电7暴击89核a敌人爆炸
5	15261 11133	   	256.34	橙橙2易伤1时间1暴击	1时间2防空对头目3随机技能45易伤6雷电7暴击89核a基地爆炸
6	15261 11134	   	256.34	橙橙2易伤1时间1暴击	1时间2防空对头目3随机技能45易伤6雷电7暴击89核a随机矿
7	25161 11131	   	256.34	橙橙2易伤1时间1暴击	1随机技能2基础对愈3时间45易伤6雷电7暴击89核a敌人爆炸
8	25161 11133	   	256.34	橙橙2易伤1时间1暴击	1随机技能2基础对愈3时间45易伤6雷电7暴击89核a基地爆炸
9	25161 11134	   	256.34	橙橙2易伤1时间1暴击	1随机技能2基础对愈3时间45易伤6雷电7暴击89核a随机矿
10	15261 11132	   	256.24	橙橙2易伤1时间1暴击	1时间2防空对头目3随机技能45易伤6雷电7暴击89核a烈焰减费
11	15261 11135	   	256.24	橙橙2易伤1时间1暴击1卖塔	1时间2防空对头目3随机技能45易伤6雷电7暴击89核a卖塔
12	15261 11136	   	256.24	橙橙2易伤1时间1暴击	1时间2防空对头目3随机技能45易伤6雷电7暴击89核a赏金邻近
13	25161 11132	   	256.24	橙橙2易伤1时间1暴击	1随机技能2基础对愈3时间45易伤6雷电7暴击89核a烈焰减费
14	25161 11135	   	256.24	橙橙2易伤1时间1暴击1卖塔	1随机技能2基础对愈3时间45易伤6雷电7暴击89核a卖塔
15	25161 11136	   	256.24	橙橙2易伤1时间1暴击	1随机技能2基础对愈3时间45易伤6雷电7暴击89核a赏金邻近
16	22453 13131	 * 	254.94	橙橙2易伤1喷火对甲	1随机技能29易伤3赏金塔4掉矿5雷电减费6狙击对黄7a核8喷火对甲
17	22653 13131	   	254.94	橙橙2易伤1喷火对甲	1随机技能29易伤3赏金邻近4掉矿5雷电减费6狙击对黄7a核8喷火对甲
18	24653 13131	   	254.94	橙橙2易伤1喷火对甲	1随机技能2赏金邻近39易伤4掉矿5雷电减费6狙击对黄7a核8喷火对甲
19	25255 23131	   	254.94	橙橙2易伤1等级	1随机技能2基础对愈3挖尘4赏金邻近5等级69易伤7a核8电塔对黄
20	43653 13131	   	254.94	橙橙2易伤1喷火对甲	1赏金塔2随机技能39易伤4掉矿5雷电减费6狙击对黄7a核8喷火对甲
21	41524 32221	 * 	253.49	橙5易伤2伤害1全技能	1赏金塔24567易伤35伤害5序列升级8平台9全技能a核
22	23115 44222	   	251.34	橙橙1易伤1等级1矿等1卖塔	1随机技能2随机矿3等级4矿等5卖塔6a核7攻速8易伤9加农对壮
23	12222 31341	 * 	250.25	橙橙2时间1等级1全技能1暴击	14时间2低血量敌人3赏金塔5全技能6等级7暴击8a核9基础对冰
24	54222 31341	   	250.25	橙橙2时间1等级1全技能1暴击	1低血量敌人24时间3赏金塔5全技能6等级7暴击8a核9基础对冰
25	41424 21313	 * 	245.58	橙3易伤2等级1矿等1时间1暴击	1赏金塔245易伤35等级5序列升级6时间7金币生成8核9矿等a暴击
26	23115 45322	   	244.50	橙橙1易伤1等级1矿等1技能1卖塔	1随机技能2随机矿3等级4矿等5卖塔6a核7易伤8机枪对壮9技能
27	31124 51512	 * 	242.86	紫橙2伤害1易伤1矿等1时间	1攻速2雷电3矿等4a核5随机技能68伤害7时间9易伤
28	13531 31341	 * 	242.85	橙2易伤2等级2时间1伤害1导弹对毒	12时间3导弹对毒47等级5加一6a易伤8伤害9核
29	25261 11131	   	242.59	橙橙2易伤1暴击	1随机技能2基础对愈3挖尘45易伤6雷电7暴击89核a敌人爆炸
30	25261 11133	   	242.59	橙橙2易伤1暴击	1随机技能2基础对愈3挖尘45易伤6雷电7暴击89核a基地爆炸
31	25261 11134	   	242.59	橙橙2易伤1暴击	1随机技能2基础对愈3挖尘45易伤6雷电7暴击89核a随机矿
32	15223 11131	 * 	242.59	橙橙1易伤2时间1暴击	14时间2防空对头目3随机技能5易伤6雷电7暴击89核a敌人爆炸
