0	Index      	 *	Score 	Summary	Detail	
1	21313 11146	 * 	368.22	2MDPS|3VULN|2DUR	17BEXP|2TBNT|347VULN|59RMIN|67DUR|7BPWR|8aMDPS
2	11312 51351	 * 	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1FEWX|2TBNT|3DUR|49VULN|5DMG|6FLTFST|7RCR|8AART|aMDPS
3	13425 11351	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1FEWX|2SPLREG|3DMG|4DUR|5TBNT|69VULN|7RCR|8AART|aMDPS
4	11332 62216	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2TBNT|3DUR|4BOSS|5CDMG|67VULN|8RCR|9LHND|aMDPS
5	11332 62226	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2TBNT|3DUR|4BOSS|5CDMG|67VULN|8RCR|9DUST|aMDPS
6	33266 22332	 * 	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1RPLT|2TLV|3RAT|47VULN|5BELT|6DUR|8MLV|9RCR|aMDPS
7	33213 35252	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RPLT|2TLV|3RAT|4BELT|5ERES|6RCR|7DUR|89VULN|aMDPS
8	33244 23532	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RPLT|2TLV|3RAT|4ERES|56VULN|7DUR|8BELT|9RCR|aMDPS
9	33263 13532	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RPLT|2TLV|3RAT|45VULN|6ERES|7DUR|8BELT|9RCR|aMDPS
10	33411 24532	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RPLT|2TLV|3ERES|4DUR|5RAT|67VULN|8BELT|9RCR|aMDPS
11	35115 31341	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2TBNT|35VULN|4DMG|6ASPD|7RCR|8LHND|9DUR|aMDPS
12	35115 31221	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RPLT|2TBNT|35VULN|4DMG|6ASPD|7RCR|8DUR|9MDPS|aAART
13	35115 31222	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2TBNT|35VULN|4DMG|6ASPD|7RCR|8DUR|9MDPS|aMBVNT
14	35115 31223	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2TBNT|35VULN|4DMG|6ASPD|7RCR|8DUR|9MDPS|aLHND
15	35115 31225	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2TBNT|35VULN|4DMG|6ASPD|7RCR|8DUR|9MDPS|aCGEN
16	35115 31226	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1aRPLT|2TBNT|35VULN|4DMG|6ASPD|7RCR|8DUR|9MDPS
17	11313 32166	 * 	350.53	2MDPS|2VULN|2DUR|1TLV	1FEWX|2TBNT|36DUR|46VULN|5RMIN|6BPWR|7TLV|8TSLARM|9aMDPS
18	11313 32446	   	350.53	2MDPS|2VULN|2DUR|1TLV	1FEWX|2TBNT|36DUR|46VULN|5RMIN|6BPWR|7TLV|8aMDPS|9CANSTR
19	51313 32166	   	350.53	2MDPS|2VULN|2DUR|1TLV	1LHND|2TBNT|36DUR|46VULN|5RMIN|6BPWR|7TLV|8TSLARM|9aMDPS
20	33215 15522	 * 	348.59	DCR|2MDPS|1CDMG|1TLV|1DUR	1RPLT|2TLV|3RAT|4BELT|5CDMG|6BBNT|7RCR|8DUR|9aMDPS
21	11311 51351	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FEWX|2TBNT|3DUR|49VULN|5ZMB|6FLTFST|7RCR|8AART|aMDPS
22	11313 51351	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FEWX|2TBNT|3DUR|49VULN|5RMIN|6FLTFST|7RCR|8AART|aMDPS
23	14114 32532	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FEWX|2DUST|35VULN|4AART|6DUR|7BBNT|8RCR|9CGEN|aMDPS
24	11334 11224	 * 	343.60	DCR|2VULN|1MDPS|2DUR	1FEWX|2TBNT|35DUR|4BOSS|69VULN|7LHND|8RCR|aMDPS
25	11334 15224	   	343.60	DCR|2VULN|1MDPS|2DUR	1FEWX|2TBNT|35DUR|4BOSS|69VULN|7BEXP|8RCR|aMDPS
26	54113 12633	   	343.40	DCR|2VULN|1MDPS|2DUR	1LHND|2DUST|39VULN|46DUR|5ERES|7CANSTR|8RCR|aMDPS
27	54113 13633	   	343.40	DCR|2VULN|1MDPS|2DUR	1LHND|2DUST|39VULN|46DUR|5ERES|7LSRREG|8RCR|aMDPS
28	21314 33232	 * 	340.25	4VULN|1MDPS|1TLV|1DUR	16BEXP|2TBNT|3459VULN|7DUR|8TLV|aMDPS
