0	Index      	 *	Score 	Summary	Detail	
1	33526 22135	 * 	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1LIT|239VULN|4DMG|5DUR|6RCR|7ERES|8AAC|aMDPS
2	33526 21332	 * 	375.21	DCR|2VULN|1MDPS|3DUR|1DMG	1LIT|23VULN|4DMG|589DUR|6RCR|7LHND|aMDPS
3	35113 63221	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4BEXP|5DUR|6RCR|9MDPS|aLWND
4	35113 63222	 * 	374.83	DCR|4VULN|1MDPS|1DUR	1LIT|2BLASTR|378aVULN|4BEXP|5DUR|6RCR|9MDPS
5	35113 63223	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4BEXP|5DUR|6RCR|9MDPS|aRCVC
6	35113 63224	   	374.83	DCR|3VULN|1MDPS|1AART|1DUR	1LIT|2BLASTR|378VULN|4BEXP|5DUR|6RCR|9MDPS|aAART
7	35113 63225	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4BEXP|5DUR|6RCR|9MDPS|aTBNT
8	35113 63226	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4BEXP|5DUR|6RCR|9MDPS|aZMB
9	35113 63236	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4BEXP|5DUR|6RCR|9TBNT|aMDPS
10	35153 63221	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4FEWX|5DUR|6RCR|9MDPS|aLWND
11	35153 63222	   	374.83	DCR|4VULN|1MDPS|1DUR	1LIT|2BLASTR|378aVULN|4FEWX|5DUR|6RCR|9MDPS
12	35153 63223	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4FEWX|5DUR|6RCR|9MDPS|aRCVC
13	35163 63221	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4aLWND|5DUR|6RCR|9MDPS
14	35163 63222	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4LWND|5DUR|6RCR|9MDPS|aAEPOI
15	35163 63223	   	374.83	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4LWND|5DUR|6RCR|9MDPS|aASPD
16	35143 63221	   	374.73	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4DUST|5DUR|6RCR|9MDPS|aLWND
17	35143 63222	   	374.73	DCR|4VULN|1MDPS|1DUR	1LIT|2BLASTR|378aVULN|4DUST|5DUR|6RCR|9MDPS
18	35143 63223	   	374.73	DCR|3VULN|1MDPS|1DUR	1LIT|2BLASTR|378VULN|4DUST|5DUR|6RCR|9MDPS|aRCVC
19	13233 15632	 * 	372.19	DCR|2VULN|1MDPS|1CDMG|1AART|1DUR	1ERES|2FRZARM|3AART|4BEXP|56VULN|7RCR|8DUR|9CDMG|aMDPS
20	11613 17152	 * 	371.48	ACR|2MDPS|2VULN|1DUR	1ERES|2DUR|3RCR|4BBNT|57VULN|6MBVNT|8TBNT|9aMDPS
21	33556 32213	 * 	367.74	5VULN|1MDPS|1DMG|1DUR	1LIT|23689VULN|4AAC|5DUR|7DMG|aMDPS
