0	Index      	 *	Score 	Summary	Detail	
1	22633 41532	 * 	285.41	紫橙3易伤1等级1矿等	1掉矿2a核3金币生成459易伤6等级7基地爆炸8矿等
2	32623 53262	 * 	280.45	橙橙2矿等1伤害1攻速	1双倍秒伤2赏金塔3攻速4伤害5时间6低血量敌人79核8a矿等
3	32651 13262	   	280.45	橙橙2矿等1伤害1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5时间6伤害79核8a矿等
4	51633 13142	 * 	279.35	橙橙1易伤1矿等1技能1暴击1卖塔	1卖塔2易伤3暴击4矿等5最后敌人6随机技能7技能8火球减费9a核
5	51633 12142	 * 	278.71	橙橙1易伤1矿等1攻速1暴击1卖塔	1卖塔2易伤3暴击4矿等5最后敌人6随机技能7攻速8火球减费9a核
6	31153 63325	 * 	276.57	橙3易伤2矿等1等级1攻速	1双倍秒伤2敌人爆炸357易伤4a矿等6等级8核9攻速
7	62335 43123	 * 	274.09	橙橙1易伤1等级1伤害	14策反2双倍秒伤34雷电4序列升级5全技能6易伤7等级8a核9伤害
8	66611 33123	   	274.09	橙橙1易伤1等级1伤害	1策反2敌人爆炸3等级4全技能5最后敌人6雷电7易伤8a核9伤害
9	61611 33123	   	273.99	橙橙1易伤1等级1伤害	1策反2挖尘3等级4全技能5最后敌人6雷电7易伤8a核9伤害
10	61633 62123	   	273.99	橙橙1易伤1等级1伤害	1策反2挖尘3等级4易伤5雷电6低血量敌人7全技能8a核9伤害
11	61633 52123	   	273.89	橙橙1易伤1等级1伤害	1策反2挖尘3等级4易伤5雷电6挖青7全技能8a核9伤害
12	32652 13262	   	272.05	橙橙2矿等1伤害1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5挖尘6伤害79核8a矿等
13	32623 53261	   	271.54	橙橙1矿等1伤害1技能1攻速	1双倍秒伤2赏金塔3攻速4伤害5时间6低血量敌人79核8矿等a技能
14	32651 13261	   	271.54	橙橙1矿等1伤害1技能1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5时间6伤害79核8矿等a技能
15	31153 63321	 * 	270.83	橙3易伤1等级1矿等1伤害1攻速	1双倍秒伤2敌人爆炸357易伤4矿等6等级8核9攻速a伤害
16	61611 33163	   	270.82	橙橙1易伤1等级1技能	1策反2挖尘3等级4全技能5最后敌人6雷电7易伤8a核9技能
17	33155 13326	   	270.73	橙3易伤1等级1矿等1伤害1攻速	1双倍秒伤2挖尘367易伤4矿等5伤害8核9攻速a等级
18	32216 64313	   	270.72	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4等级5时间6赏金邻近7技能8a核9易伤
19	51632 15312	   	269.14	橙3易伤1矿等1伤害1技能1攻速1暴击1卖塔	1卖塔28a易伤3暴击4矿等5技能6攻速7核9伤害
20	31152 13326	   	267.66	橙3易伤1等级1矿等1技能1攻速	1双倍秒伤2敌人爆炸367易伤4矿等5技能8核9攻速a等级
21	33152 13326	   	267.56	橙3易伤1等级1矿等1技能1攻速	1双倍秒伤2挖尘367易伤4矿等5技能8核9攻速a等级
22	31153 63324	 * 	265.35	橙3易伤1等级2攻速1矿等	1双倍秒伤2敌人爆炸357易伤4矿等6等级8核9a攻速
23	46312 12142	   	264.96	橙橙1矿等1技能1攻速2时间	1低血量敌人24时间3暴雪减费5技能6攻速7随机技能8矿等9a核
24	33155 13325	 * 	264.45	橙3易伤2矿等1伤害1攻速	1双倍秒伤2挖尘367易伤4a矿等5伤害8核9攻速
25	36112 52613	 * 	264.07	橙橙1易伤1矿等1暴击	1双倍秒伤2最后敌人3易伤4金币生成5全技能68核7矿等9敌人爆炸a暴击
26	61222 13642	 * 	263.36	橙橙2易伤1技能	1策反23挖尘48易伤5掉矿6随机技能7技能9a核
27	22632 41532	   	263.17	紫橙2易伤1等级1矿等	1掉矿2a核3金币生成49易伤5火球减费6等级7基地爆炸8矿等
28	32652 13261	   	263.13	橙橙1矿等1伤害1技能1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5挖尘6伤害79核8矿等a技能
29	31166 21212	 * 	262.78	紫橙2矿等1等级1易伤	1双倍秒伤2敌人爆炸3易伤4a核56矿等7基地爆炸8等级9挖尘
30	36166 21212	   	262.78	紫橙2矿等1等级1易伤	1双倍秒伤2最后敌人3易伤4a核56矿等7基地爆炸8等级9挖尘
31	61222 12642	   	262.72	橙橙2易伤1攻速	1策反23挖尘48易伤5掉矿6随机技能7攻速9a核
32	32212 64313	   	262.41	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4等级5敌人爆炸6赏金邻近7技能8a核9易伤
33	32251 64313	   	262.41	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4低血量敌人5等级6赏金邻近7技能8a核9易伤
34	32211 64313	   	262.31	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4等级5挖尘6赏金邻近7技能8a核9易伤
35	31621 16132	   	261.59	橙橙2易伤1暴击	1双倍秒伤2敌人爆炸3额外掉落4挖尘57易伤6a核8暴击9全技能
36	31663 16132	   	261.59	橙橙2易伤1暴击	1双倍秒伤2敌人爆炸3额外掉落47易伤5挖尘6a核8暴击9全技能
37	51632 15313	 * 	261.58	橙2易伤2攻速1矿等1伤害1技能1暴击1卖塔	1卖塔28易伤3暴击4矿等5技能6a攻速7核9伤害
38	31152 13325	   	261.37	橙3易伤2矿等1技能1攻速	1双倍秒伤2敌人爆炸367易伤4a矿等5技能8核9攻速
39	33152 13325	   	261.27	橙3易伤2矿等1技能1攻速	1双倍秒伤2挖尘367易伤4a矿等5技能8核9攻速
40	33143 53316	   	260.77	橙橙1等级1易伤	1双倍秒伤2挖尘3易伤4雷电5时间6随机技能79核8金币生成a等级
41	23612 63143	   	260.04	橙2易伤2矿等1等级1暴击	1掉矿2基地爆炸3等级4时间57矿等6暴击8核9a易伤
42	63366 32122	   	258.62	紫橙2易伤1等级1技能	1策反2金币生成3a核4技能5随机技能67易伤8等级9掉矿
43	26433 22123	   	258.15	橙橙1易伤1伤害1攻速	1掉矿2敌人爆炸3易伤4攻速5雷电6全技能7最后敌人8a核9伤害
44	26433 62123	   	258.15	橙橙1易伤1伤害1攻速	1掉矿2敌人爆炸3易伤4攻速5雷电6低血量敌人7全技能8a核9伤害
45	31611 12341	   	258.15	橙橙1易伤1伤害1攻速	1双倍秒伤2敌人爆炸3额外掉落4时间5易伤6a核7伤害8平台9攻速
46	21433 22123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6全技能7最后敌人8a核9伤害
47	21433 25123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6全技能7敌人爆炸8a核9伤害
48	21433 62123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6低血量敌人7全技能8a核9伤害
49	23423 22123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6全技能7最后敌人8a核9伤害
50	23423 25123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6全技能7敌人爆炸8a核9伤害
51	23423 62123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6低血量敌人7全技能8a核9伤害
52	26433 52123	   	258.05	橙橙1易伤1伤害1攻速	1掉矿2敌人爆炸3易伤4攻速5雷电6挖青7全技能8a核9伤害
53	21433 52123	   	257.95	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6挖青7全技能8a核9伤害
54	23423 52123	   	257.95	橙橙1易伤1伤害1攻速	1掉矿2基地爆炸3易伤4攻速5雷电6挖青7全技能8a核9伤害
55	36112 52631	   	257.36	橙橙1易伤1矿等	1双倍秒伤29最后敌人3易伤4金币生成5全技能68核7矿等a随机技能
56	22633 41132	   	256.82	紫橙3易伤1等级	1掉矿2a核3金币生成459易伤6等级7基地爆炸8技能点
57	22633 41432	   	256.82	紫橙3易伤1等级	1掉矿2a核3金币生成458易伤6等级7基地爆炸9随机矿
58	33155 13321	 * 	256.22	橙3易伤2伤害1矿等1攻速	1双倍秒伤2挖尘367易伤4矿等5a伤害8核9攻速
59	31152 13321	   	255.63	橙3易伤1矿等1伤害1技能1攻速	1双倍秒伤2敌人爆炸367易伤4矿等5技能8核9攻速a伤害
60	12625 23282	   	255.57	橙橙1易伤1矿等2随机技能	1烈焰减费2双倍矿3低血量敌人4易伤59随机技能6矿等7加一8a核
61	33152 13321	   	255.53	橙3易伤1矿等1伤害1技能1攻速	1双倍秒伤2挖尘367易伤4矿等5技能8核9攻速a伤害
