0	Index      	 *	Score 	Summary	Detail	
1	55321 12233	 * 	245.44	橙橙1易伤1伤害1矿等	1策反2矿等3雷电4导弹对黄5伤害6易伤7低血量敌人8攻速9a核
2	12611 32243	 * 	242.59	橙橙2易伤1时间	1赏金塔2雷电35易伤4低血量敌人6技能点7时间8敌人爆炸9a核
3	52332 61138	   	236.45	橙橙1易伤1伤害1全技能	1策反2掉矿3雷电4全技能5额外掉落6易伤7加一8a核9伤害
4	66313 42331	 * 	236.29	橙3易伤2等级1伤害1暴击	17等级2双倍秒伤37技能点4伤害5敌人爆炸678易伤7序列升级9核a暴击
5	33335 31121	   	231.83	橙3易伤2等级1矿等1全技能	1挖青2金币生成3矿等47等级568易伤9全技能a核
6	31335 31121	   	231.73	橙3易伤2等级1矿等1全技能	1挖青2掉矿3矿等47等级568易伤9全技能a核
7	54241 22333	   	229.84	橙橙1易伤1伤害	1策反2狙击对黄3伤害4易伤5头目6攻速7低血量敌人8a核9金币生成
8	52321 12233	   	229.74	橙橙1易伤1伤害	1策反2掉矿3雷电4导弹对黄5伤害6易伤7低血量敌人8攻速9a核
9	63225 33326	 * 	228.98	橙3易伤2等级2时间	17等级23基地爆炸47时间567易伤7序列升级8敌人爆炸9平台a核
10	63325 33326	   	228.98	橙3易伤2等级2时间	17等级2基地爆炸3立即金币47时间567易伤7序列升级8敌人爆炸9平台a核
11	52316 15233	   	228.94	橙橙2易伤	1策反2掉矿3雷电4低血量敌人59易伤6a核7毒液对毒8加一
12	12311 35243	   	228.94	橙橙2易伤	1赏金塔2雷电3最后敌人4低血量敌人56易伤7技能点8敌人爆炸9a核
13	12411 35243	   	228.94	橙橙2易伤	1赏金塔2雷电3低血量敌人4最后敌人56易伤7技能点8敌人爆炸9a核
14	12613 35243	   	228.94	橙橙2易伤	1赏金塔2雷电36易伤4低血量敌人5最后敌人7技能点8敌人爆炸9a核
15	63225 33116	   	228.88	橙3易伤2等级2时间	17等级239基地爆炸47时间567易伤7序列升级8掉矿a核
16	12611 35243	   	228.84	橙橙2易伤	1赏金塔2雷电35易伤4低血量敌人6技能点7挖尘8敌人爆炸9a核
17	12612 21443	   	228.84	橙橙2易伤	1赏金塔2雷电38易伤4低血量敌人5技能点6挖尘7敌人爆炸9a核
18	12612 23443	   	228.84	橙橙2易伤	1赏金塔2雷电38易伤4低血量敌人5技能点6挖尘7基地爆炸9a核
19	34144 61223	 * 	228.74	橙橙1易伤1等级	1挖青2敌人爆炸3等级4加一5易伤6a核7赏金邻近8爆破对壮9随机技能
20	34144 61323	   	228.74	橙橙1易伤1等级	1挖青2敌人爆炸3等级4加一5易伤6a核7赏金邻近8随机技能9寒冰对黄
21	33142 11462	   	228.70	橙橙1易伤1等级1卖塔	1挖青2金币生成3卖塔48最后敌人5双倍物品69核7等级a易伤
22	33132 11563	   	228.60	橙橙2易伤1卖塔	1挖青2金币生成3卖塔48易伤5双倍物品69核7技能点a敌人爆炸
23	33132 11564	   	228.60	橙橙2易伤1卖塔	1挖青2a金币生成3卖塔48易伤5双倍物品69核7技能点
24	33122 11362	   	228.60	橙橙1易伤1等级1卖塔	1挖青2金币生成3卖塔4挖尘5双倍物品69核7等级8双倍矿a易伤
25	33132 11561	   	228.50	橙橙2易伤1卖塔1挖怪	1挖青2金币生成3卖塔48易伤5双倍物品69核7技能点a挖怪
26	33132 11562	   	228.50	橙橙2易伤1卖塔	1挖青2金币生成3卖塔48易伤5双倍物品69核7技能点a火球减费
27	33132 11565	   	228.50	橙橙2易伤1卖塔	1挖青2金币生成3卖塔48易伤5双倍物品69核7技能点a挖尘
28	33132 11566	   	228.50	橙橙2易伤1卖塔	1挖青2金币生成3卖塔48易伤5双倍物品69核7技能点a赏金邻近
29	33122 11162	   	228.50	橙橙1易伤1等级1卖塔	1挖青2金币生成3卖塔48挖尘5双倍物品69核7等级a易伤
30	11523 35532	   	226.10	橙橙1等级1矿等1暴击	1赏金塔27随机技能3矿等4等级5额外掉落6加农对毒8暴击9a核
31	11523 33532	   	226.00	橙橙1等级1矿等1暴击	1赏金塔2随机技能3矿等4等级5额外掉落6加农对毒7暴雪减费8暴击9a核
32	45132 15232	   	223.18	橙橙1易伤1时间1卖塔	1最后敌人2随机矿3卖塔4易伤5双倍物品69核7策反8攻速a时间
33	33132 15232	   	223.08	橙橙1易伤1时间1卖塔	1挖青2金币生成3卖塔4易伤5双倍物品69核7策反8攻速a时间
34	31162 15232	   	222.98	橙橙1易伤1时间1卖塔	1挖青2掉矿3卖塔4易伤5双倍物品69核7策反8攻速a时间
35	62634 21223	 * 	222.91	橙橙1喷火对甲1等级1卖塔	1等级2掉矿3卖塔4金币生成5平台6a核7头目8喷火对甲9低血量敌人
36	52316 12433	   	222.80	橙橙1易伤1伤害1技能	1策反2掉矿3雷电4低血量敌人5易伤6a核7伤害8技能9散射对甲
37	66313 42333	   	222.64	橙3易伤2等级1伤害	17等级2双倍秒伤37技能点4伤害5敌人爆炸678易伤7序列升级9核a双倍矿
38	66313 42332	   	222.54	橙3易伤2等级1伤害	17等级2双倍秒伤37a技能点4伤害5敌人爆炸678易伤7序列升级9核
39	63131 15431	 * 	222.03	橙2易伤2等级2矿等1暴击1卖塔	1a等级2a基地爆炸3卖塔46易伤5额外掉落7核8暴击9a矿等a序列升级
40	33335 36121	   	221.49	橙3易伤1等级1矿等1全技能	1挖青2金币生成3矿等4等级568易伤7立即金币9全技能a核
41	31335 36121	   	221.39	橙3易伤1等级1矿等1全技能	1挖青2掉矿3矿等4等级568易伤7立即金币9全技能a核
42	64225 31113	 * 	221.30	橙2易伤2伤害1等级1全技能	1等级2加农对毒38伤害4掉矿5敌人爆炸6核7全技能9a易伤
43	65225 31113	   	221.30	橙2易伤2伤害1等级1全技能	1等级2基础对愈38伤害4掉矿5敌人爆炸6核7全技能9a易伤
44	11223 33532	 * 	220.73	橙橙2等级1暴击	1赏金塔2随机技能3技能点47等级5额外掉落6加农对毒8暴击9a核
45	62431 25123	   	220.19	橙2易伤2等级2时间1全技能	14等级24掉矿3全技能4序列升级57时间6敌人爆炸89易伤a核
46	53225 31334	   	219.64	橙3易伤1等级1时间1暴击	1策反23基地爆炸4时间568易伤7等级9暴击a核
47	53325 31334	   	219.64	橙3易伤1等级1时间1暴击	1策反2基地爆炸3立即金币4时间568易伤7等级9暴击a核
48	62316 11211	   	219.54	橙3易伤1等级1暴击1时间	1等级2掉矿3雷电4低血量敌人59a易伤6核7时间8暴击
49	65233 23633	 * 	219.32	橙1易伤2时间1等级1伤害1矿等1暴击	1等级2基础对愈3伤害49时间5暴击6基地爆炸7易伤8矿等a核
50	31325 31536	   	219.22	橙2易伤1等级1伤害1矿等2攻速	1挖青2掉矿3矿等4a攻速56易伤7等级8伤害9核
51	31335 32533	   	219.22	橙2易伤1等级1伤害1矿等1全技能	1挖青2掉矿3矿等4等级56易伤7技能点8伤害9核a全技能
52	33213 62636	   	218.99	橙橙1易伤1导弹对毒	1挖青26金币生成3基地爆炸4额外掉落5双倍秒伤7a核8易伤9导弹对毒
53	32235 33434	   	218.18	橙3易伤2等级1矿等	1挖青27火球减费39低血量敌人47等级567易伤7序列升级8矿等a核
54	31335 32532	 * 	217.86	橙2易伤2矿等1等级1伤害	1挖青2掉矿3a矿等4等级56易伤7技能点8伤害9核
55	62316 11213	   	217.46	橙2易伤1等级1伤害1暴击1时间	1等级2掉矿3雷电4低血量敌人59易伤6核7时间8暴击a伤害
56	24243 33233	   	217.36	橙2易伤1等级1伤害1时间1暴击	1掉矿2加农对毒3伤害47易伤5暴击6低血量敌人8等级9时间a核
57	24244 23233	   	217.36	橙2易伤1等级1伤害1时间1暴击	1掉矿2加农对毒3伤害47易伤5低血量敌人6暴击8等级9时间a核
58	25243 33233	   	217.36	橙2易伤1等级1伤害1时间1暴击	1掉矿2基础对愈3伤害47易伤5暴击6低血量敌人8等级9时间a核
59	25244 23233	   	217.36	橙2易伤1等级1伤害1时间1暴击	1掉矿2基础对愈3伤害47易伤5低血量敌人6暴击8等级9时间a核
60	65233 21353	   	217.20	橙2等级1易伤1伤害1矿等1时间1暴击	17等级2基础对愈3伤害4时间5暴击6基地爆炸8矿等9易伤a核
61	65233 31353	   	217.20	橙2等级1易伤1伤害1矿等1时间1暴击	17等级2基础对愈3伤害4时间5暴击6低血量敌人8矿等9易伤a核
62	42165 33221	   	216.52	橙3易伤2等级1全技能	17最后敌人248低血量敌人37等级567易伤7序列升级9全技能a核
63	12612 32243	   	216.39	橙橙1易伤1时间	1赏金塔26雷电3易伤4低血量敌人5技能点7时间8敌人爆炸9a核
64	12612 52243	   	216.39	橙橙1易伤1时间	1赏金塔2雷电3易伤46低血量敌人5技能点7时间8敌人爆炸9a核
65	12615 32243	   	216.39	橙橙1易伤1时间	1赏金塔2雷电3易伤4低血量敌人5立即金币6技能点7时间8敌人爆炸9a核
66	12652 32343	   	216.39	橙橙1易伤1时间	1赏金塔2雷电3易伤4立即金币5最后敌人6技能点7时间8低血量敌人9a核
67	61225 33326	   	216.32	橙3易伤2等级1时间	17等级27毒气减费3敌人爆炸4时间567易伤7序列升级8基地爆炸9平台a核
68	66144 22332	   	216.32	橙3易伤2等级1全技能	17等级2双倍秒伤3立即金币4加一578易伤67低血量敌人7序列升级9核a全技能
69	61225 33114	   	216.22	橙3易伤2等级1时间	17等级27毒气减费3敌人爆炸4时间567易伤7序列升级8掉矿9基地爆炸a核
70	66244 22332	   	216.22	橙3易伤2等级1全技能	17等级2双倍秒伤3火球减费4加一578易伤67低血量敌人7序列升级9核a全技能
71	12612 22443	   	216.19	橙橙1易伤1时间	1赏金塔2雷电3易伤4低血量敌人5技能点67挖尘8时间9a核
72	33535 31121	   	216.12	橙3易伤2等级1全技能	1挖青2金币生成3技能点47等级568易伤9全技能a核
73	61225 33124	   	216.12	橙3易伤2等级1时间	17等级27毒气减费3敌人爆炸4时间567易伤7序列升级8掉矿9挖尘a核
74	62235 31121	   	216.12	橙3易伤2等级1全技能	17等级2掉矿3低血量敌人4技能点568易伤9全技能a核
75	33132 15236	   	216.04	橙橙1易伤2攻速1卖塔	1挖青2金币生成3卖塔4易伤5双倍物品69核7策反8a攻速
76	31535 31121	   	216.02	橙3易伤2等级1全技能	1挖青2掉矿3技能点47等级568易伤9全技能a核
77	31162 15236	   	215.94	橙橙1易伤2攻速1卖塔	1挖青2掉矿3卖塔4易伤5双倍物品69核7策反8a攻速
