0	Index      	 *	Score 	Summary	Detail	
1	33161 24325	 * 	295.45	橙橙2易伤2伤害1平台2策反	1平台28策反3掉矿4赏金邻近58伤害68易伤7a核8序列升级9技能点
2	64225 23233	 * 	279.71	橙橙2易伤1矿等1攻速	1双倍秒伤25易伤3赏金邻近4矿等6攻速7基地爆炸89核a金币生成
3	64225 23231	   	279.61	橙橙2易伤1矿等1攻速	1双倍秒伤25易伤3赏金邻近4矿等6攻速7基地爆炸89核a激光减费
4	64225 23232	   	279.61	橙橙2易伤1矿等1攻速	1双倍秒伤25易伤3赏金邻近4矿等6攻速7基地爆炸89核a加一
5	35126 22413	 * 	278.25	橙橙2易伤1伤害1平台	1平台24易伤3防空对愈5基地爆炸6雷电7赏金塔89核a伤害
6	24535 23121	 * 	271.75	橙橙2伤害1易伤1攻速	1毒液对冰2攻速39伤害48金币生成5易伤6低血量敌人7a核
7	24535 23321	   	271.75	橙橙2伤害1易伤1攻速	1毒液对冰2攻速39伤害4金币生成5易伤68低血量敌人7a核
8	64224 23233	 * 	267.24	橙橙1易伤2矿等1攻速	1双倍秒伤2易伤3赏金邻近46矿等5基地爆炸7攻速89核a金币生成
9	64224 23231	   	267.14	橙橙1易伤2矿等1攻速	1双倍秒伤2易伤3赏金邻近46矿等5基地爆炸7攻速89核a激光减费
10	64224 23232	   	267.14	橙橙1易伤2矿等1攻速	1双倍秒伤2易伤3赏金邻近46矿等5基地爆炸7攻速89核a加一
11	31225 36323	 * 	266.71	橙4易伤3伤害1平台1卖塔	1平台256伤害369a易伤4卖塔69a序列升级7赏金塔8核
12	64221 43233	   	265.96	橙橙2易伤1矿等	1双倍秒伤26易伤3赏金邻近4矿等5核弹7基地爆炸89核a金币生成
13	64221 43231	   	265.86	橙橙2易伤1矿等	1双倍秒伤26易伤3赏金邻近4矿等5核弹7基地爆炸89核a激光减费
14	64221 43232	   	265.86	橙橙2易伤1矿等	1双倍秒伤26易伤3赏金邻近4矿等5核弹7基地爆炸89核a加一
