0	Index      	 *	Score 	Summary	Detail	
1	51311 61325	 * 	271.94	橙橙2易伤1暴击1平台	1寒冰对冰25易伤3随机矿4敌人爆炸6暴击7金币生成8a核9平台
2	24235 33315	 * 	266.15	橙橙1易伤1伤害1矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9矿等a伤害
3	62421 35323	 * 	263.99	橙橙2伤害1矿等1攻速1平台	19伤害2矿等3双倍秒伤4等级5低血量敌人6a核7攻速8平台
4	24235 33343	   	262.27	橙橙1易伤1伤害1暴击	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9伤害a暴击
5	24235 33314	 * 	261.70	橙橙1易伤2矿等	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9a矿等
6	24235 33313	   	259.74	橙橙1易伤1矿等1暴击	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9矿等a暴击
7	24235 34313	   	259.74	橙橙1易伤1矿等1暴击	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖尘9矿等a暴击
8	12363 34315	   	257.95	橙橙1易伤1伤害1矿等	1基地爆炸2掉矿3最后敌人4低血量敌人5易伤68核7挖尘9矿等a伤害
9	24231 34315	   	257.85	橙橙1易伤1伤害1矿等	1技能点2立即金币3双倍秒伤4易伤5低血量敌人68核7挖尘9矿等a伤害
10	12363 34343	   	254.06	橙橙1易伤1伤害1暴击	1基地爆炸2掉矿3最后敌人4低血量敌人5易伤68核7挖尘9伤害a暴击
11	24231 34343	   	253.96	橙橙1易伤1伤害1暴击	1技能点2立即金币3双倍秒伤4易伤5低血量敌人68核7挖尘9伤害a暴击
12	63212 63313	 * 	253.83	橙2易伤2伤害1矿等2时间1攻速1平台	1a伤害2金币生成3平台4随机矿5a易伤6攻速7矿等8a时间9核a序列升级
13	61212 63313	   	253.73	橙2易伤2伤害1矿等2时间1攻速1平台	1a伤害2掉矿3平台4随机矿5a易伤6攻速7矿等8a时间9核a序列升级
14	62212 63313	   	253.73	橙2易伤2伤害1矿等2时间1攻速1平台	1a伤害2矿等3平台4随机矿5a易伤6攻速7技能点8a时间9核a序列升级
15	12363 34314	   	253.49	橙橙1易伤2矿等	1基地爆炸2掉矿3最后敌人4低血量敌人5易伤68核7挖尘9a矿等
16	24231 34314	   	253.39	橙橙1易伤2矿等	1技能点2立即金币3双倍秒伤4易伤5低血量敌人68核7挖尘9a矿等
17	22441 34313	   	253.29	橙橙1易伤2矿等	1技能点29矿等3双倍秒伤4掉矿5低血量敌人68核7挖尘a易伤
18	22446 33313	   	253.29	橙橙1易伤2矿等	1技能点29矿等3双倍秒伤4掉矿5基地爆炸68核7挖青a易伤
19	12363 34313	   	251.53	橙橙1易伤1矿等1暴击	1基地爆炸2掉矿3最后敌人4低血量敌人5易伤68核7挖尘9矿等a暴击
20	24231 34313	   	251.43	橙橙1易伤1矿等1暴击	1技能点2立即金币3双倍秒伤4易伤5低血量敌人68核7挖尘9矿等a暴击
21	24263 34313	   	251.43	橙橙1易伤1矿等1暴击	1技能点2立即金币3双倍秒伤4低血量敌人5易伤68核7挖尘9矿等a暴击
22	52233 22341	 * 	250.69	橙3易伤3伤害1暴击	18寒冰对冰278伤害3双倍秒伤468易伤5挖青8序列升级9核a暴击
23	52333 22341	   	250.69	橙3易伤3伤害1暴击	18寒冰对冰278伤害368易伤4双倍秒伤5挖青8序列升级9核a暴击
24	62421 36323	   	250.10	橙橙2伤害1矿等1平台1策反	19伤害2矿等3双倍秒伤4等级5低血量敌人6a核7策反8平台
25	24235 33341	   	248.62	橙橙1易伤1伤害	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9伤害a金币生成
26	24235 33342	   	248.62	橙橙1易伤1伤害	1技能点2立即金币3双倍秒伤4易伤5时间68核7挖青9伤害a随机矿
27	62212 64313	   	247.28	橙2易伤2伤害1矿等1攻速1平台	1a伤害2矿等3平台4随机矿5a易伤6攻速7时间8a金币生成9核a序列升级
28	62212 64113	   	247.08	橙2易伤2伤害1矿等1攻速1平台	1a伤害2矿等3平台4随机矿5a易伤6攻速7时间8a技能点9核a序列升级
29	61421 35323	   	246.36	橙橙2伤害1攻速1平台	19伤害2掉矿3双倍秒伤4等级5低血量敌人6a核7攻速8平台
