0	Index      	 *	Score 	Summary	Detail	
1	51112 51335	 * 	314.89	橙橙2易伤2伤害2矿等	18伤害2技能36最后敌人48易伤58矿等7随机矿8序列升级9a核
2	41121 51335	 * 	303.34	橙橙2易伤2矿等2攻速	18矿等2技能34最后敌人58攻速68易伤7随机矿8序列升级9a核
3	41221 11335	   	303.24	橙橙2易伤2矿等2攻速	18矿等2技能3立即金币48易伤58攻速6挖青7随机矿8序列升级9a核
4	41521 11335	   	303.14	橙橙2易伤2矿等2攻速	18矿等2技能3激光减费48易伤58攻速6挖青7随机矿8序列升级9a核
5	23311 51635	 * 	297.12	橙橙3易伤1矿等1攻速	146易伤2掉矿3矿等5攻速7低血量敌人8技能9a核
6	23311 53635	   	297.12	橙橙3易伤1矿等1攻速	146易伤2掉矿3矿等5攻速7敌人爆炸8技能9a核
7	23311 52635	   	297.02	橙橙3易伤1矿等1攻速	146易伤2掉矿3矿等5攻速7挖尘8技能9a核
8	23311 51435	   	296.87	橙橙3易伤1矿等1攻速1策反	146易伤2掉矿3矿等5攻速7低血量敌人8策反9a核
9	23311 53435	   	296.87	橙橙3易伤1矿等1攻速1策反	146易伤2掉矿3矿等5攻速7敌人爆炸8策反9a核
10	23311 52435	   	296.77	橙橙3易伤1矿等1攻速1策反	146易伤2掉矿3矿等5攻速7挖尘8策反9a核
11	42551 12122	 * 	294.29	紫橙2易伤2伤害2矿等	1a矿等27核3立即金币4a易伤5基地爆炸6时间8赏金邻近9a伤害a序列升级
12	42551 12322	   	294.29	紫橙2易伤2伤害2矿等	1a矿等27核3立即金币4a易伤5基地爆炸6时间8a伤害9赏金塔a序列升级
13	42552 12122	   	294.29	紫橙2易伤2伤害2矿等	1a矿等27核3立即金币4a易伤5最后敌人6时间8赏金邻近9a伤害a序列升级
14	42552 12322	   	294.29	紫橙2易伤2伤害2矿等	1a矿等27核3立即金币4a易伤5最后敌人6时间8a伤害9赏金塔a序列升级
15	42211 22326	   	293.39	紫橙2易伤2伤害1矿等1暴击	1矿等28核3a易伤49伤害5暴击6平台7双倍秒伤
16	25111 22635	 * 	292.14	橙橙3易伤2攻速	124易伤3最后敌人57攻速6低血量敌人8技能9a核
17	25111 12635	   	292.04	橙橙3易伤2攻速	124易伤3最后敌人57攻速6挖青8技能9a核
18	25111 32635	   	292.04	橙橙3易伤2攻速	124易伤3最后敌人57攻速6挖尘8技能9a核
19	25111 22435	   	291.89	橙橙3易伤2攻速1策反	124易伤3最后敌人57攻速6低血量敌人8策反9a核
20	25111 12435	   	291.79	橙橙3易伤2攻速1策反	124易伤3最后敌人57攻速6挖青8策反9a核
21	25111 32435	   	291.79	橙橙3易伤2攻速1策反	124易伤3最后敌人57攻速6挖尘8策反9a核
22	23314 22235	   	290.59	橙橙2易伤2矿等1攻速	14易伤2掉矿38矿等5技能6低血量敌人7攻速9a核
23	23314 12235	   	290.49	橙橙2易伤2矿等1攻速	14易伤2掉矿38矿等5技能6挖青7攻速9a核
24	23314 32235	   	290.49	橙橙2易伤2矿等1攻速	14易伤2掉矿38矿等5技能6挖尘7攻速9a核
25	23311 22635	   	287.43	橙橙2易伤2攻速1矿等	14易伤2掉矿3矿等57攻速6低血量敌人8技能9a核
26	23311 12635	   	287.33	橙橙2易伤2攻速1矿等	14易伤2掉矿3矿等57攻速6挖青8技能9a核
27	23311 32635	   	287.33	橙橙2易伤2攻速1矿等	14易伤2掉矿3矿等57攻速6挖尘8技能9a核
28	23311 22435	   	287.19	橙橙2易伤2攻速1矿等1策反	14易伤2掉矿3矿等57攻速6低血量敌人8策反9a核
29	23311 12435	   	287.09	橙橙2易伤2攻速1矿等1策反	14易伤2掉矿3矿等57攻速6挖青8策反9a核
30	23311 32435	   	287.09	橙橙2易伤2攻速1矿等1策反	14易伤2掉矿3矿等57攻速6挖尘8策反9a核
31	25224 13236	 * 	285.00	橙橙4易伤	1246易伤38立即金币5双倍秒伤6序列升级7加一9a核
