0	Index      	 *	Score 	Summary	Detail	
1	42312 32333	 * 	294.07	橙橙1等级1易伤1矿等1伤害	1最后敌人29火球减费3基础对甲4矿等5易伤6伤害78核a等级
2	41312 32322	 * 	288.28	橙橙2易伤1矿等1伤害	1最后敌人2毒气减费3基础对甲4矿等5a易伤6伤害78核9赏金邻近
3	42312 32322	   	288.28	橙橙2易伤1矿等1伤害	1最后敌人2火球减费3基础对甲4矿等5a易伤6伤害78核9赏金邻近
4	41312 32342	 * 	287.89	橙橙2矿等1易伤1伤害	1最后敌人2毒气减费3基础对甲4a矿等5易伤6伤害78核9策反
5	41312 32352	   	287.89	橙橙2矿等1易伤1伤害	1最后敌人2毒气减费3基础对甲4a矿等5易伤6伤害78核9金币生成
6	41312 42362	   	287.89	橙橙2矿等1易伤1伤害	1最后敌人2毒气减费3基础对甲4a矿等5易伤6策反78核9伤害
7	42312 32342	   	287.89	橙橙2矿等1易伤1伤害	1最后敌人2火球减费3基础对甲4a矿等5易伤6伤害78核9策反
8	42312 32352	   	287.89	橙橙2矿等1易伤1伤害	1最后敌人2火球减费3基础对甲4a矿等5易伤6伤害78核9金币生成
9	42312 42362	   	287.89	橙橙2矿等1易伤1伤害	1最后敌人2火球减费3基础对甲4a矿等5易伤6策反78核9伤害
10	41312 32362	   	287.79	橙橙2矿等1易伤1伤害	1最后敌人2毒气减费3基础对甲4a矿等5易伤6伤害78核9核弹
11	42312 32332	   	287.79	橙橙2矿等1易伤1伤害	1最后敌人29火球减费3基础对甲4a矿等5易伤6伤害78核
12	42312 32362	   	287.79	橙橙2矿等1易伤1伤害	1最后敌人2火球减费3基础对甲4a矿等5易伤6伤害78核9核弹
13	41312 32316	 * 	279.67	橙橙2伤害1易伤1矿等	1最后敌人2毒气减费3基础对甲4矿等5易伤6a伤害78核9额外掉落
14	42312 32316	   	279.67	橙橙2伤害1易伤1矿等	1最后敌人2火球减费3基础对甲4矿等5易伤6a伤害78核9额外掉落
15	41312 32344	   	278.97	橙橙1易伤1矿等1伤害1技能	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9策反a技能
16	41312 32354	   	278.97	橙橙1易伤1矿等1伤害1技能	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9金币生成a技能
17	42312 32344	   	278.97	橙橙1易伤1矿等1伤害1技能	1最后敌人2火球减费3基础对甲4矿等5易伤6伤害78核9策反a技能
18	42312 32354	   	278.97	橙橙1易伤1矿等1伤害1技能	1最后敌人2火球减费3基础对甲4矿等5易伤6伤害78核9金币生成a技能
19	41312 32364	   	278.87	橙橙1易伤1矿等1伤害1技能	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9核弹a技能
20	42312 32364	   	278.87	橙橙1易伤1矿等1伤害1技能	1最后敌人2火球减费3基础对甲4矿等5易伤6伤害78核9核弹a技能
21	41312 32331	   	278.23	橙橙1易伤1矿等1伤害1攻速	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9火球减费a攻速
22	13136 53326	   	277.53	橙橙1易伤1矿等1伤害	1敌人爆炸2时间3随机技能4伤害5雷电6a核7易伤8矿等9平台
23	42312 42333	   	274.01	橙橙1等级1易伤1矿等	1最后敌人29火球减费3基础对甲4矿等5易伤6策反78核a等级
24	41312 32346	   	270.39	橙橙1易伤1矿等1伤害	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9策反a时间
25	42312 32346	   	270.39	橙橙1易伤1矿等1伤害	1最后敌人2火球减费3基础对甲4矿等5易伤6伤害78核9策反a时间
26	41312 32366	   	270.29	橙橙1易伤1矿等1伤害	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9核弹a时间
27	42312 32334	   	270.29	橙橙1易伤1矿等1伤害	1最后敌人29火球减费3基础对甲4矿等5易伤6伤害78核a时间
28	42312 32366	   	270.29	橙橙1易伤1矿等1伤害	1最后敌人2火球减费3基础对甲4矿等5易伤6伤害78核9核弹a时间
29	43145 22213	 * 	269.78	橙2易伤2矿等1等级1攻速	1最后敌人2时间3随机技能48矿等56易伤7等级9核a攻速
30	41312 32313	   	269.02	橙橙1易伤1矿等1伤害	1最后敌人2毒气减费3基础对甲4矿等5易伤6伤害78核9额外掉落a随机技能
31	42312 32313	   	269.02	橙橙1易伤1矿等1伤害	1最后敌人2火球减费3基础对甲4矿等5易伤6伤害78核9额外掉落a随机技能
32	41312 42322	   	268.22	橙橙2易伤1矿等	1最后敌人2毒气减费3基础对甲4矿等5a易伤6策反78核9赏金邻近
33	42312 42322	   	268.22	橙橙2易伤1矿等	1最后敌人2火球减费3基础对甲4矿等5a易伤6策反78核9赏金邻近
34	41312 42352	   	267.83	橙橙2矿等1易伤	1最后敌人2毒气减费3基础对甲4a矿等5易伤6策反78核9金币生成
35	42312 42352	   	267.83	橙橙2矿等1易伤	1最后敌人2火球减费3基础对甲4a矿等5易伤6策反78核9金币生成
36	42312 42332	   	267.73	橙橙2矿等1易伤	1最后敌人29火球减费3基础对甲4a矿等5易伤6策反78核
