0	Index      	 *	Score 	Summary	Detail	
1	11631 64311	 * 	294.13	橙橙2易伤2矿等	1烈焰减费2金币生成38雷电4a易伤59矿等67核
2	11631 64113	   	272.02	橙橙1易伤1矿等1攻速1暴击	1烈焰减费2金币生成3雷电4易伤5矿等67核8敌人爆炸9暴击a攻速
3	11631 64213	   	271.92	橙橙1易伤1矿等1攻速1暴击	1烈焰减费2金币生成3雷电4易伤5矿等67核8基地爆炸9暴击a攻速
4	61221 32112	 * 	271.68	紫4易伤2矿等2等级2全技能	19等级27全技能3掉矿489a易伤5核69矿等9序列升级
5	61211 33315	 * 	271.33	紫橙2易伤1等级1矿等1卖塔	1等级2全技能3掉矿4挖尘5a核68易伤7卖塔9矿等
6	61221 34315	 * 	271.33	紫橙2易伤1等级1矿等1卖塔	1等级2全技能3掉矿49易伤5a核6矿等7基地爆炸8卖塔
7	61511 33315	 * 	271.33	紫橙2易伤1等级1矿等1卖塔	1等级2全技能3基地爆炸4掉矿5a核68易伤7卖塔9矿等
8	26112 16531	 * 	268.61	橙2易伤2矿等2等级1攻速	1金币生成29易伤3毒气减费4寒冰对黄59等级6加一7攻速89矿等9序列升级a核
9	32124 62422	 * 	268.20	橙橙2等级1易伤	1全技能2立即金币3金币生成47等级5易伤6雷电8赏金塔9a核
10	32124 62622	   	268.20	橙橙2等级1易伤	1全技能2立即金币3金币生成47等级5易伤6雷电8赏金邻近9a核
11	11631 64312	   	267.93	橙橙2矿等1易伤	1烈焰减费2金币生成38雷电4易伤59矿等67核a双倍矿
12	11631 64121	   	267.83	橙橙2矿等1易伤1挖怪	1烈焰减费2金币生成3雷电4易伤59矿等67核8敌人爆炸a挖怪
13	11631 64122	   	267.83	橙橙2矿等1易伤	1烈焰减费2金币生成3雷电4易伤59矿等67核8敌人爆炸a双倍秒伤
14	11631 64123	   	267.83	橙橙2矿等1易伤	1烈焰减费2金币生成3雷电4易伤59矿等67核8敌人爆炸a导弹对绿
15	11631 64313	   	267.83	橙橙2矿等1易伤	1烈焰减费2金币生成38雷电4易伤59矿等67核a掉矿
16	11631 64221	   	267.73	橙橙2矿等1易伤1挖怪	1烈焰减费2金币生成3雷电4易伤59矿等67核8基地爆炸a挖怪
17	11631 64222	   	267.73	橙橙2矿等1易伤	1烈焰减费2金币生成3雷电4易伤59矿等67核8基地爆炸a双倍秒伤
18	11631 64223	   	267.73	橙橙2矿等1易伤	1烈焰减费2金币生成3雷电4易伤59矿等67核8基地爆炸a导弹对绿
19	61221 32115	   	266.17	紫3易伤2矿等2等级2全技能1暴击	19等级27全技能3掉矿489易伤5核69矿等9序列升级a暴击
20	33511 42135	 * 	265.68	紫橙1易伤1等级1矿等2全技能1暴击	17全技能2最后敌人3矿等4掉矿5a核6等级8易伤9暴击
21	61221 32335	   	265.68	紫橙1易伤1等级1矿等2全技能1暴击	1等级27全技能3掉矿4易伤5a核6矿等8低血量敌人9暴击
22	32216 62422	 * 	264.70	橙橙2等级1矿等	1全技能2立即金币37等级4敌人爆炸5矿等6雷电8赏金塔9a核
23	32216 62622	   	264.70	橙橙2等级1矿等	1全技能2立即金币37等级4敌人爆炸5矿等6雷电8赏金邻近9a核
