0	Index      	 *	Score 	Summary	Detail	
1	52333 62236	 * 	307.51	橙橙3易伤1等级1暴击	14a易伤2金币生成3基地爆炸5暴击69核7等级8挖尘
2	52133 62234	   	300.72	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a随机技能
3	52133 62235	   	300.33	橙橙2易伤1等级2时间1暴击	14易伤2金币生成3a时间5暴击69核7等级8挖尘
4	52133 61334	 * 	297.32	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a随机技能
5	52133 61335	   	296.93	橙橙2易伤1矿等2时间1暴击	14易伤2金币生成3a时间5暴击69核7最后敌人8矿等
6	33211 51521	 * 	294.78	橙橙2矿等1易伤1伤害1卖塔	1敌人爆炸2卖塔3雷电4随机技能58矿等6伤害79核a易伤
7	52133 62631	   	293.88	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8低血量敌人a雷电
8	52133 62633	   	293.88	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8低血量敌人a随机矿
9	52133 62231	   	293.78	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a雷电
10	52133 62233	   	293.78	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a随机矿
11	52133 62236	   	293.78	橙橙2易伤1等级1暴击	14易伤2a金币生成3时间5暴击69核7等级8挖尘
12	52133 62632	   	293.78	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8低血量敌人a基地爆炸
13	52133 62232	   	293.68	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a基地爆炸
14	52333 62235	   	293.68	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a时间
15	52333 62234	   	292.31	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a随机技能
16	13552 21235	   	291.89	橙橙2易伤1等级1伤害	1策反2伤害3毒气减费4立即金币5随机矿68易伤7a核9等级
17	33211 11521	 * 	290.97	橙橙2矿等1易伤1攻速1卖塔	1敌人爆炸2卖塔3雷电4随机技能58矿等6攻速79核a易伤
18	52133 61331	   	290.38	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a雷电
19	52133 61333	   	290.38	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a随机矿
20	52133 61336	   	290.38	橙橙2易伤1矿等1暴击	14易伤2a金币生成3时间5暴击69核7最后敌人8矿等
21	52133 61332	   	290.28	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a基地爆炸
22	11551 21235	   	288.07	橙橙2易伤1等级1攻速	1策反2技能点3毒气减费4立即金币5攻速68易伤7a核9等级
23	52433 62231	   	285.57	橙橙2易伤1等级1暴击	13易伤23金币生成3序列升级4敌人爆炸5暴击69核7等级8挖尘a雷电
24	52433 62233	   	285.57	橙橙2易伤1等级1暴击	13易伤23金币生成3序列升级4敌人爆炸5暴击69核7等级8挖尘a随机矿
25	52333 62631	   	285.47	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8低血量敌人a雷电
26	52333 62633	   	285.47	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8a低血量敌人
27	52433 62232	   	285.47	橙橙2易伤1等级1暴击	13易伤23金币生成3序列升级4敌人爆炸5暴击69核7等级8挖尘a基地爆炸
28	52333 62231	   	285.37	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a雷电
29	52333 62233	   	285.37	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a低血量敌人
30	52333 62632	   	285.37	橙橙2易伤1等级1暴击	14易伤2金币生成3a基地爆炸5暴击69核7等级8低血量敌人
31	52333 62232	   	285.27	橙橙2易伤1等级1暴击	14易伤2金币生成3a基地爆炸5暴击69核7等级8挖尘
32	63352 12335	 * 	278.33	橙橙1等级1矿等1伤害1攻速	13掉矿2伤害4立即金币5随机矿6矿等7攻速8a核9等级
