0	Index      	 *	Score 	Summary	Detail	
1	13623 31214	 * 	203.99	ACR|4VULN|2DMG|1AART|1ZMB	159aVULN|2LHND|3ZMB|4RCR|6AART|78DMG
2	12133 42314	   	199.83	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	19aVULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8DUR
3	12133 51214	   	199.83	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	19aVULN|2RCVC|3RCR|4ZMB|5AART|6DUR|78DMG
4	12133 45314	   	196.34	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	179aVULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8DUR
5	11626 14221	 * 	195.62	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5AART|6DUR|78DMG|8BPWR|9MLV|aCDMG
6	11622 34253	   	195.02	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|28FEWX|3ZMB|4RCR|5BEXP|6AART|78DMG|8BPWR|9DUR|aCDMG
7	52123 32662	   	194.67	ACR|3VULN|2DMG|1AART|2DUR|1SELL	19MLV|27DUR|3RCR|4AART|5SELL|69aVULN|89DMG|9BPWR
8	11542 41113	 * 	194.48	ACR|4VULN|1AART|2ZMB|1CDMG|2DUR	1568VULN|2FEWX|38DUR|4RCR|78ZMB|8BPWR|9AART|aCDMG
9	16111 61143	   	193.09	ACR|4VULN|2DMG|1AART	1478VULN|2TLV|3RCR|58CGEN|68DMG|8BPWR|9BELT|aAART
10	12133 31214	   	192.89	ACR|3VULN|2DMG|1AART|1ZMB	19aVULN|2RCVC|3RCR|4ZMB|5AART|6FEWX|78DMG
11	32133 45214	   	192.89	ACR|3VULN|2DMG|1AART|1ZMB	1LHND|2RCVC|3RCR|4ZMB|5AART|68DMG|79aVULN
12	33133 45214	   	192.89	ACR|3VULN|2DMG|1AART|1ZMB	12LHND|3RCR|4ZMB|5AART|68DMG|79aVULN
13	12133 42215	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	19aVULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8MBVNT
14	12133 43214	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	19aVULN|2RCVC|3RCR|4ZMB|5AART|68DMG|7DUST
15	52113 46312	 * 	192.58	ACR|4VULN|3DMG|1DUR	17MLV|2DUR|3RCR|4579VULN|67aDMG|7BPWR|8RCVC
16	32135 31214	   	192.29	ACR|3VULN|2DMG|1AART|1ZMB	1LHND|2RCVC|3RCR|4ZMB|59aVULN|6AART|78DMG
17	33135 31214	   	192.29	ACR|3VULN|2DMG|1AART|1ZMB	12LHND|3RCR|4ZMB|59aVULN|6AART|78DMG
18	11223 41111	 * 	192.14	ACR|3VULN|2DMG|1AART|2ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9AART|aCGEN
19	11223 41112	   	192.14	ACR|3VULN|2DMG|1AART|2ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9AART|aMLV
20	11223 41114	   	192.14	ACR|3VULN|2DMG|1AART|2ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9AART|aLHND
21	11223 41115	   	192.14	ACR|3VULN|2DMG|1AART|2ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9AART|aMGNSTR
22	11223 41116	   	192.14	ACR|3VULN|2DMG|1AART|2ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9AART|aBEXP
23	11223 41113	   	192.04	ACR|3VULN|2DMG|1AART|2ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9AART|aMBVNT
24	12156 31126	 * 	190.90	ACR|3VULN|2DMG|2CDMG|2ZMB	18aVULN|2RCVC|3RCR|4RPLT|5aDMG|68CDMG|78ZMB|8aBPWR|9aFEWX
25	13323 46221	   	190.79	ACR|4VULN|2DMG|1AART	1578VULN|2LHND|37CGEN|4RCR|67DMG|7BPWR|9BELT|aAART
26	23113 45113	   	190.69	ACR|3VULN|2DMG|1AART|1ZMB	18FEWX|2CGEN|3RCR|458VULN|68DMG|7RMIN|8BPWR|9AART|aZMB
27	16221 61143	   	190.69	ACR|4VULN|2DMG|1AART	1378VULN|23TLV|38BPWR|4RCR|58CGEN|68DMG|9BELT|aAART
28	13623 31114	 * 	190.26	ACR|4VULN|1AART|1DMG|2ZMB	159aVULN|2LHND|38ZMB|4RCR|6AART|7DMG
29	11226 14221	   	189.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18VULN|2FEWX|3RMIN|4RCR|5AART|68DUR|78DMG|8BPWR|9MLV|aCDMG
30	11226 14243	   	189.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18VULN|2FEWX|3RMIN|4RCR|5AART|68DUR|78DMG|8BPWR|9BEXP|aCDMG
31	13623 31211	   	189.89	ACR|3VULN|2DMG|1AART|1ZMB	159VULN|2LHND|3ZMB|4RCR|6AART|78DMG|aDMSP
32	13623 31215	   	189.89	ACR|3VULN|2DMG|1AART|1ZMB	159VULN|2LHND|3ZMB|4RCR|6AART|78DMG|aRMIN
33	13623 31264	   	189.89	ACR|3VULN|2DMG|1AART|1ZMB	15aVULN|2LHND|3ZMB|4RCR|6AART|78DMG|9RCVC
34	13625 31214	   	189.89	ACR|3VULN|2DMG|1AART|1ZMB	19aVULN|2LHND|3ZMB|4RCR|5RCVC|6AART|78DMG
35	13623 31212	   	189.79	ACR|3VULN|2DMG|1AART|1ZMB	159VULN|2LHND|3ZMB|4RCR|6AART|78DMG|aDUST
36	13623 31216	   	189.79	ACR|3VULN|2DMG|1AART|1ZMB	159VULN|2LHND|3ZMB|4RCR|6AART|78DMG|aBASHEA
37	52113 46311	 * 	189.75	ACR|5VULN|2DMG|1DUR	17MLV|2DUR|3RCR|4579aVULN|67DMG|7BPWR|8RCVC
38	13162 14262	 * 	189.54	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	18aVULN|2LHND|3AART|48FEWX|5ASPD|6DUR|78DMG|8BPWR|9RCR
39	12133 42312	   	189.47	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	19VULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8aDUR
40	12133 51212	   	189.47	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	19VULN|2RCVC|3RCR|4ZMB|5AART|6aDUR|78DMG
41	52123 31662	   	189.38	ACR|3VULN|2DMG|1AART|1DUR|1SELL	19MLV|2DUR|3RCR|4AART|5SELL|69aVULN|7RCVC|89DMG|9BPWR
42	13122 14264	   	189.35	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	18aVULN|2LHND|3AART|48DUST|5ASPD|6DUR|78DMG|8BPWR|9RCR
43	12133 45215	   	189.30	ACR|4VULN|1AART|1DMG|1ZMB	179aVULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8MBVNT
44	16113 41314	   	189.30	ACR|4VULN|1AART|1DMG|1ZMB	149aVULN|2TLV|3RCR|5AART|6DMG|7ZMB|8CGEN
45	11223 46113	   	188.29	ACR|3VULN|2DMG|1AART|1ZMB	158VULN|2FEWX|3RMIN|4RCR|68DMG|78CGEN|8BPWR|9AART|aZMB
46	11622 34221	   	188.09	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28FEWX|3ZMB|4RCR|5BEXP|6AART|78DMG|8BPWR|9MLV|aCDMG
47	11622 34263	   	188.09	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28FEWX|3ZMB|4RCR|5BEXP|6AART|78DMG|8BPWR|9LWND|aCDMG
48	11621 34221	   	187.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28FEWX|3ZMB|4RCR|5DUST|6AART|78DMG|8BPWR|9MLV|aCDMG
49	11621 34236	   	187.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28FEWX|3ZMB|4RCR|5DUST|6AART|78DMG|8BPWR|9LIT|aCDMG
50	11621 34242	   	187.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28FEWX|3ZMB|4RCR|5DUST|6AART|78DMG|8BPWR|9BEXP|aCDMG
51	11621 34261	   	187.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28FEWX|3ZMB|4RCR|5DUST|6AART|78DMG|8BPWR|9RMIN|aCDMG
52	12133 45312	   	187.53	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	179VULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8aDUR
53	16223 41314	   	186.90	ACR|4VULN|1AART|1DMG|1ZMB	139aVULN|23TLV|3BPWR|4RCR|5AART|6DMG|7ZMB|8CGEN
54	52124 13224	 * 	186.89	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	19MLV|2DUR|3RCR|4AART|5RMIN|689DMG|79ZMB|9BPWR|aVULN
55	16113 16611	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2TLV|3RCR|5AART|6MLV|7CDMG|89DMG|aDUR
56	16113 26611	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2TLV|3RCR|5AART|6CGEN|7CDMG|89DMG|aDUR
57	55113 22611	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|24VULN|3RCR|5AART|6CDMG|7ERES|89DMG|aDUR
58	12133 41314	   	186.09	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	19aVULN|2RCVC|3RCR|47ZMB|5AART|6DMG|8DUR
59	12133 51114	   	186.09	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	19aVULN|2RCVC|3RCR|48ZMB|5AART|6DUR|7DMG
60	11222 34254	   	186.03	ACR|3VULN|2DMG|1AART|1DUR	18aVULN|2FEWX|3RMIN|4RCR|58BEXP|6AART|78DMG|8BPWR|9DUR
61	53113 46312	   	185.64	ACR|4VULN|3DMG	17MLV|2LHND|3RCR|4579VULN|67aDMG|7BPWR|8RCVC
62	36113 46312	   	185.54	ACR|4VULN|3DMG	17LHND|2TLV|3RCR|4579VULN|67aDMG|7BPWR|8RCVC
63	12113 45314	   	185.34	ACR|4VULN|1AART|1DMG|1DUR	179aVULN|2RCVC|3RCR|4RMIN|5AART|6DMG|8DUR
64	16113 45311	   	185.24	ACR|4VULN|1AART|1DMG|1DUR	1479VULN|2TLV|3RCR|5AART|6DMG|8DUR|aDMSP
65	16113 45312	   	185.24	ACR|4VULN|1AART|1DMG|1DUR	1479VULN|2TLV|3RCR|5AART|6DMG|8DUR|aRMIN
66	16113 45313	   	185.24	ACR|4VULN|1AART|1DMG|1DUR	1479VULN|2TLV|3RCR|5AART|6DMG|8DUR|aFEWX
67	12133 16562	   	185.17	ACR|3VULN|1AART|2ZMB|1CDMG|2DUR	19aVULN|2RCVC|3RCR|49ZMB|5AART|6MLV|7CDMG|89DUR|9BPWR
68	16113 45214	   	185.14	ACR|4VULN|1AART|1DMG|1DUR	1479VULN|2TLV|3RCR|5AART|6DMG|8MBVNT|aDUR
69	13162 14263	   	184.89	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	18VULN|2LHND|3AART|48FEWX|5ASPD|6DUR|78DMG|8BPWR|9RCR|aZMB
70	55113 23623	 * 	184.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MLV|248VULN|3RCR|5AART|6CDMG|7LIT|9DMG|aDUR
71	52124 13124	 * 	184.77	ACR|2DMG|3ZMB|1AART|1VULN|1DUR	19MLV|2DUR|3RCR|4AART|5RMIN|69DMG|789ZMB|9BPWR|aVULN
72	55223 22611	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13MLV|23VULN|3BPWR|4RCR|5AART|6CDMG|7ERES|89DMG|aDUR
73	16223 16611	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|23TLV|3BPWR|4RCR|5AART|6MLV|7CDMG|89DMG|aDUR
74	16223 26611	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|23TLV|3BPWR|4RCR|5AART|6CGEN|7CDMG|89DMG|aDUR
75	12133 31212	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|6FEWX|78DMG|aDUR
76	12133 42315	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8DUR|aRMIN
77	12133 42364	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|29RCVC|3RCR|4ZMB|5AART|67DMG|8DUR
78	12133 51215	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|6DUR|78DMG|aRMIN
79	12133 51264	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|29RCVC|3RCR|4ZMB|5AART|6DUR|78DMG
80	16113 46232	 * 	184.16	ACR|3VULN|1AART|1DMG|2CDMG	14aVULN|2TLV|3RCR|5AART|6DMG|78CDMG|9BEXP
81	55113 21722	   	184.16	ACR|3VULN|1AART|1DMG|2CDMG	1MLV|24aVULN|3RCR|5AART|69CDMG|7MBVNT|8DMG
82	12133 42212	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8MBVNT|aDUR
83	12133 43212	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|68DMG|7DUST|aDUR
84	12133 42311	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8DUR|aLEGI
85	12133 42316	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|67DMG|8DUR|aBASHEA
86	12133 51211	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|6DUR|78DMG|aLEGI
87	12133 51216	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19VULN|2RCVC|3RCR|4ZMB|5AART|6DUR|78DMG|aBASHEA
88	11222 34253	   	184.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|2FEWX|3RMIN|4RCR|58BEXP|6AART|78DMG|8BPWR|9DUR|aCDMG
89	11542 21132	 * 	183.47	ACR|3VULN|3ZMB|1AART|3DUR	158VULN|2FEWX|368DUR|4RCR|789ZMB|8BPWR|aAART
90	13542 21132	   	183.47	ACR|3VULN|3ZMB|1AART|3DUR	158VULN|2LHND|368DUR|4RCR|789ZMB|8BPWR|aAART
91	16132 11334	 * 	183.34	ACR|4VULN|2DMG|2ASPD	157aVULN|2TLV|3RCR|4aASPD|6ERES|8MGNLIT|9aDMG|aBPWR
92	13323 46312	   	183.24	ACR|4VULN|3DMG	1579VULN|28LHND|37CGEN|4RCR|67aDMG|7BPWR
93	13323 46512	   	183.24	ACR|4VULN|3DMG	1579VULN|2LHND|378CGEN|4RCR|67aDMG|7BPWR
94	13325 46212	   	183.24	ACR|4VULN|3DMG	1789VULN|2LHND|37CGEN|4RCR|5RCVC|67aDMG|7BPWR
95	52126 13234	   	182.84	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1MLV|2DUR|3RCR|4AART|5CGEN|689DMG|7ZMB|aVULN
96	16223 45311	   	182.84	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|23TLV|3BPWR|4RCR|5AART|6DMG|8DUR|aDMSP
97	16223 45312	   	182.84	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|23TLV|3BPWR|4RCR|5AART|6DMG|8DUR|aRMIN
98	16223 45313	   	182.84	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|23TLV|3BPWR|4RCR|5AART|6DMG|8DUR|aFEWX
99	53113 46311	   	182.81	ACR|5VULN|2DMG	17MLV|2LHND|3RCR|4579aVULN|67DMG|7BPWR|8RCVC
100	16116 31113	 * 	182.79	ACR|3VULN|3CDMG|1AART|2ZMB	148VULN|2TLV|3RCR|5RPLT|68aCDMG|78ZMB|8BPWR|9AART
101	52125 13234	   	182.74	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1MLV|2DUR|3RCR|4AART|5TLV|689DMG|7ZMB|aVULN
102	16223 45214	   	182.74	ACR|4VULN|1AART|1DMG|1DUR	1379VULN|23TLV|3BPWR|4RCR|5AART|6DMG|8MBVNT|aDUR
103	16111 61116	   	182.71	ACR|5VULN|2DMG	1478aVULN|2TLV|3RCR|58CGEN|68DMG|8BPWR|9BEXP
104	16111 61126	   	182.71	ACR|5VULN|2DMG	1478aVULN|2TLV|3RCR|58CGEN|68DMG|8BPWR|9LHND
105	16111 61136	   	182.71	ACR|5VULN|2DMG	1478aVULN|2TLV|3RCR|58CGEN|68DMG|8BPWR|9FEWX
106	16111 61141	   	182.71	ACR|5VULN|2DMG	1478aVULN|2TLV|3RCR|58CGEN|68DMG|8BPWR|9BELT
107	36113 46311	   	182.71	ACR|5VULN|2DMG	17LHND|2TLV|3RCR|4579aVULN|67DMG|7BPWR|8RCVC
108	12113 45316	 * 	182.69	ACR|3VULN|2AART|1DMG|1DUR	179VULN|2RCVC|3RCR|4RMIN|5aAART|6DMG|8DUR
109	12135 43113	   	182.67	ACR|3VULN|1AART|2ZMB|1CDMG|2DUR	158VULN|2RCVC|3RCR|48ZMB|68DUR|7MBVNT|8BPWR|9AART|aCDMG
110	16122 31113	   	182.67	ACR|3VULN|1AART|2ZMB|1CDMG|2DUR	158VULN|2TLV|3RCR|4RMIN|68DUR|78ZMB|8BPWR|9AART|aCDMG
111	55223 23623	   	182.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	13MLV|238VULN|3BPWR|4RCR|5AART|6CDMG|7LIT|9DMG|aDUR
112	55113 25211	   	182.49	ACR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1MLV|24VULN|3RCR|5AART|68CDMG|7ASPD|9DMG|aDUR
113	11223 41152	 * 	182.44	ACR|4VULN|2DMG|2ZMB	158aVULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9RPLT
114	11223 41166	   	182.44	ACR|4VULN|2DMG|2ZMB	158aVULN|2FEWX|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9MLV
115	13223 41126	   	182.44	ACR|4VULN|2DMG|2ZMB	158aVULN|2LHND|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9CGEN
116	13223 41146	   	182.44	ACR|4VULN|2DMG|2ZMB	158aVULN|29LHND|3RMIN|4RCR|68DMG|78ZMB|8BPWR
117	16113 46211	   	182.39	ACR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	14VULN|2TLV|3RCR|5AART|6DMG|78CDMG|9ASPD|aDUR
118	12133 45315	   	182.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8DUR|aRMIN
119	16132 61243	   	182.24	ACR|4VULN|1AART|1DMG|1ASPD	1578VULN|2TLV|3RCR|4ASPD|6DMG|9BELT|aAART
120	13223 41116	   	182.22	ACR|3VULN|2DMG|2ZMB|1DUR|1ASPD	158VULN|2LHND|3RMIN|4RCR|68DMG|78ZMB|8BPWR|9DUR|aASPD
121	12133 45311	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2RCVC|3RCR|4ZMB|5AART|6DMG|8DUR|aLEGI
