0	Index      	 *	Score 	Summary	Detail	
1	51114 42233	 * 	197.52	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2RPLT|3CDMG|45aVULN|6RCR|7FEWX|89DMG
2	63111 22112	 * 	194.46	DCR|4VULN|2DMG|3ASPD|2DUR	1aDUR|2478VULN|34aASPD|4aBPWR|5aDMG|6MBVNT|9RCR
3	51114 42213	 * 	194.03	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3CDMG|459aVULN|6RCR|7FEWX|8DMG
4	53412 33116	 * 	192.13	DCR|5VULN|1AART|3ZMB	1AART|27LIT|367ZMB|45789VULN|7BPWR|aRCR
5	63633 14112	 * 	190.52	DCR|3DMG|2VULN|3CDMG|3DUR	17aDUR|28VULN|37aCDMG|4DMSP|57aDMG|6RPLT|7aBPWR|9RCR
6	21251 34252	   	189.64	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	17DMG|247DUST|34DUR|47BPWR|5ASPD|67VULN|8AART|9RCR|aCDMG
7	13231 35613	 * 	189.53	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	1BEXP|2aVULN|3AART|4BASICY|5RCR|6ASPD|7aCDMG|8DUST|9aDMG|aBPWR
8	16251 34231	 * 	188.84	DCR|3DMG|2VULN|1AART|2DUR|1ASPD	17BEXP|247DMG|34DUR|47BPWR|5ASPD|67VULN|8ERES|9AART|aRCR
9	51111 16334	 * 	188.24	DCR|2AART|2VULN|1DMG|2CDMG|1ZMB	17AART|2RPLT|3aCDMG|46VULN|5ZMB|8RCR|9DMG
10	21251 34253	 * 	187.43	DCR|2VULN|2DMG|2AART|2DUR|1ASPD	17DMG|247DUST|34DUR|47BPWR|5ASPD|67VULN|8aAART|9RCR
11	22214 12132	 * 	186.76	DCR|3VULN|3DMG|2DUR	15aDMG|2LWND|3RCVC|4RMIN|6RCR|78aVULN|9aDUR|aBPWR
12	26214 12142	   	186.66	DCR|3VULN|3DMG|2DUR	15aDMG|2aDUR|3RCVC|4RMIN|6RCR|78aVULN|9LEGI|aBPWR
13	51111 16335	 * 	185.78	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	17AART|2RPLT|3CDMG|46VULN|5aZMB|8RCR|9DMG
14	25213 12563	 * 	185.27	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA|2DUR	1aDMG|2FEWX|3aDUR|4FLTHEA|5VULN|6aCDMG|7RMIN|8AART|9RCR|aBPWR
15	51245 22132	 * 	184.85	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	18AART|2RPLT|36CGEN|4RCR|56VULN|6BPWR|7CDMG|9DMG|aZMB
