0	Index      	 *	Score 	Summary	Detail	
1	61245 21221	 * 	185.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	18CGEN|2ERES|3AART|4RCR|5BELT|68DMG|78VULN|8BPWR|9DUR|aCDMG
2	61241 24223	 * 	180.59	ACR|3VULN|2DMG|1AART	1CGEN|2ERES|3AART|4RCR|5LWND|68DMG|79aVULN
3	61245 21211	   	178.78	ACR|2VULN|2DMG|1AART|1CDMG	18CGEN|2ERES|3AART|4RCR|5BELT|68DMG|78VULN|8BPWR|9LHND|aCDMG
4	61245 21231	   	178.68	ACR|2VULN|2DMG|1AART|1CDMG	18CGEN|2ERES|3AART|4RCR|5BELT|68DMG|78VULN|8BPWR|9DUST|aCDMG
5	61221 16263	 * 	178.02	DCR|2VULN|2DMG|1AART|1ZMB	1aCGEN|2aERES|3AART|4RPLT|58VULN|6RCR|7ZMB|9aDMG|aBPWR
6	61241 24233	 * 	176.38	ACR|2AART|2VULN|2DMG	1CGEN|2ERES|39AART|4RCR|5LWND|68DMG|7aVULN
7	61221 16261	 * 	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2ERES|3AART|4RPLT|58aVULN|6RCR|7ZMB|9DMG
8	61242 35113	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	1CGEN|2ERES|3AART|4RCR|5ZMB|6TLV|78DMG|9aVULN
9	22232 63641	 * 	173.24	ACR|2DMG|2AART|1VULN|1CDMG	19BEXP|29MLV|3RCR|4ERES|5CDMG|68AART|79DMG|9BPWR|aVULN
10	61245 21222	   	172.07	ACR|2VULN|2DMG|1AART|1DUR	18CGEN|2ERES|3AART|4RCR|5BELT|68DMG|78VULN|8BPWR|9DUR|aFEWX
11	61241 24221	   	171.87	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2ERES|3AART|4RCR|5LWND|68DMG|79VULN|aDUR
12	52225 24133	   	171.13	ACR|2VULN|2AART|1DMG|2DUR	16DUR|2MLV|3RCR|4RCVC|59VULN|7aAART|8DMG
13	52262 32241	 * 	169.98	ACR|2VULN|1AART|2CDMG|2DUR|1ZMB	16DUR|2MLV|3RCR|4ERES|56CDMG|6BPWR|79VULN|8AART|aZMB
14	36411 31352	 * 	168.66	DCR|4VULN|1AART|1CDMG|1ASPD|1SELL	1SELL|2CGEN|3468VULN|5AART|7CDMG|9ASPD|aRCR
15	54336 13123	 * 	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2CDMG|3LWND|45VULN|6LIT|7AART|8RCR|9DMG
16	22232 63241	 * 	168.11	ACR|2DMG|1AART|1VULN|2CDMG	19BEXP|29MLV|3RCR|4ERES|58CDMG|6AART|79DMG|9BPWR|aVULN
17	62523 35332	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2LIT|3AART|48VULN|5CDMG|6ASPD|7RCR|9DMSP|aDMG
18	36414 32311	 * 	167.22	DCR|4VULN|1AART|1ZMB|1ASPD|1SELL	1SELL|2CGEN|345aVULN|6ASPD|7AART|8ZMB|9RCR
19	14336 13125	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3LWND|45VULN|6LIT|7AART|8RCR|9DMG|aZMB
20	36414 32313	 * 	166.76	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1SELL	1SELL|2CGEN|345VULN|6ASPD|7AART|8ZMB|9RCR|aCDMG
21	61241 24231	   	165.73	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2ERES|39AART|4RCR|5LWND|68DMG|7VULN|aDUR
22	52221 34116	   	165.73	ACR|2DMG|2AART|1VULN|1DUR	1DUR|2MLV|3RCR|4RCVC|5TLV|68DMG|7aAART|9VULN
23	22232 32546	 * 	165.61	ACR|2VULN|1AART|1DMG|2CDMG	16BEXP|2MLV|3RCR|4ERES|56CDMG|6BPWR|78VULN|9DMG|aAART
24	22252 35244	   	165.53	ACR|2VULN|2DMG|1AART	1BEXP|2MLV|3RCR|4RCVC|5MBVNT|6AART|79VULN|8aDMG
25	21252 35244	   	165.43	ACR|2VULN|2DMG|1AART	1BEXP|2ERES|3RCR|4RCVC|5MBVNT|6AART|79VULN|8aDMG
