0	Index      	 *	Score 	Summary	Detail	
1	26333 11311	 * 	201.63	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|678VULN|9ZMB
2	26333 11331	 * 	199.81	ACR|3VULN|1AART|1DMG|2CDMG|2ASPD	1aLHND|2AART|3RCR|4aASPD|5DMG|678VULN|9aCDMG|aBPWR
3	62512 32413	 * 	199.65	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	19DUR|2RPLT|349VULN|5DUST|6CDMG|79DMG|8RCR|9BPWR|aAART
4	26343 63331	 * 	195.13	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	14aLHND|2AART|3RCR|5aDMG|6ASPD|78VULN|9aCDMG|aBPWR
5	26333 11332	   	193.00	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9aCDMG
6	26311 11361	 * 	192.63	ACR|4VULN|1AART|2CDMG|2DUR	15aLHND|2AART|3RCR|45DUR|5aBPWR|678aVULN|9aCDMG
7	26333 63311	 * 	192.59	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1LHND|2AART|3RCR|46ASPD|5aDMG|78VULN|9ZMB
8	26333 11321	   	190.53	ACR|3VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|678VULN|9TLV
9	26333 11341	   	190.53	ACR|3VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|678VULN|9ERES
10	26333 63331	 * 	190.47	ACR|2VULN|1AART|3ASPD|1DMG|2CDMG	1aLHND|2AART|3RCR|46aASPD|5DMG|78VULN|9aCDMG|aBPWR
11	53213 23155	   	190.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|4FEWX|569VULN|7RCR|8DMG|aAART
12	53233 13155	   	189.97	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|459VULN|6LEGI|7RCR|8DMG|aAART
13	26333 11431	 * 	189.83	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|89ZMB
14	26311 11311	   	189.43	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9ZMB|aDMG
15	26213 46233	 * 	187.42	DCR|4VULN|1AART|1DMG|1DUR	1LHND|2AART|3689VULN|4RCVC|5DMG|7RCR|aDUR
16	26342 11361	   	187.24	ACR|4VULN|1AART|2CDMG|1DUR	14aLHND|2AART|3RCR|5DUR|678aVULN|9aCDMG|aBPWR
17	26333 11334	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9CDMG|aDMSP
18	26333 11336	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9CDMG|aBELT
19	26333 11333	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9CDMG|aDUST
20	26333 11111	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|8DMSP|9ZMB
21	26333 11461	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19LHND|2AART|3RCR|4ASPD|5aDMG|67VULN|8ZMB
22	26343 63311	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	14LHND|2AART|3RCR|5aDMG|6ASPD|78VULN|9ZMB
23	36112 12361	   	185.59	ACR|3VULN|2DMG|1AART|1ZMB	1FEWX|236VULN|4ZMB|5RCR|7aDMG|8ERES|9AART
24	53233 43263	 * 	185.31	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|456aVULN|7RCR|8AART|9MLV
