0	Index      	 *	Score 	Summary	Detail	
1	51142 31135	 * 	193.02	ACR|3DMG|2VULN|1AART|2DUR	19DUR|2BEXP|3RCR|49VULN|5FEWX|6BASHEA|7AART|89aDMG|9BPWR
2	51142 31134	   	188.37	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	19DUR|2BEXP|3RCR|49VULN|5FEWX|6BASHEA|7AART|89DMG|9BPWR|aZMB
3	12411 23254	 * 	186.35	DCR|3VULN|1AART|1DMG|2CDMG	1BEXP|2RCVC|3AART|46aVULN|59CDMG|7RCR|8DMG
4	35511 26313	 * 	185.43	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB	1ERES|2LWND|357DMG|4ZMB|6RCR|8FLTHEA|9VULN|aAART
5	11411 23254	   	182.64	DCR|3VULN|1AART|1DMG|2CDMG	12BEXP|3AART|46aVULN|59CDMG|7RCR|8DMG
6	12411 23215	 * 	181.97	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|2RCVC|3AART|46VULN|5CDMG|7RCR|8aDMG|9LIT
7	35521 26313	   	181.37	DCR|3DMG|1AART|1VULN|1FLTHEA|1ASPD	1ERES|2LWND|357DMG|4ASPD|6RCR|8FLTHEA|9VULN|aAART
8	12411 23214	   	180.03	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2RCVC|3AART|46aVULN|5CDMG|7RCR|8DMG|9LIT
9	13511 24325	 * 	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	1BEXP|2ERES|35DMG|4ZMB|6RCR|79aVULN|8CDMG
10	31511 24325	   	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	1ERES|2FEWX|35DMG|4ZMB|6RCR|79aVULN|8CDMG
11	36511 26113	   	179.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2DUR|357DMG|4ZMB|6RCR|8FEWX|9AART|aVULN
12	11411 23215	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	12BEXP|3AART|46VULN|5CDMG|7RCR|8aDMG|9LIT
13	12411 23255	   	177.63	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1BEXP|2RCVC|3AART|46VULN|59CDMG|7RCR|8DMG|aASPD
14	51142 31132	   	177.37	ACR|2VULN|2DMG|1AART|2DUR	19DUR|2BEXP|3RCR|49VULN|5FEWX|6BASHEA|7AART|89DMG|9BPWR|aMLV
15	51142 31136	   	177.37	ACR|2VULN|2DMG|1AART|2DUR	19DUR|2BEXP|3RCR|49VULN|5FEWX|6BASHEA|7AART|89DMG|9BPWR|aRMIN
16	51142 31131	   	177.27	ACR|2VULN|2DMG|1AART|2DUR	19DUR|2BEXP|3RCR|49VULN|5FEWX|6BASHEA|7AART|89DMG|9BPWR|aTLV
17	12411 53252	 * 	176.73	DCR|2DMG|1AART|3CDMG|1VULN	1BEXP|2RCVC|3AART|4VULN|569CDMG|7RCR|8aDMG
18	11411 23214	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	12BEXP|3AART|46aVULN|5CDMG|7RCR|8DMG|9LIT
19	12412 45111	 * 	176.11	DCR|2AART|2VULN|1FLTHEA|1ZMB|1ASPD	1BEXP|2RCVC|37AART|49VULN|5FLTHEA|6RCR|8ZMB|aASPD
20	14321 24322	   	175.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1BEXP|2CGEN|3ASPD|45DMG|6RCR|79aVULN|8CDMG
21	14521 24322	   	175.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1BEXP|2CGEN|35DMG|4ASPD|6RCR|79aVULN|8CDMG
22	41321 24322	   	175.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|2FEWX|3ASPD|45DMG|6RCR|79aVULN|8CDMG
23	41521 24322	   	175.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|2FEWX|35DMG|4ASPD|6RCR|79aVULN|8CDMG
24	44321 24322	   	175.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|2BEXP|3ASPD|45DMG|6RCR|79aVULN|8CDMG
25	13321 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1BEXP|2ERES|3ASPD|45DMG|6RCR|79aVULN|8CDMG
26	13521 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1BEXP|2ERES|35DMG|4ASPD|6RCR|79aVULN|8CDMG
27	31321 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2FEWX|3ASPD|45DMG|6RCR|79aVULN|8CDMG
28	31521 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2FEWX|35DMG|4ASPD|6RCR|79aVULN|8CDMG
29	34321 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2BEXP|3ASPD|45DMG|6RCR|79aVULN|8CDMG
30	34521 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2BEXP|35DMG|4ASPD|6RCR|79aVULN|8CDMG
31	35521 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2LWND|35DMG|4ASPD|6RCR|79aVULN|8CDMG
32	43521 24322	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|2ASPD|3DUST|45DMG|6RCR|79aVULN|8CDMG
33	22235 42523	 * 	175.70	DCR|2AART|2VULN|2DMG|1DUR	1CANSTR|2LIT|35AART|46DMG|78VULN|9DUR|aRCR
34	33521 24322	   	175.65	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2ASPD|3DUST|45DMG|6RCR|79aVULN|8CDMG
35	12411 23216	   	175.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RCVC|3AART|46VULN|5CDMG|7RCR|8DMG|9LIT|aZMB
36	33321 26115	   	175.26	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1ERES|2ASPD|3DUR|457DMG|6RCR|8FEWX|9AART|aVULN
37	33321 26615	   	175.26	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1ERES|2ASPD|3DUR|457DMG|6RCR|8LWND|9AART|aVULN
38	36321 26115	   	175.26	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1ERES|2DUR|3ASPD|457DMG|6RCR|8FEWX|9AART|aVULN
39	22226 44313	 * 	174.42	DCR|2AART|2DMG|1VULN|1CDMG	1CANSTR|2LIT|35AART|4RPLT|6RCR|79DMG|8CDMG|aVULN
40	11411 23255	   	173.93	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	12BEXP|3AART|46VULN|59CDMG|7RCR|8DMG|aASPD
41	11411 53252	   	173.03	DCR|2DMG|1AART|3CDMG|1VULN	12BEXP|3AART|4VULN|569CDMG|7RCR|8aDMG
42	43621 24312	   	172.43	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1CGEN|2ASPD|39DUR|45DMG|6RCR|7aVULN|8CDMG
43	46321 24312	   	172.43	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1CGEN|29DUR|3ASPD|45DMG|6RCR|7aVULN|8CDMG
44	54321 24312	   	172.43	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	19DUR|2CGEN|3ASPD|45DMG|6RCR|7aVULN|8CDMG
45	11412 45111	   	172.40	DCR|2AART|2VULN|1FLTHEA|1ZMB|1ASPD	12BEXP|37AART|49VULN|5FLTHEA|6RCR|8ZMB|aASPD
46	31511 26613	   	172.38	DCR|3DMG|1AART|1VULN|1ZMB	1ERES|2FEWX|357DMG|4ZMB|6RCR|8LWND|9AART|aVULN
47	35511 26113	   	172.38	DCR|3DMG|1AART|1VULN|1ZMB	1ERES|2LWND|357DMG|4ZMB|6RCR|8FEWX|9AART|aVULN
48	33321 24312	   	172.33	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1ERES|2ASPD|39DUR|45DMG|6RCR|7aVULN|8CDMG
49	36321 24312	   	172.33	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1ERES|29DUR|3ASPD|45DMG|6RCR|7aVULN|8CDMG
50	36521 24312	   	172.33	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1ERES|29DUR|35DMG|4ASPD|6RCR|7aVULN|8CDMG
51	11411 23216	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12BEXP|3AART|46VULN|5CDMG|7RCR|8DMG|9LIT|aZMB
52	12411 23223	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2RCVC|3AART|46VULN|5CDMG|7RCR|8DMG|9FEWX|aASPD
53	12411 23233	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2RCVC|3AART|46VULN|5CDMG|7RCR|8DMG|9LWND|aASPD
54	12411 23533	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2RCVC|3AART|46VULN|5CDMG|7RCR|8LHND|9DMG|aASPD
55	14511 24321	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1BEXP|2CGEN|35DMG|4ZMB|6RCR|79VULN|8CDMG|aASPD
56	41511 24321	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1CGEN|2FEWX|35DMG|4ZMB|6RCR|79VULN|8CDMG|aASPD
57	13511 24321	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1BEXP|2ERES|35DMG|4ZMB|6RCR|79VULN|8CDMG|aASPD
58	31511 24321	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2FEWX|35DMG|4ZMB|6RCR|79VULN|8CDMG|aASPD
59	34511 24321	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2BEXP|35DMG|4ZMB|6RCR|79VULN|8CDMG|aASPD
60	35511 24321	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ERES|2LWND|35DMG|4ZMB|6RCR|79VULN|8CDMG|aASPD
61	43621 23322	   	170.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1CGEN|2ASPD|3DUR|45DMG|6RCR|7ZMB|8LIT|9AART|aVULN
62	46321 23322	   	170.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1CGEN|2DUR|3ASPD|45DMG|6RCR|7ZMB|8LIT|9AART|aVULN
63	46521 23322	   	170.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1CGEN|2DUR|35DMG|4ASPD|6RCR|7ZMB|8LIT|9AART|aVULN
64	54321 23322	   	170.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2CGEN|3ASPD|45DMG|6RCR|7ZMB|8LIT|9AART|aVULN
65	54521 23322	   	170.71	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|2CGEN|35DMG|4ASPD|6RCR|7ZMB|8LIT|9AART|aVULN
66	12411 23252	   	170.69	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2RCVC|3AART|46VULN|59CDMG|7RCR|8DMG|aLHND
67	12411 23253	   	170.69	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2RCVC|3AART|46VULN|59CDMG|7RCR|8DMG|aFEWX
68	12411 53214	   	170.69	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2RCVC|3AART|4aVULN|56CDMG|7RCR|8DMG|9LIT
69	12411 53215	   	170.69	DCR|2DMG|1AART|1VULN|2CDMG	1BEXP|2RCVC|3AART|4VULN|56CDMG|7RCR|8aDMG|9LIT
70	33321 23322	   	170.61	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1ERES|2ASPD|3DUR|45DMG|6RCR|7ZMB|8LIT|9AART|aVULN
71	36321 23322	   	170.61	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1ERES|2DUR|3ASPD|45DMG|6RCR|7ZMB|8LIT|9AART|aVULN
72	36521 23322	   	170.61	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1ERES|2DUR|35DMG|4ASPD|6RCR|7ZMB|8LIT|9AART|aVULN
73	12411 23251	   	170.59	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2RCVC|3AART|46VULN|59CDMG|7RCR|8DMG|aTLV
74	12412 41252	 * 	169.68	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	1BEXP|2RCVC|3AART|4VULN|5FLTHEA|6RCR|7DUR|8CDMG|9ERES|aDMG
75	52142 31135	   	169.47	ACR|3DMG|2VULN|1AART|2DUR|1MSE	19DUR|2MSE|3RCR|49VULN|5FEWX|6BASHEA|7AART|89aDMG|9BPWR
76	36511 26311	   	169.17	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1ERES|2DUR|357DMG|4ZMB|6RCR|8FLTHEA|9VULN|aLIT
77	36511 26313	   	169.17	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1ERES|2DUR|357DMG|4ZMB|6RCR|8FLTHEA|9VULN|aDMSP
78	12412 45112	   	169.17	DCR|2AART|2VULN|1FLTHEA|1ZMB	1BEXP|2RCVC|37AART|49VULN|5FLTHEA|6RCR|8ZMB|aRMIN
79	26422 52323	 * 	169.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2RCVC|3LHND|4ZMB|5RCR|6CDMG|79VULN|8DMG|aAART
80	36511 26312	   	169.07	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1ERES|2DUR|357DMG|4ZMB|6RCR|8FLTHEA|9VULN|aDUST
81	12412 45113	   	169.07	DCR|2AART|2VULN|1FLTHEA|1ZMB	1BEXP|2RCVC|37AART|49VULN|5FLTHEA|6RCR|8ZMB|aERES
82	33321 25165	 * 	169.04	DCR|3DMG|2VULN|1ASPD|1DUR	1ERES|2ASPD|3DUR|459DMG|6RCR|7LIT|8aVULN
83	26232 52323	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2RCVC|3ZMB|4LEGI|5RCR|6CDMG|79VULN|8DMG|aAART
