0	Index      	 *	Score 	Summary	Detail	
1	21513 31636	 * 	216.46	DCR|4VULN|3DMG|3CDMG|2DUR	178aVULN|26DUR|37aCDMG|4RPLT|57aDMG|7aBPWR|9RCR
2	21513 31635	 * 	203.66	DCR|3VULN|2DMG|1AART|2CDMG|2DUR	178VULN|26DUR|37CDMG|4RPLT|57DMG|7BPWR|9RCR|aAART
3	26433 51121	 * 	203.40	ACR|4VULN|3DMG|2CDMG	1579VULN|2RMIN|37aDMG|4RCR|679LWND|79BPWR|89CDMG
4	26433 21121	   	203.10	ACR|4VULN|3DMG|2CDMG	1579VULN|2RMIN|37aDMG|4RCR|679DUST|79BPWR|89CDMG
5	26433 21125	 * 	200.28	ACR|5VULN|2DMG|2CDMG	1579aVULN|2RMIN|37DMG|4RCR|679DUST|79BPWR|89CDMG
6	24153 31235	 * 	197.85	DCR|5VULN|3DMG	1789aVULN|2RPLT|37aDMG|457ERES|6RCR|7aBPWR
7	26433 21163	 * 	197.68	ACR|3VULN|2DMG|1AART|1CDMG	157VULN|2RMIN|37DMG|4RCR|67DUST|7BPWR|8CDMG|9AART|aDUR
8	13412 22135	   	197.53	DCR|3VULN|2DMG|1AART|2CDMG	1aCGEN|24aVULN|34DMG|4aBPWR|5MGNLIT|6DMSP|7RCR|8AART|9aCDMG
9	21224 63342	 * 	196.58	ACR|3VULN|2DMG|1AART|2ZMB	18aVULN|2DUR|3RMIN|4aZMB|5RCR|6aDMG|7MBVNT|9AART|aBPWR
10	26433 21334	 * 	195.87	ACR|5VULN|3DMG	1578aVULN|2RMIN|37aDMG|4RCR|67aDUST|7aBPWR|9MBVNT
11	24511 31632	   	194.56	DCR|4VULN|2DMG|2CDMG|2DUR	178aVULN|2RPLT|36DUR|47DMG|57CDMG|7BPWR|9RCR
12	21513 31632	   	194.56	DCR|4VULN|2DMG|2CDMG|2DUR	178aVULN|26DUR|37CDMG|4RPLT|57DMG|7BPWR|9RCR
13	26433 51333	   	192.24	ACR|4VULN|2DMG|1CDMG|1ZMB	1578VULN|2RMIN|37DMG|4RCR|67LWND|7BPWR|9CDMG|aZMB
14	26433 21323	   	192.04	ACR|4VULN|2DMG|1CDMG|1ZMB	1578VULN|2RMIN|37DMG|4RCR|67DUST|7BPWR|9CDMG|aZMB
15	23315 11216	   	191.42	DCR|4VULN|2DMG|2CDMG|1SELL	125aVULN|3aCDMG|4DUR|6BEXP|7aDMG|8RCR|9SELL|aBPWR
