0	Index      	 *	Score 	Summary	Detail	
1	12455 74232	 * 	316.71	DCR|2MLV|1LIT|2VULN|2DMG|2CDMG	19VULN|2MBVNT|39MLV|4ZMB|58DMG|69CDMG|7RCR|9BPWR|aLIT
2	11232 34524	 * 	312.04	ACR|2LIT|4VULN|2MLV|1DMG	1789VULN|2RCVC|3RCR|4DUR|58MLV|68LIT|8BPWR|aDMG
3	12438 68442	 * 	310.81	DCR|3LIT|3MLV|3VULN	189VULN|2MBVNT|368MLV|4LHND|59LWND|789LIT|89BPWR|aRCR
4	11242 34523	 * 	308.04	ACR|3LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4BEXP|58MLV|68aLIT|8BPWR
5	11242 52523	   	308.04	ACR|3LIT|4VULN|2MLV	1689VULN|2RCVC|3RCR|4BEXP|58MLV|78aLIT|8BPWR
6	11252 34523	   	308.04	ACR|3LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4FEWX|58MLV|68aLIT|8BPWR
7	11232 34523	   	307.89	ACR|3LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4DUR|58MLV|68aLIT|8BPWR
8	11262 34523	   	307.89	ACR|3LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4LEGI|58MLV|68aLIT|8BPWR
9	12484 16323	   	307.46	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	19VULN|2MBVNT|39MLV|4BELT|5BEXP|6RCR|7DMG|89LIT|9BPWR|aCDMG
10	12484 16327	   	297.39	DCR|2LIT|2MLV|2VULN|1DMG	19VULN|2MBVNT|39MLV|4BELT|5BEXP|6RCR|7DMG|89LIT|9BPWR|aZMB
11	11232 34562	   	295.34	ACR|3LIT|2MLV|3VULN|1AART	178VULN|2RCVC|3RCR|4DUR|58MLV|689LIT|8BPWR|aAART
12	11242 34522	   	292.50	ACR|2LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4BEXP|58MLV|68LIT|8BPWR|aZMB
13	11242 52522	   	292.50	ACR|2LIT|4VULN|2MLV	1689VULN|2RCVC|3RCR|4BEXP|58MLV|78LIT|8BPWR|aZMB
14	11252 34522	   	292.50	ACR|2LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4FEWX|58MLV|68LIT|8BPWR|aZMB
15	11232 34522	   	292.35	ACR|2LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4DUR|58MLV|68LIT|8BPWR|aZMB
16	11262 34522	   	292.35	ACR|2LIT|4VULN|2MLV	1789VULN|2RCVC|3RCR|4LEGI|58MLV|68LIT|8BPWR|aZMB
17	12484 12323	   	290.96	DCR|2LIT|2MLV|2VULN|1CDMG|1ASPD	19VULN|2MBVNT|39MLV|4BELT|5BEXP|6RCR|7ASPD|89LIT|9BPWR|aCDMG
18	12455 74132	   	290.33	DCR|2MLV|1LIT|2VULN|2CDMG|1DMG	19VULN|2MBVNT|39MLV|4ZMB|5DMG|69CDMG|7RCR|8RCVC|9BPWR|aLIT
19	32523 43243	 * 	289.37	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1ASPD|25VULN|3RPLT|48LIT|6MLV|7FLTARM|9LHND|aRCR
20	12455 42631	   	289.29	DCR|2LIT|2MLV|2VULN|1DMG	18VULN|2MBVNT|38MLV|4ZMB|5DMG|6DMSP|78LIT|8BPWR|9RCR|aCGEN
21	12455 42633	   	289.29	DCR|2LIT|2MLV|2VULN|1DMG	18VULN|2MBVNT|38MLV|4ZMB|5DMG|6DMSP|78LIT|8BPWR|9RCR|aRCVC
22	12455 42634	   	289.29	DCR|2LIT|2MLV|2VULN|1DMG	18VULN|2MBVNT|38MLV|4ZMB|5DMG|6aDMSP|78LIT|8BPWR|9RCR
23	12455 42632	   	289.14	DCR|2LIT|2MLV|2VULN|1DMG	18VULN|2MBVNT|38MLV|4ZMB|5DMG|6DMSP|78LIT|8BPWR|9RCR|aDUST
24	12464 38335	   	289.10	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	157VULN|2MBVNT|3MLV|4CDMG|6aLIT|8ASPD|9RCR
25	11232 34525	 * 	287.21	ACR|2LIT|3MLV|4VULN	1789VULN|2RCVC|3RCR|4DUR|58aMLV|68LIT|8BPWR
26	12464 37338	   	287.03	DCR|2LIT|2VULN|1MLV|1NUKE|1CDMG|1ASPD	15VULN|2MBVNT|3MLV|4CDMG|67LIT|8ASPD|9RCR|aNUKE
27	12484 16321	   	286.98	DCR|2LIT|2MLV|2VULN|1DMG	19VULN|2MBVNT|39MLV|4BELT|5aBEXP|6RCR|7DMG|89LIT|9BPWR
28	12484 16324	   	286.98	DCR|2LIT|2MLV|2VULN|1DMG	19VULN|2MBVNT|39MLV|4BELT|5BEXP|6RCR|7DMG|89LIT|9BPWR|aFRZARM
29	12484 16326	   	286.98	DCR|2LIT|2MLV|2VULN|1DMG	19VULN|2MBVNT|39MLV|4BELT|5BEXP|6RCR|7DMG|89LIT|9BPWR|aTLV
30	12486 16321	   	286.83	DCR|2LIT|2MLV|2VULN|1DMG	19VULN|2MBVNT|39MLV|4BELT|5DUR|6RCR|7DMG|89LIT|9BPWR|aBEXP
31	12486 16324	   	286.83	DCR|2LIT|2MLV|2VULN|1DMG	19VULN|2MBVNT|39MLV|4BELT|5DUR|6RCR|7DMG|89LIT|9BPWR|aRMIN
32	12831 82114	 * 	286.82	ACR|2LIT|2FLTARM|2VULN|1DMG|1CDMG	1aVULN|2MBVNT|3DUR|4RCR|5aFLTARM|6BELT|7DMG|8CDMG|9aLIT|aBPWR
