0	Index      	 *	Score 	Summary	Detail	
1	31315 12625	 * 	305.01	DCR|4VULN|2MLV|1LIT|1CDMG	19LHND|279aVULN|3CDMG|4LIT|59MLV|6RCR|8LEGI|9BPWR
2	31315 12355	 * 	296.57	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1LHND|27VULN|3CDMG|4aLIT|5MLV|6RCR|8LWND|9FLTARM
3	31315 12624	   	286.67	DCR|2MLV|3VULN|1LIT|1CDMG	19LHND|279VULN|3CDMG|4LIT|59MLV|6RCR|8LEGI|9BPWR|aZMB
4	31315 12525	   	285.88	DCR|2MLV|3VULN|1LIT|2CDMG	1aLHND|27aVULN|38CDMG|4LIT|5aMLV|6RCR|9RCVC|aBPWR
5	31315 12622	   	285.73	DCR|2MLV|3VULN|1LIT|2CDMG	19LHND|279VULN|3aCDMG|4LIT|59MLV|6RCR|8LEGI|9BPWR
6	31315 11335	 * 	280.95	DCR|2LIT|3VULN|1MLV|1CDMG	1LHND|289VULN|3CDMG|4aLIT|5MLV|6RCR|7FRZARM
7	31315 12245	   	280.95	DCR|2LIT|3VULN|1MLV|1CDMG	1LHND|27aVULN|3CDMG|49LIT|5MLV|6RCR|8FEWX
8	31315 12345	   	280.95	DCR|2LIT|3VULN|1MLV|1CDMG	1LHND|27aVULN|3CDMG|49LIT|5MLV|6RCR|8LWND
9	31315 12425	   	278.67	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1LHND|27aVULN|3CDMG|4LIT|5MLV|6RCR|8ASPD|9ZMB
10	31315 15226	 * 	277.36	DCR|2LIT|2MLV|2VULN|1CDMG	1LHND|2aVULN|3CDMG|49LIT|5aMLV|6RCR|7DUR|8aBEXP|aBPWR
11	31315 12256	   	276.69	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1LHND|27VULN|3CDMG|4LIT|5MLV|6RCR|8FEWX|9FLTARM|aZMB
12	31315 12623	   	276.26	DCR|2MLV|3VULN|1LIT|1CDMG	19LHND|279VULN|3CDMG|4LIT|59MLV|6RCR|8LEGI|9BPWR|aLWND
13	31315 12215	   	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	1LHND|27aVULN|3CDMG|4LIT|59MLV|6RCR|8FEWX
14	31315 12315	   	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	1LHND|27aVULN|3CDMG|4LIT|59MLV|6RCR|8LWND
15	31315 12621	   	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	19LHND|279VULN|3CDMG|4LIT|59MLV|6RCR|8LEGI|9BPWR|aLSRICY
16	31315 12626	   	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	19LHND|279VULN|3CDMG|4LIT|59MLV|6RCR|8LEGI|9BPWR|aDUR
17	31315 11135	 * 	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	1LHND|29VULN|3CDMG|48aLIT|5MLV|6RCR|7FRZARM
18	31315 11365	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	1LHND|28VULN|3CDMG|49aLIT|5MLV|6RCR|7FRZARM
19	31315 12253	   	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG	1LHND|27VULN|3aCDMG|4LIT|5MLV|6RCR|8FEWX|9FLTARM
20	31315 12353	   	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG	1LHND|27VULN|3aCDMG|4LIT|5MLV|6RCR|8LWND|9FLTARM
21	31315 12615	   	275.96	DCR|2MLV|3VULN|1LIT|1CDMG	1LHND|27aVULN|3CDMG|4LIT|59MLV|6RCR|8LEGI
22	31315 12653	   	275.96	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG	1LHND|27VULN|3aCDMG|4LIT|5MLV|6RCR|8LEGI|9FLTARM
