0	Index      	 *	Score 	Summary	Detail	
1	64311 34274	 * 	288.07	ACR|2LIT|4VULN|1MLV|2ASPD	19ASPD|289aVULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR
2	64311 34273	   	285.16	ACR|2LIT|3VULN|1MLV|2ASPD|1AART	19ASPD|289VULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR|aAART
3	62321 36332	 * 	284.92	ACR|3LIT|4VULN|3ASPD	189ASPD|25LWND|3RCR|4579VULN|59BPWR|69aLIT
4	62123 36263	   	283.46	ACR|2LIT|3VULN|1MLV|2ASPD|1AART	19ASPD|2LWND|39LIT|4RCR|5MLV|6CGEN|789VULN|9BPWR|aAART
5	36123 26263	 * 	277.22	ACR|2LIT|3VULN|1MLV|1DMG|2DUR|1AART	19DUR|2DMG|39LIT|4RCR|5MLV|6TLV|789VULN|9BPWR|aAART
6	66114 31212	 * 	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4FEWX|5MLV|6aLIT|7RCR|9LWND
7	66114 31232	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4FEWX|5MLV|6aLIT|7RCR|9BEXP
8	66141 31212	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4MLV|5LHND|6aLIT|7RCR|9LWND
9	66141 31232	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4MLV|5LHND|6aLIT|7RCR|9BEXP
10	66114 31222	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4FEWX|5MLV|6aLIT|7RCR|9DUST
11	66124 31212	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4DUST|5MLV|6aLIT|7RCR|9LWND
12	66124 31232	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4DUST|5MLV|6aLIT|7RCR|9BEXP
13	66141 31222	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|38VULN|4MLV|5LHND|6aLIT|7RCR|9DUST
14	14533 13342	 * 	275.68	DCR|2MLV|1LIT|2VULN|2ASPD|1DMG	1ERES|2aVULN|39MLV|4LIT|5aSNITOX|6DMG|7RCR|8aASPD|aBPWR
15	34632 21335	 * 	275.47	DCR|2LIT|3VULN|1DMG|1ASPD|1CDMG|1DUR	1DUR|259VULN|3ASPD|4CDMG|69BEXP|7DMG|89LIT|9BPWR|aRCR
16	62123 36362	 * 	273.81	ACR|3LIT|2VULN|3ASPD|1MLV	189ASPD|2LWND|39aLIT|4RCR|5MLV|6CGEN|79VULN|9BPWR
17	62123 36363	   	272.77	ACR|2LIT|2VULN|3ASPD|1MLV|1AART	189ASPD|2LWND|39LIT|4RCR|5MLV|6CGEN|79VULN|9BPWR|aAART
18	14631 13342	   	272.36	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1ERES|27VULN|3BEXP|4CDMG|5ASPD|6RCR|8aLIT|9MLV
19	24431 13342	   	272.36	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1BEXP|27VULN|3ERES|4CDMG|5ASPD|6RCR|8aLIT|9MLV
20	14331 16242	   	272.26	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1ERES|27VULN|3DUST|4CDMG|5ASPD|6RCR|8aLIT|9MLV
21	24231 25342	 * 	271.81	DCR|2LIT|2MLV|2VULN|1CDMG	1BEXP|2aVULN|34LIT|5RMIN|6CDMG|79MLV|8RCR
22	66324 21333	 * 	271.68	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	15ASPD|2DMG|3CGEN|45LIT|5BPWR|6MLV|7RMIN|8CDMG|9VULN|aRCR
23	34231 25342	   	271.66	DCR|2LIT|2MLV|2VULN|1CDMG|1DUR	1DUR|2aVULN|34LIT|5RMIN|6CDMG|79MLV|8RCR
24	34631 21335	 * 	270.82	DCR|2LIT|2VULN|2DMG|2DUR|1ASPD|1CDMG	17DUR|29VULN|3ASPD|4CDMG|59DMG|6FEWX|89LIT|9BPWR|aRCR
25	64311 34272	   	268.91	ACR|2LIT|3VULN|1MLV|2ASPD	19ASPD|289VULN|3RCR|4aCGEN|5MBVNT|6MLV|79LIT|9BPWR
26	64311 34271	   	268.81	ACR|2LIT|3VULN|1MLV|2ASPD	19ASPD|289VULN|3RCR|4CGEN|5MBVNT|6MLV|79LIT|9BPWR|aERES
27	66114 31132	 * 	268.17	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|3VULN|4FEWX|5MLV|69aLIT|7RCR|8LWND
28	66141 31132	   	268.17	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|3VULN|4MLV|5LHND|69aLIT|7RCR|8LWND
29	24232 13342	   	268.17	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2VULN|34aLIT|5CRUSTR|6DMG|7RCR|8ASPD|9MLV
