0	Index      	 *	Score 	Summary	Detail	
1	36133 55223	 * 	302.20	DCR|2LIT|2MLV|2VULN|2DMG|1SELL	18MLV|27DMG|3AART|4SELL|58VULN|68LIT|8BPWR|9RMIN|aRCR
2	36122 72251	 * 	276.58	DCR|3VULN|1LIT|2DMG|1MLV	1MLV|27DMG|3AART|468VULN|5MBVNT|9RCR|aLIT
3	35223 22144	 * 	275.81	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	16MLV|2RPLT|3TLV|47VULN|56LIT|6BPWR|8DMG|9SELL|aRCR
4	36133 53223	 * 	275.81	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	18MLV|2DMG|3AART|4SELL|58VULN|68LIT|7RCVC|8BPWR|9RMIN|aRCR
5	36135 15223	 * 	275.81	DCR|2LIT|2MLV|2VULN|1DMG|1SELL	18MLV|2DMG|3AART|4SELL|58LIT|6RCVC|78VULN|8BPWR|9RMIN|aRCR
6	32313 24142	 * 	275.57	DCR|3MLV|1LIT|2VULN|1DMG|1CDMG	124MLV|3LIT|59VULN|6CDMG|7RCR|8RCVC|aDMG
7	32313 24442	   	275.57	DCR|3MLV|1LIT|2VULN|1DMG|1CDMG	124MLV|3LIT|59VULN|6CDMG|7RCR|8DMSP|aDMG
8	32133 14641	 * 	273.71	DCR|2LIT|3MLV|2DMG|1VULN|1SELL	127MLV|3SELL|47LIT|57DMG|6RMIN|7BPWR|8RCR|9VULN|aBEXP
9	32133 14642	 * 	273.71	DCR|2LIT|3MLV|2DMG|1VULN|1SELL	127MLV|3SELL|47LIT|57DMG|6RMIN|7BPWR|8RCR|9VULN|aTLV
10	32133 14643	 * 	273.71	DCR|2LIT|3MLV|2DMG|1VULN|1SELL	127MLV|3SELL|47LIT|57DMG|6RMIN|7BPWR|8RCR|9VULN|aBELT
11	13136 63511	 * 	272.96	DCR|2LIT|3VULN|1FLTARM	1VENTOX|29ERES|3LWND|4FLTARM|59LIT|6RCR|7FEWX|89aVULN|9BPWR
