0	Index      	 *	Score 	Summary	Detail	
1	52352 11533	 * 	270.59	橙橙2易伤2矿等1暴击	15易伤2暴击3最后敌人45矿等5序列升级6挖青7挖尘8a核9额外掉落
2	53233 63263	 * 	258.39	橙橙1易伤1等级1矿等1暴击	1易伤2等级3额外掉落4敌人爆炸5暴击6矿等7低血量敌人8金币生成9a核
3	42222 33533	   	256.44	橙橙2易伤1时间1暴击	15敌人爆炸2暴击3掉矿45易伤5序列升级6时间7低血量敌人8a核9额外掉落
4	42222 31563	   	256.34	橙橙2易伤1时间1暴击	15敌人爆炸2暴击3掉矿45易伤5序列升级6时间7挖尘8a核9额外掉落
5	52222 33533	   	256.34	橙橙2易伤1时间1暴击	14易伤2暴击3掉矿5敌人爆炸6时间7低血量敌人8a核9额外掉落
6	52222 31563	   	256.24	橙橙2易伤1时间1暴击	14易伤2暴击3掉矿5敌人爆炸6时间7挖尘8a核9额外掉落
7	13561 43115	 * 	254.04	橙橙2伤害1易伤1时间	1低血量敌人2赏金塔3易伤4a伤害5加一6敌人爆炸7时间89核
8	25161 43115	   	254.04	橙橙2伤害1易伤1时间	1赏金塔2易伤3低血量敌人4a伤害5加一6敌人爆炸7时间89核
9	25261 63114	   	251.85	橙橙1易伤1伤害1矿等1时间	1赏金塔2易伤3时间4伤害5加一6双倍秒伤7火球减费89核a矿等
10	13552 23114	   	250.20	橙橙1易伤1伤害1时间1暴击	1低血量敌人2赏金塔3易伤4暴击5基地爆炸6时间7平台89核a伤害
11	25152 23114	   	250.20	橙橙1易伤1伤害1时间1暴击	1赏金塔2易伤3低血量敌人4暴击5基地爆炸6时间7平台89核a伤害
12	25252 13114	   	250.20	橙橙1易伤1伤害1时间1暴击	1赏金塔2易伤3时间4暴击5基地爆炸6低血量敌人7平台89核a伤害
13	52532 23114	   	250.20	橙橙1易伤1伤害1时间1暴击	1易伤2暴击3赏金邻近4敌人爆炸5基地爆炸6时间7平台89核a伤害
14	52551 31131	   	249.43	橙橙2易伤1暴击	1a易伤2暴击3赏金邻近4随机矿5攻速68核7多重对甲9暴雪减费
15	13561 43118	 * 	248.90	橙橙1易伤2时间1伤害	1低血量敌人2赏金塔3易伤4伤害5加一6敌人爆炸7a时间89核
16	25161 43118	   	248.90	橙橙1易伤2时间1伤害	1赏金塔2易伤3低血量敌人4伤害5加一6敌人爆炸7a时间89核
17	53263 32432	 * 	247.94	橙4易伤2等级2时间	1459易伤29等级3额外掉落69时间7加一8赏金邻近9序列升级a核
18	56233 24323	   	245.74	橙橙1易伤1矿等1时间1暴击	1易伤2矿等3额外掉落4敌人爆炸5暴击6赏金邻近7基地爆炸8时间9a核
19	56233 34323	   	245.74	橙橙1易伤1矿等1时间1暴击	1易伤2矿等3额外掉落4敌人爆炸5暴击6赏金塔7基地爆炸8时间9a核
20	51132 33133	 * 	245.64	橙3易伤3伤害1等级	167易伤247伤害3赏金塔57最后敌人7序列升级8双倍秒伤9等级a核
21	61641 31122	 * 	245.50	橙2易伤3时间2伤害1等级	149时间24伤害3挖青49序列升级5赏金邻近69易伤79敌人爆炸8核a等级
22	52152 21613	 * 	245.46	橙2易伤2矿等1等级1伤害1时间1暴击	15易伤2暴击3时间45矿等5序列升级6随机技能7掉矿8核9伤害a等级
23	52152 21622	   	245.46	橙2易伤2矿等1等级1伤害1时间1暴击	15易伤2暴击3时间45矿等5序列升级6随机技能7掉矿8核9等级a伤害
24	63243 25112	 * 	243.64	橙2易伤2喷火对甲3时间1全技能	137时间2赏金塔4头目57喷火对甲67易伤7序列升级8平台9全技能a核
25	22251 53115	   	243.39	橙橙1易伤1伤害1时间	1赏金塔2攻速3敌人爆炸4最后敌人5加一6易伤7时间89核a伤害
26	12222 41533	   	242.69	橙橙2易伤1暴击	15低血量敌人2暴击3掉矿45易伤5序列升级6最后敌人7挖尘8a核9额外掉落
27	42222 11563	   	242.69	橙橙2易伤1暴击	15敌人爆炸2暴击3掉矿45易伤5序列升级6低血量敌人7挖尘8a核9额外掉落
28	12224 31563	   	242.59	橙橙2易伤1暴击	1低血量敌人2暴击3掉矿46易伤5敌人爆炸7挖尘8a核9额外掉落
29	42223 31563	   	242.59	橙橙2易伤1暴击	1敌人爆炸2暴击3掉矿46易伤5低血量敌人7挖尘8a核9额外掉落
30	52222 11563	   	242.59	橙橙2易伤1暴击	14易伤2暴击3掉矿5敌人爆炸6低血量敌人7挖尘8a核9额外掉落
31	52252 11533	   	242.59	橙橙2易伤1暴击	15易伤2暴击3掉矿45最后敌人5序列升级6挖青7挖尘8a核9额外掉落
32	52253 31533	   	242.59	橙橙2易伤1暴击	16易伤2暴击3掉矿4最后敌人5低血量敌人7挖尘8a核9额外掉落
33	62122 13114	 * 	242.11	橙橙3时间1伤害1暴击	134时间2暴击5基地爆炸6最后敌人7平台89核a伤害
34	46213 14132	 * 	241.22	紫橙2等级1易伤1伤害1矿等	1敌人爆炸2矿等3立即金币4a核56等级7易伤8伤害9随机技能
35	46313 14132	   	241.12	紫橙2等级1易伤1伤害1矿等	1敌人爆炸2矿等3风暴减费4a核56等级7易伤8伤害9随机技能
