0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13526 32423	1	 * 	287.17	DCR|5VULN|2TLV|1DMG|2CDMG	12359VULN|39BPWR|4TBNT|69TLV|7RCR|89CDMG|aDMG
2	15411 26322	4	 * 	286.38	DCR|5VULN|2DUR|1DMG	1568aVULN|2LWND|3LIT|46DUR|6BPWR|7DMG|9RCR
3	13112 11266	3	 * 	286.14	DCR|5VULN|2DMG|2ASPD	1358aVULN|25ASPD|4TBNT|5aBPWR|6aMLV|7aDMG|9RCR
4	13156 23622	4	   	280.68	DCR|4VULN|2DUR|1TLV|2LIT|1ASPD	138aVULN|2ASPD|48LIT|5MLV|6TLV|78DUR|8BPWR|9RCR
5	13611 23622	5	   	280.68	DCR|4VULN|2DUR|1TLV|2LIT|1ASPD	158aVULN|2ASPD|38LIT|4MLV|6TLV|78DUR|8BPWR|9RCR
6	13532 23433	1	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1234aVULN|3BPWR|5CGEN|6RCR|7DMG|8DUR|9TLV
7	13112 11425	3	 * 	278.50	DCR|4VULN|3ASPD|1DMG|2CDMG	1359VULN|259ASPD|4TBNT|59BPWR|6MLV|7DMG|89CDMG|aRCR
8	14613 23623	7	 * 	278.17	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	158VULN|2DUR|38TLV|4LIT|6ERES|78DMG|8BPWR|9RCR|aASPD
9	11444 13313	2	 * 	277.64	DCR|3VULN|3DMG|2DUR	148VULN|2BELT|34DUR|48BPWR|58CGEN|689DMG|7RCR|aLIT
10	26132 41343	7	 * 	277.29	DCR|4VULN|3DMG|1DUR	18ZMB|2378VULN|4CGEN|5DUR|689DMG|8BPWR|aRCR
11	13526 32243	1	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	12358VULN|3BPWR|4TBNT|6TLV|7RCR|9CDMG|aDMG
12	13152 33162	7	   	276.86	DCR|5VULN|2ASPD|1DMG	1389aVULN|29ASPD|4LIT|5DMG|69FEWX|7RCR|9BPWR
13	11447 42114	8	 * 	276.37	DCR|3VULN|3DUR|2DMG|1AART	157VULN|2BELT|37DMG|4MBVNT|678DUR|7BPWR|9AART|aRCR
14	13113 61266	3	   	275.83	DCR|5VULN|2DMG|1ASPD	1368aVULN|2ASPD|4TBNT|5aMLV|7aDMG|9RCR|aBPWR
15	13111 16364	4	 * 	275.79	DCR|4VULN|2DUR|2ASPD|1TLV|1SELL	1378VULN|28ASPD|4ZMB|5TLV|68DUR|8BPWR|9SELL|aRCR
16	13144 23621	3	 * 	275.73	ACR|4VULN|3DMG|3ASPD|1TLV	1389VULN|289ASPD|4RCR|5BBNT|678DMG|89BPWR|aTLV
17	13234 33621	2	   	275.73	ACR|4VULN|3DMG|3ASPD|1TLV	1689VULN|289ASPD|3RCR|478DMG|5BBNT|89BPWR|aTLV
18	13264 23621	2	   	275.73	ACR|4VULN|3DMG|3ASPD|1TLV	1489VULN|289ASPD|3RCR|5BBNT|678DMG|89BPWR|aTLV
19	14663 13311	5	 * 	274.62	DCR|3VULN|3DMG|2TLV|1DUR	148VULN|2DUR|38TLV|5BELT|689DMG|7RCR|8BPWR|aBEXP
20	14663 13312	5	   	274.62	DCR|3VULN|3DMG|2TLV|1DUR	148VULN|2DUR|38TLV|5BELT|689DMG|7RCR|8BPWR|aCGEN
