0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42232 51342	9	 * 	306.92	DCR|4VULN|3DMG|2CDMG|1DUR	1AART|259DMG|3479VULN|69CDMG|8RCR|9BPWR|aDUR
2	15322 22166	2	 * 	302.55	DCR|5VULN|3DUR|1TLV|2LIT	158DUR|2TLV|38LIT|45789VULN|58BPWR|6RCVC|aRCR
3	42232 53342	9	   	292.05	DCR|3VULN|3DMG|2CDMG|2AART|1DUR	17AART|259DMG|349VULN|69CDMG|8RCR|9BPWR|aDUR
4	12112 38716	9	 * 	290.67	DCR|3VULN|3DMG|3DUR	18aDUR|2LIT|38aDMG|4ERES|5DUST|6MBVNT|78aVULN|8aBPWR|9RCR
5	42232 51341	10	   	290.67	DCR|4VULN|3DMG|2CDMG	1AART|259DMG|3479VULN|69CDMG|8RCR|9BPWR|aLHND
6	42232 51341	9	   	290.67	DCR|4VULN|3DMG|2CDMG	1AART|259DMG|3479VULN|69CDMG|8RCR|9BPWR|aCGEN
7	42232 51342	10	   	290.67	DCR|4VULN|3DMG|2CDMG	1AART|259DMG|3479VULN|69CDMG|8RCR|9BPWR|aRMIN
8	42232 51343	9	   	290.67	DCR|4VULN|3DMG|2CDMG	1AART|259DMG|3479VULN|69CDMG|8RCR|9BPWR|aBELT
9	42232 51343	10	   	290.57	DCR|4VULN|3DMG|2CDMG	1AART|259DMG|3479VULN|69CDMG|8RCR|9BPWR|aERES
10	15261 42333	7	 * 	289.13	DCR|4VULN|2DUR|3CDMG|1TLV	17DUR|2TLV|3679VULN|457CDMG|7BPWR|8RCR|aLIT
11	11224 32122	9	   	288.77	DCR|3VULN|3DUR|2DMG|1CDMG	17aDUR|2CGEN|34aVULN|5CDMG|6LIT|8aDMG|9RCR|aBPWR
12	12521 31255	10	 * 	286.47	DCR|3VULN|3DUR|3CDMG|1TLV|2LIT	179DUR|28LIT|379CDMG|4FEWX|5TLV|679VULN|79BPWR|aRCR
13	42232 51334	8	   	284.75	DCR|4VULN|2DMG|1TLV|1CDMG	1AART|25DMG|3479VULN|6CDMG|8RCR|aTLV
14	42232 62342	9	   	284.28	DCR|3VULN|3DMG|2CDMG|1DUR	1AART|259DMG|349VULN|6RCVC|79CDMG|8RCR|9BPWR|aDUR
15	15322 22143	2	   	283.01	DCR|4VULN|3DUR|1TLV|2LIT	158DUR|2TLV|38LIT|4578VULN|58BPWR|6RCVC|9RPLT|aRCR
16	15326 12143	2	   	282.91	DCR|4VULN|3DUR|1TLV|2LIT	158DUR|2TLV|38LIT|4678VULN|8BPWR|9RPLT|aRCR
17	15322 12343	2	   	282.57	DCR|5VULN|2DUR|1TLV	15DUR|2TLV|3LIT|45678VULN|5BPWR|9RPLT|aRCR
18	15322 15612	2	   	282.47	DCR|5VULN|2DUR|1TLV	15DUR|2TLV|3LIT|4568aVULN|5BPWR|7TBNT|9RCR
19	11224 36122	9	   	281.85	DCR|3VULN|2DMG|2DUR|2CDMG	1aDUR|2CGEN|34aVULN|57CDMG|6LIT|8aDMG|9RCR|aBPWR
20	15261 42332	7	   	280.83	DCR|4VULN|2DUR|3CDMG|1TLV	17DUR|2TLV|3679VULN|457CDMG|7BPWR|8RCR|aBEXP
21	15261 42331	7	   	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	17DUR|2TLV|3679VULN|457CDMG|7BPWR|8RCR|aERES
22	12122 12116	2	   	279.75	DCR|5VULN|3DUR	158DUR|2LIT|389CGEN|45678VULN|58BPWR|aRCR
23	12122 16166	2	   	279.75	DCR|5VULN|3DUR	158DUR|2LIT|378CGEN|45689VULN|58BPWR|aRCR
24	12122 22166	2	   	279.75	DCR|5VULN|3DUR	158DUR|2LIT|38CGEN|45789VULN|58BPWR|6RCVC|aRCR
25	12122 32166	2	   	279.75	DCR|5VULN|3DUR	158DUR|2LIT|368CGEN|45789VULN|58BPWR|aRCR
26	12126 12166	2	   	279.65	DCR|5VULN|3DUR	158DUR|2LIT|38CGEN|46789VULN|8BPWR|aRCR
27	12412 22166	4	   	279.55	DCR|5VULN|3DUR	158DUR|2LIT|38ERES|45789VULN|58BPWR|6RCVC|aRCR
28	12422 22166	3	   	279.55	DCR|5VULN|3DUR	158DUR|2LIT|38ERES|45789VULN|58BPWR|6RCVC|aRCR
29	42232 51136	10	   	279.50	DCR|4VULN|2DMG|1CDMG|1ASPD	1AART|25DMG|3479VULN|6CDMG|8ASPD|aRCR
