0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24532 21352	5	 * 	307.98	DCR|5VULN|2DUR|1DMG|1TLV|1CDMG	1DMG|23568VULN|45DUR|5BPWR|7TLV|9CDMG|aRCR
2	24336 25311	8	 * 	305.63	DCR|4VULN|3DMG|3ASPD|1CDMG	178DMG|2578VULN|3aFEWX|4CDMG|678ASPD|78BPWR|9RCR
3	24336 25313	8	   	305.63	DCR|4VULN|3DMG|3ASPD|1CDMG	178DMG|2578VULN|3FEWX|4CDMG|678ASPD|78BPWR|9RCR|aZMB
4	24336 25312	8	   	305.53	DCR|4VULN|3DMG|3ASPD|1CDMG	178DMG|2578VULN|3FEWX|4CDMG|678ASPD|78BPWR|9RCR|aDUST
5	23261 63232	1	 * 	292.37	DCR|4VULN|2DMG|2DUR|1TLV	18DMG|2TLV|3TBNT|48DUR|5RPLT|6RCR|789aVULN|8BPWR
6	23661 63232	1	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	18DMG|2TLV|3BBNT|48DUR|5RPLT|6RCR|789aVULN|8BPWR
7	24532 23612	9	 * 	291.98	DCR|4VULN|3DMG|2DUR	18aDMG|2358VULN|45DUR|58BPWR|6BEXP|78CGEN|9RCR
8	24532 22352	5	   	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	1DMG|23568VULN|45DUR|5BPWR|7CGEN|9CDMG|aRCR
9	24532 23352	5	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1DMG|23568VULN|45DUR|5BPWR|7ERES|9CDMG|aRCR
10	24532 21611	5	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1DMG|2356VULN|45DUR|5BPWR|7TLV|8ERES|9ASPD|aRCR
11	21331 51162	3	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	15DMG|2ERES|3CDMG|4569VULN|5BPWR|7LIT|8DUR|aRCR
12	24336 26311	9	   	283.38	DCR|3VULN|2DMG|3ASPD|1DUR|1CDMG	18DMG|258VULN|3FEWX|4CDMG|678ASPD|8BPWR|9RCR|aDUR
13	24336 26312	10	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|258VULN|3FEWX|4CDMG|678ASPD|8BPWR|9RCR|aTLV
14	24336 26313	9	   	283.38	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	18DMG|258VULN|3FEWX|4CDMG|678ASPD|8BPWR|9RCR|aTLV
15	24334 25311	8	   	282.99	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|278VULN|35aFEWX|4CDMG|678ASPD|78BPWR|9RCR
16	24334 25313	8	   	282.99	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|278VULN|35FEWX|4CDMG|678ASPD|78BPWR|9RCR|aZMB
17	24233 53152	10	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	18aDMG|289VULN|35LWND|4CDMG|6RCR|78DUR|8BPWR
