0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53333 21663	1	 * 	277.88	DCR|5VULN|2DUR|1DMG|1NUKE	1NUKE|2345aVULN|67DUR|8DMG|9RCR
2	34451 33122	1	 * 	274.69	DCR|5VULN|2DMG|1AART	156FEWX|2AART|3456aVULN|56aBPWR|7RPLT|8aDMG|9RCR
3	53333 62413	1	   	274.06	DCR|5VULN|2DUR|1TLV|1NUKE	1NUKE|23458VULN|6TLV|7RCR|9aDUR
4	53333 21313	1	   	268.00	DCR|4VULN|2DUR|1DMG|1NUKE|1AART	1NUKE|2345VULN|67DUR|8AART|9DMG|aRCR
5	56323 41313	2	   	265.97	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1CDMG|1NUKE	1NUKE|2DUR|35aVULN|45LIT|5BPWR|6RCR|7DMG|8TLV|9CDMG
6	23148 12834	4	 * 	263.92	DCR|4VULN|1DMG|2CDMG|1TLV	18LWND|28CDMG|3TLV|4MBVNT|5DMG|689aVULN|7RCR|8BPWR
7	53333 62422	1	   	263.29	DCR|5VULN|1DMG|1TLV|1NUKE	1NUKE|23458VULN|6TLV|7RCR|9RPLT|aDMG
8	56622 22212	5	 * 	262.61	DCR|2VULN|3DUR|3ASPD|1DMG|1NUKE|1AART	1NUKE|279DUR|3AART|4DMG|57VULN|678ASPD|7BPWR|aRCR
9	13652 13341	4	   	261.78	DCR|4VULN|2DUR|1CDMG|1AART	1RPLT|25DUR|3456VULN|5BPWR|7CDMG|8AART|9RCVC|aRCR
10	25315 23363	1	   	261.40	DCR|4VULN|2DMG|1TLV|1SELL	17LWND|2TLV|3SELL|478aVULN|57DMG|6BELT|7BPWR|9RCR
11	53333 21363	1	 * 	261.16	DCR|4VULN|3DUR|1NUKE|1AART	1NUKE|2345VULN|67aDUR|8AART|9RCR
12	53333 51333	1	   	261.16	DCR|4VULN|3DUR|1NUKE|1AART	1NUKE|2345VULN|6RCR|79aDUR|8AART
13	53333 53621	1	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR|1NUKE	1NUKE|2345VULN|6RCR|7BEXP|8DMG|9DUR|aTLV
14	53333 62112	1	   	259.48	DCR|5VULN|1TLV|1DUR|1NUKE	1NUKE|23459VULN|6TLV|7RCR|8BELT|aDUR
15	53333 62412	1	   	259.48	DCR|5VULN|1TLV|1DUR|1NUKE	1NUKE|23458VULN|6TLV|7RCR|9DUR|aFEWX
16	53333 62423	1	   	259.48	DCR|5VULN|1TLV|1DUR|1NUKE	1NUKE|23458VULN|6TLV|7RCR|9RPLT|aDUR
17	53333 62433	1	   	259.48	DCR|5VULN|1TLV|1DUR|1NUKE	1NUKE|23458VULN|6TLV|7RCR|9LHND|aDUR
18	13663 11634	5	 * 	259.44	DCR|4VULN|2DUR|2ASPD|1SELL	1RPLT|28DUR|378aVULN|48ASPD|5MBVNT|6SELL|8BPWR|9RCR
19	53333 62243	1	   	259.38	DCR|5VULN|1TLV|1DUR|1NUKE	1NUKE|2345aVULN|6TLV|7RCR|8ERES|9DUR
20	53333 62411	1	   	259.38	DCR|5VULN|1TLV|1DUR|1NUKE	1NUKE|23458VULN|6TLV|7RCR|9DUR|aERES
21	53333 21323	1	   	258.94	DCR|4VULN|2DUR|1ASPD|1NUKE|1AART	1NUKE|2345VULN|67DUR|8AART|9ASPD|aRCR
22	13421 12615	4	 * 	258.58	DCR|2VULN|3DMG|2DUR|1TLV	19RPLT|2aDUR|3TLV|45aDMG|6aVULN|7RCR|8BELT|aBPWR
23	53333 21626	1	   	258.34	DCR|4VULN|2DUR|1DMG|1NUKE	1NUKE|2345VULN|67DUR|8DMG|9BELT|aRCR
24	53333 21662	1	   	258.34	DCR|4VULN|2DUR|1DMG|1NUKE	1NUKE|2345VULN|67DUR|8DMG|9RCR|aLWND
25	53333 21661	1	   	258.24	DCR|4VULN|2DUR|1DMG|1NUKE	1NUKE|2345VULN|67DUR|8DMG|9RCR|aERES
26	53333 51213	1	   	257.81	DCR|5VULN|2DUR|1NUKE	1NUKE|2345aVULN|6RCR|79DUR|8BEXP
27	53333 51613	1	   	257.81	DCR|5VULN|2DUR|1NUKE	1NUKE|2345aVULN|6RCR|78DUR|9LWND
28	13663 21634	6	 * 	257.01	DCR|3VULN|2DUR|2ASPD|2CDMG	1RPLT|28DUR|37aVULN|48ASPD|5MBVNT|68CDMG|8BPWR|9RCR
29	13663 11632	5	 * 	256.86	DCR|3VULN|2DUR|2ASPD|1DMG|1SELL	1RPLT|28DUR|378VULN|48ASPD|5MBVNT|6SELL|8BPWR|9RCR|aDMG
30	53333 62226	1	   	256.78	DCR|5VULN|1TLV|1CDMG|1NUKE	1NUKE|2345aVULN|6TLV|7RCR|8ERES|9CDMG
31	53333 21364	1	   	255.71	DCR|4VULN|2DUR|2AART|1NUKE	1NUKE|2345VULN|67DUR|8aAART|9RCR
32	53333 51334	1	   	255.71	DCR|4VULN|2DUR|2AART|1NUKE	1NUKE|2345VULN|6RCR|79DUR|8aAART
33	13121 12665	4	 * 	255.55	DCR|2VULN|3DMG|3DUR	1RPLT|29aDUR|3CGEN|45aDMG|6aVULN|7RCR|8BELT|aBPWR
34	53333 53623	1	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD|1NUKE	1NUKE|2345VULN|6RCR|7BEXP|8DMG|9DUR|aASPD
35	53333 51225	1	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG|1NUKE	1NUKE|2345VULN|6RCR|7DUR|8BEXP|9CDMG|aTLV
36	53333 61313	1	   	253.41	DCR|4VULN|1DMG|1TLV|1NUKE|1AART	1NUKE|2345VULN|6TLV|7CGEN|8AART|9DMG|aRCR
37	25315 23362	1	   	252.40	DCR|3VULN|2DMG|1TLV|1CDMG|1SELL	17LWND|2TLV|3SELL|478VULN|57DMG|6BELT|7BPWR|9RCR|aCDMG
38	13652 13114	4	   	252.12	DCR|4VULN|2DUR|1CDMG	1RPLT|25DUR|3456VULN|5BPWR|7CDMG|8RMIN|9FEWX|aRCR
39	13652 13134	4	   	252.12	DCR|4VULN|2DUR|1CDMG	1RPLT|25DUR|3456VULN|5BPWR|7CDMG|8RMIN|9LWND|aRCR
40	13652 32314	4	   	252.02	DCR|4VULN|2DUR|1CDMG	1RPLT|25DUR|3458VULN|5BPWR|6ERES|7CDMG|9FEWX|aRCR
41	13652 32334	4	   	252.02	DCR|4VULN|2DUR|1CDMG	1RPLT|25DUR|3458VULN|5BPWR|6ERES|7CDMG|9LWND|aRCR
42	53333 51621	1	   	251.92	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|2345VULN|6RCR|78DUR|9CDMG|aLHND
43	53333 51622	1	   	251.82	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|2345VULN|6RCR|78DUR|9CDMG|aTBNT
44	53333 51623	1	   	251.82	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|2345VULN|6RCR|78DUR|9CDMG|aDUST
45	21323 26233	1	   	251.50	DCR|4VULN|3DUR	1LWND|2BBNT|3789VULN|456DUR|aRCR
46	23323 26233	1	   	251.50	DCR|4VULN|3DUR	1LWND|2TBNT|3789VULN|456DUR|aRCR
47	13651 12116	4	   	250.85	DCR|3VULN|2DUR|1DMG|2LIT	1RPLT|2aDUR|34aVULN|5DMG|6ZMB|7RCR|8aLIT|9BELT|aBPWR
48	13663 21632	6	 * 	250.16	DCR|2VULN|2DUR|2ASPD|1DMG|2CDMG	1RPLT|28DUR|37VULN|48ASPD|5MBVNT|68CDMG|8BPWR|9RCR|aDMG
49	13663 11633	5	 * 	250.03	DCR|3VULN|3DUR|2ASPD|1SELL	1RPLT|28aDUR|378VULN|48ASPD|5MBVNT|6SELL|8BPWR|9RCR
50	25315 23361	1	   	249.76	DCR|3VULN|2DMG|1TLV|1ASPD|1SELL	17LWND|2TLV|3SELL|478VULN|57DMG|6BELT|7BPWR|9RCR|aASPD
51	53333 61363	1	   	249.60	DCR|4VULN|1TLV|1DUR|1NUKE|1AART	1NUKE|2345VULN|6TLV|7CGEN|8AART|9RCR|aDUR
52	53314 22413	1	 * 	249.36	DCR|4VULN|2TLV|1CDMG|1NUKE	1NUKE|2368VULN|45TLV|7RCR|9CDMG|aLIT
53	14336 21113	1	 * 	249.31	DCR|3VULN|3DMG|1ASPD	1RPLT|2RMIN|3BELT|489DMG|5ASPD|689VULN|789ERES|89BPWR|aRCR
54	33521 61163	4	   	248.48	DCR|3VULN|2AART|1TLV|1DUR|1CDMG	1FEWX|2CDMG|35AART|489VULN|6TLV|7RCR|aDUR
55	53333 51223	1	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD|1NUKE	1NUKE|2345VULN|6RCR|7DUR|8BEXP|9CDMG|aASPD
56	13262 14522	2	 * 	248.22	DCR|2VULN|3DUR|3CDMG|1DMG	1RPLT|258DUR|367CDMG|48VULN|8BPWR|9RCR|aDMG
