0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12253 53242	10	 * 	293.15	DCR|3VULN|2DMG|2TLV|2DUR|2ASPD	18DUR|24ASPD|348VULN|48BPWR|5LWND|69TLV|78DMG|aRCR
2	43131 12164	4	 * 	292.88	DCR|3VULN|3DMG|2DUR|1TLV	15aVULN|2RPLT|3BELT|45aDMG|5aBPWR|6RCR|7LIT|8TLV|9aDUR
3	65521 13111	9	 * 	292.56	DCR|3VULN|3DMG|2TLV|2DUR	13aDMG|23aVULN|3aBPWR|4ERES|58DUR|6aTLV|7RPLT|9RCR
4	14252 82311	7	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	1aDUR|24TLV|34aVULN|4aBPWR|5MBVNT|6ERES|7CDMG|8RCR|9aDMG
5	12232 54124	4	 * 	285.85	DCR|3VULN|3DUR|2DMG|2ASPD|1CDMG	17aDUR|27ASPD|34aVULN|5CDMG|67DMG|7aBPWR|8RCR|9aLWND
6	12232 54134	4	   	285.85	DCR|3VULN|3DUR|2DMG|2ASPD|1CDMG	17aDUR|27ASPD|34aVULN|5CDMG|67DMG|7aBPWR|8RCR|9aLHND
7	12233 53242	10	   	285.21	DCR|3VULN|2DMG|2TLV|2DUR	18DUR|2ASPD|348VULN|5LWND|69TLV|78DMG|8BPWR|aRCR
8	14252 33363	7	   	285.21	DCR|3VULN|2DMG|2TLV|2DUR	1aDUR|24TLV|34aVULN|4aBPWR|5MBVNT|6LIT|7LHND|8aDMG|9RCR
9	62263 61331	6	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	145DMG|2MBVNT|347VULN|47BPWR|67DUR|8MLV|9TLV|aRCR
10	62232 13383	4	 * 	284.16	DCR|4VULN|3DMG|3CDMG|1AART	189DMG|2MBVNT|3489VULN|589CDMG|6AART|7BBNT|89BPWR|aRCR
11	62265 12411	9	   	284.13	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	14aDMG|2MBVNT|34aVULN|4aBPWR|5ERES|6TLV|7SELL|8aDUR|9RCR
12	62265 12441	7	   	284.13	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	14aDMG|2MBVNT|34aVULN|4aBPWR|5ERES|6TLV|7SELL|8aDUR|9RCR
13	62265 12441	8	   	284.13	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	14aDMG|2MBVNT|34aVULN|4aBPWR|5ERES|6TLV|7SELL|8aDUR|9RCR
14	44221 31153	6	 * 	283.59	DCR|5VULN|3DUR|1TLV	1367aVULN|2TLV|4ERES|569DUR|6BPWR|8RCR
15	13133 12114	5	 * 	281.42	DCR|2VULN|3DMG|3DUR|1TLV	15aDUR|2RPLT|3BELT|45aDMG|5aBPWR|6RCR|7LIT|8TLV|9aVULN
16	13133 32114	7	   	281.42	DCR|2VULN|3DMG|3DUR|1TLV	15aDUR|2RPLT|3BELT|45aDMG|5aBPWR|6RCR|7LIT|8TLV|9aVULN
17	13133 32114	6	   	281.42	DCR|2VULN|3DMG|3DUR|1TLV	15aDUR|2RPLT|3BELT|45aDMG|5aBPWR|6RCR|7LIT|8TLV|9aVULN
