0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35351 23362	7	 * 	297.95	DCR|4VULN|2DMG|2TLV|2DUR	159aVULN|28DMG|3RMIN|4aTLV|6RCR|7aDUR|aBPWR
2	31561 23262	8	 * 	293.14	DCR|5VULN|3DMG|1TLV|1NUKE	1589aVULN|2TLV|3NUKE|48aDMG|6RCR|78aLHND|8aBPWR
3	35314 16213	2	   	290.94	DCR|4VULN|3DMG|1TLV|1DUR	1359VULN|235DMG|35BPWR|4RCVC|6ZMB|7DUR|8TLV|aRCR
4	31151 23163	2	   	289.31	DCR|4VULN|3DMG|1TLV|2LIT|1SELL	1579VULN|2TLV|3SELL|489DMG|69LIT|9BPWR|aRCR
5	31151 23163	1	   	289.31	DCR|4VULN|3DMG|1TLV|2LIT|1SELL	1579VULN|2TLV|3SELL|489DMG|69LIT|9BPWR|aRCR
6	31443 85224	8	 * 	288.05	DCR|3VULN|3DMG|3CDMG|1TLV	19aVULN|2TLV|3MBVNT|49aCDMG|5LHND|6LIT|79aDMG|8RCR|9aBPWR
7	31447 35224	8	   	288.05	DCR|3VULN|3DMG|3CDMG|1TLV	19aVULN|2TLV|3MBVNT|49aCDMG|5LIT|6LHND|79aDMG|8RCR|9aBPWR
8	31613 85224	8	   	288.05	DCR|3VULN|3DMG|3CDMG|1TLV	19aVULN|2TLV|39aCDMG|4MBVNT|5LHND|6LIT|79aDMG|8RCR|9aBPWR
9	31617 35224	8	   	288.05	DCR|3VULN|3DMG|3CDMG|1TLV	19aVULN|2TLV|39aCDMG|4MBVNT|5LIT|6LHND|79aDMG|8RCR|9aBPWR
10	31425 72122	6	 * 	286.28	DCR|3VULN|3DMG|3TLV|1DUR	189VULN|289TLV|3MBVNT|4LIT|5DUR|689DMG|7RPLT|89BPWR|aRCR
11	36213 66213	3	 * 	285.32	DCR|3VULN|2TLV|2DUR|3CDMG|1DMG	189VULN|238CDMG|47DUR|5DMG|68TLV|8BPWR|aRCR
12	31312 32123	2	 * 	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2TLV|389DUR|4DMG|5FEWX|689LIT|7RPLT|89BPWR|aRCR
13	31312 32123	1	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2TLV|389DUR|4DMG|5FEWX|689LIT|7RPLT|89BPWR|aRCR
14	31315 32123	1	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2TLV|389DUR|4DMG|5BEXP|689LIT|7RPLT|89BPWR|aRCR
15	31315 32123	2	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2TLV|389DUR|4DMG|5BEXP|689LIT|7RPLT|89BPWR|aRCR
16	31316 32123	2	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2TLV|389DUR|4DMG|5LWND|689LIT|7RPLT|89BPWR|aRCR
17	31316 32123	1	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2TLV|389DUR|4DMG|5LWND|689LIT|7RPLT|89BPWR|aRCR
18	32116 32123	3	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2LHND|389DUR|4TLV|5DMG|689LIT|7RPLT|89BPWR|aRCR
19	32516 32123	2	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2LHND|389DUR|4TLV|5DMG|689LIT|7RPLT|89BPWR|aRCR
20	35516 32123	1	   	284.53	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	189VULN|2LHND|389DUR|4TLV|5DMG|689LIT|7RPLT|89BPWR|aRCR
