0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54326 33133	9	 * 	296.31	DCR|3VULN|3DMG|2DUR|3LIT	169DMG|29aLIT|3ASPD|4aDUR|5AART|79aVULN|8RCR|9aBPWR
2	11153 24252	3	 * 	291.71	DCR|3VULN|3DUR|2DMG|1TLV	1RMIN|28aVULN|3TLV|48DMG|5AART|689DUR|7RCR|8BPWR
3	51113 34252	4	   	291.61	DCR|3VULN|3DUR|2DMG|1TLV	18DMG|289DUR|3TLV|4ERES|5AART|68aVULN|7RCR|8BPWR
4	51113 34232	4	 * 	286.46	DCR|3VULN|2DMG|2TLV|2DUR	18DMG|28DUR|39TLV|4ERES|5AART|68aVULN|7RCR|8BPWR
5	56236 12212	9	 * 	280.57	ACR|4VULN|3DUR|2DMG|1TLV	19DMG|2RCR|359DUR|4589VULN|59BPWR|6RPLT|7AART|aTLV
6	51113 34212	4	   	278.29	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|28DUR|3TLV|49ERES|5AART|68aVULN|7RCR|8BPWR
7	54326 33132	10	 * 	278.02	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	169DMG|29LIT|3ASPD|4DUR|5AART|79VULN|8RCR|9BPWR|aTLV
8	51312 33663	7	   	277.40	DCR|3VULN|3DMG|3LIT|1DUR|1CDMG	189DMG|2DUR|389VULN|4RPLT|5CDMG|6ZMB|789LIT|89BPWR|aRCR
9	11423 33263	9	 * 	275.43	DCR|4VULN|2DMG|2TLV	1RMIN|2348VULN|38BPWR|5LIT|68TLV|78DMG|9BELT|aRCR
10	51135 46324	7	   	274.07	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	18DMG|29DUR|38TLV|4CDMG|5MBVNT|6LIT|78VULN|8BPWR|aRCR
11	51135 46124	9	   	274.07	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	19DMG|28DUR|39TLV|4CDMG|5MBVNT|6LIT|79VULN|9BPWR|aRCR
12	51322 32634	7	   	273.42	DCR|3VULN|3DMG|3LIT|1DUR	18aDMG|2DUR|38aVULN|4BEXP|5FEWX|6RCR|78aLIT|8aBPWR|9AART
13	11335 21471	10	 * 	271.07	DCR|4VULN|1TLV|3CDMG|3ASPD	1RMIN|2689VULN|389ASPD|489CDMG|5MBVNT|7RCR|89BPWR|aTLV
14	11353 24252	3	 * 	270.45	DCR|3VULN|3DUR|2TLV	1RMIN|28aVULN|3ASPD|48TLV|5AART|689DUR|7RCR|8BPWR
15	52223 23416	4	 * 	270.12	ACR|3VULN|3DMG|2TLV|2DUR	127DMG|27aBPWR|3RCR|47aVULN|5AART|67DUR|8aMLV|9aTLV
16	52233 23416	3	   	270.12	ACR|3VULN|3DMG|2TLV|2DUR	127DMG|27aBPWR|3RCR|47aVULN|5AART|67DUR|8aMLV|9aTLV
17	51113 34236	4	   	270.08	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|28DUR|39TLV|4ERES|5AART|68VULN|7RCR|8BPWR|aASPD
18	56236 12211	10	 * 	270.02	ACR|4VULN|3DMG|3DUR	19aDMG|2RCR|359DUR|4589VULN|59BPWR|6RPLT|7AART
19	23322 22626	9	 * 	269.81	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	1LWND|259DUR|3CDMG|4LIT|69VULN|7DMG|89TLV|9BPWR|aRCR
20	11422 25523	10	 * 	267.57	DCR|5VULN|2DUR|1CDMG	1RMIN|23479VULN|37BPWR|57DUR|6AART|8CDMG|aRCR
21	11153 24222	3	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|28VULN|3TLV|48DMG|5AART|68aDUR|7RCR|8BPWR|9CGEN
22	51153 34222	1	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4TLV|5AART|68VULN|7RCR|8BPWR|9CGEN
23	51153 34222	2	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4TLV|5AART|68VULN|7RCR|8BPWR|9CGEN
24	53163 34222	1	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|2TLV|38aDUR|4RMIN|5AART|68VULN|7RCR|8BPWR|9CGEN
25	11153 24251	3	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|28VULN|3TLV|48DMG|5AART|689DUR|7RCR|8BPWR|aFEWX
26	11153 24253	3	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|28VULN|3TLV|48DMG|5AART|689DUR|7RCR|8BPWR|aCGEN
27	51113 34222	4	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3TLV|4ERES|5AART|68VULN|7RCR|8BPWR|9CGEN
28	51153 34212	1	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4TLV|5AART|68VULN|7RCR|8BPWR|9ERES
29	51153 34212	2	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4TLV|5AART|68VULN|7RCR|8BPWR|9ERES
30	51153 34232	1	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4TLV|5AART|68VULN|7RCR|8BPWR|9DUST
31	51153 34232	2	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4TLV|5AART|68VULN|7RCR|8BPWR|9DUST
32	51413 34232	4	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|28aDUR|3MLV|4ERES|5AART|68VULN|7RCR|8BPWR|9TLV
33	51113 34251	4	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|289DUR|3TLV|4ERES|5AART|68VULN|7RCR|8BPWR|aFEWX
34	51113 34253	4	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|289DUR|3TLV|4ERES|5AART|68VULN|7RCR|8BPWR|aCGEN
35	53163 34212	1	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|2TLV|38aDUR|4RMIN|5AART|68VULN|7RCR|8BPWR|9ERES
