0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14523 23341	7	 * 	298.76	DCR|3VULN|3DMG|2DUR|2ASPD	129DMG|349VULN|56DUR|7LIT|89ASPD|9BPWR|aRCR
2	16332 22231	8	 * 	297.53	ACR|4VULN|3DMG|3DUR|2LIT	17aDMG|2RCR|367DUR|4AART|579aVULN|7aBPWR|8aLIT
3	16332 34215	9	 * 	285.60	ACR|4VULN|3DMG|3ASPD|1DUR	19aDMG|2RCR|3DUR|4AART|589aVULN|69aASPD|7RMIN|9aBPWR
4	16332 33152	7	   	285.50	ACR|4VULN|3DMG|3ASPD|1DUR	18aDMG|2RCR|3DUR|4AART|578aVULN|68aASPD|8aBPWR|9BBNT
5	11262 34647	1	 * 	285.49	DCR|3VULN|3DMG|3ASPD|1TLV	19aDMG|2MBVNT|3DMSP|4TLV|5BELT|69aVULN|7RCR|89aASPD|9aBPWR
6	11262 54447	1	   	285.49	DCR|3VULN|3DMG|3ASPD|1TLV	19aDMG|2MBVNT|3DMSP|4TLV|5BELT|69aASPD|7RCR|89aVULN|9aBPWR
7	14521 31341	6	   	284.17	DCR|3VULN|3DMG|2ASPD|1TLV	129DMG|349VULN|5RMIN|6LIT|7TLV|89ASPD|9BPWR|aRCR
8	14521 32341	7	   	284.17	DCR|3VULN|3DMG|2ASPD|1TLV	129DMG|349VULN|5RMIN|6LIT|7TLV|89ASPD|9BPWR|aRCR
9	16332 22312	7	   	282.47	ACR|4VULN|3DMG|3DUR	178DMG|2RCR|367DUR|4AART|579aVULN|7BPWR
10	14523 21116	10	 * 	282.46	DCR|3VULN|3DMG|3DUR	12aDMG|347VULN|56aDUR|8aMLV|9RCR|aBPWR
11	52526 21211	4	 * 	281.60	DCR|4VULN|3DUR|1TLV|1CDMG	178DUST|2BEXP|378DUR|4CDMG|5TLV|6789VULN|78BPWR|aRCR
12	11625 22542	4	 * 	281.50	DCR|4VULN|2DMG|2TLV|1DUR	19DMG|2BEXP|3589VULN|49TLV|6MBVNT|7RCR|9BPWR|aDUR
13	14523 25211	10	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	12DMG|349VULN|567DUR|8CDMG|aRCR
14	11625 22543	4	   	278.90	DCR|4VULN|2DMG|2TLV|1CDMG	19DMG|2BEXP|3589VULN|49TLV|6MBVNT|7RCR|9BPWR|aCDMG
15	12612 22542	4	   	277.54	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aLIT
16	12662 22542	3	   	277.54	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aLIT
17	12512 22542	4	   	277.44	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aLIT
18	12562 22542	3	   	277.44	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aLIT
19	11332 12132	7	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG	17DMG|2BEXP|37DUR|4AART|578VULN|6DMSP|7BPWR|9CDMG|aRCR
20	11332 22431	10	   	276.47	DCR|3VULN|3DUR|2DMG	17DMG|2BEXP|367DUR|4AART|57aVULN|7BPWR|8LWND|9RCR
21	11332 22432	9	   	276.47	DCR|3VULN|3DUR|2DMG	17DMG|2BEXP|367DUR|4AART|57aVULN|7BPWR|8LWND|9RCR
22	11332 22331	7	   	276.22	DCR|2VULN|3DMG|3DUR|1ASPD	178DMG|2BEXP|367DUR|4AART|57VULN|7BPWR|9RCR|aASPD
23	11226 62542	1	 * 	276.12	DCR|4VULN|2DMG|2DUR	19DMG|2MBVNT|3DMSP|4MLV|589aVULN|69DUR|7RCR|9BPWR
24	14523 21113	10	   	276.02	DCR|4VULN|2DMG|2DUR	12DMG|347aVULN|56DUR|8MLV|9RCR
25	14523 21213	10	   	276.02	DCR|4VULN|2DMG|2DUR	12DMG|347aVULN|56DUR|8RMIN|9RCR
26	14523 21613	10	   	275.92	DCR|4VULN|2DMG|2DUR	12DMG|347aVULN|56DUR|8ERES|9RCR
27	16332 33164	7	   	275.59	ACR|4VULN|3DMG|3ASPD|1DUR|1SELL	18aDMG|2RCR|3DUR|4AART|578aVULN|68aASPD|8aBPWR|9SELL
28	13651 13315	7	 * 	275.42	DCR|2VULN|3DMG|3DUR|2CDMG	147DMG|27CDMG|3ERES|59VULN|67aDUR|7BPWR|8RCR
29	32135 21345	2	 * 	275.33	DCR|3VULN|3DUR|3CDMG|2TLV	17aCDMG|2FEWX|37aDUR|48TLV|5BEXP|67aVULN|7aBPWR|9RCR
30	32513 21345	5	   	275.33	DCR|3VULN|3DUR|3CDMG|2TLV	17aCDMG|2FEWX|37aDUR|4LWND|58TLV|67aVULN|7aBPWR|9RCR
31	36131 21345	2	   	275.33	DCR|3VULN|3DUR|3CDMG|2TLV	17aCDMG|2BEXP|37aDUR|48TLV|5FEWX|67aVULN|7aBPWR|9RCR
32	36132 21345	2	   	275.33	DCR|3VULN|3DUR|3CDMG|2TLV	17aCDMG|2BEXP|37aDUR|48TLV|5LWND|67aVULN|7aBPWR|9RCR
33	32133 21345	2	   	275.23	DCR|3VULN|3DUR|3CDMG|2TLV	17aCDMG|2FEWX|37aDUR|48TLV|5DUST|67aVULN|7aBPWR|9RCR
34	32533 21345	3	   	275.23	DCR|3VULN|3DUR|3CDMG|2TLV	17aCDMG|2FEWX|37aDUR|48TLV|5DUST|67aVULN|7aBPWR|9RCR
35	16332 22233	8	   	275.12	ACR|4VULN|3DUR|2DMG	17DMG|2RCR|367DUR|4AART|579aVULN|7BPWR|8LIT
36	12436 21422	8	 * 	274.72	DCR|3VULN|3DMG|2TLV|1DUR	148DMG|24CGEN|3RCVC|48BPWR|58TLV|678VULN|9RCR|aDUR
37	12616 31422	8	   	274.72	DCR|3VULN|3DMG|2TLV|1DUR	138DMG|23CGEN|38BPWR|478VULN|58TLV|6RCVC|9RCR|aDUR
38	16335 13342	8	 * 	274.62	ACR|4VULN|3DMG|2TLV|1DUR	189DMG|2RCR|3DUR|4AART|59TLV|679aVULN|9BPWR
39	12516 31422	8	   	274.62	DCR|3VULN|3DMG|2TLV|1DUR	138DMG|2CGEN|478VULN|58TLV|6RCVC|8BPWR|9RCR|aDUR
40	16321 21212	5	   	273.83	ACR|4VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|2RCR|37DUR|4TLV|5CDMG|678aVULN|7BPWR|9LWND
41	16321 21232	5	   	273.83	ACR|4VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|2RCR|37DUR|4TLV|5CDMG|678aVULN|7BPWR|9BEXP
42	16321 21262	5	   	273.73	ACR|4VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|2RCR|37DUR|4TLV|5CDMG|678aVULN|7BPWR|9DUST
43	16321 21662	5	   	273.73	ACR|4VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|2RCR|37DUR|4TLV|5CDMG|679aVULN|7BPWR|8DUST
44	13123 26627	3	 * 	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|3FEWX|4MBVNT|59DUR|67aVULN|7BPWR|8RCR
45	13643 13353	9	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35ERES|489VULN|67DUR|7BPWR|aRCR
46	14333 32462	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	12DMG|3LHND|4DUR|589aVULN|6ASPD|7RCR
47	12612 22741	4	   	271.80	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|23CGEN|39BPWR|49VULN|589DUR|6MBVNT|7RCR|aTLV
48	12662 22741	3	   	271.80	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|23CGEN|39BPWR|49VULN|589DUR|6MBVNT|7RCR|aTLV
49	12512 22741	4	   	271.70	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|2CGEN|49VULN|589DUR|6MBVNT|7RCR|9BPWR|aTLV
50	12562 22741	3	   	271.70	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|2CGEN|49VULN|589DUR|6MBVNT|7RCR|9BPWR|aTLV
51	32131 22245	2	   	271.61	DCR|3VULN|3DUR|3CDMG|1TLV	18aCDMG|25FEWX|38aDUR|4TLV|6LHND|78aVULN|8aBPWR|9RCR
52	32531 22245	3	   	271.61	DCR|3VULN|3DUR|3CDMG|1TLV	18aCDMG|25FEWX|38aDUR|4TLV|6LHND|78aVULN|8aBPWR|9RCR
53	11336 27544	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	149DMG|29BEXP|3DUR|5TLV|6MBVNT|789VULN|9BPWR|aRCR
54	14431 12334	1	 * 	270.73	DCR|2VULN|3DUR|2DMG|3ASPD	19DMG|256DUR|3BBNT|456ASPD|569BPWR|79VULN|89ZMB|aRCR
55	14521 23422	5	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	126DMG|348VULN|5RMIN|7TLV|9RCR|aDUR
56	13351 63341	5	   	270.67	DCR|2VULN|3DMG|2ASPD|1TLV|1CDMG|1SELL	147DMG|2CDMG|37ASPD|57VULN|6SELL|7BPWR|8LIT|9TLV|aRCR
57	16321 21225	5	 * 	270.56	ACR|3VULN|3DMG|2DUR|2TLV|1CDMG	17aDMG|2RCR|37DUR|4aTLV|5CDMG|678VULN|7aBPWR|9aERES
58	16321 21453	5	   	270.50	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17DMG|2RCR|37DUR|4TLV|5CDMG|679VULN|7BPWR|8LIT|aASPD
59	13651 13311	7	   	270.50	DCR|2VULN|3DMG|2DUR|2CDMG	147DMG|27CDMG|3ERES|59VULN|67DUR|7BPWR|8RCR|aLIT
60	51232 32135	7	 * 	270.41	DCR|4VULN|3DMG	17DUST|2LEGI|379DMG|4AART|5678VULN|7BPWR|aRCR
61	13343 46221	7	   	269.74	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	18DMG|2CDMG|38ASPD|49VULN|5ERES|68DUR|7RCR|8BPWR|aLIT
62	11262 34187	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2MBVNT|3DMSP|4TLV|5BELT|68aVULN|7RCR|9aDUR|aBPWR
63	13332 15115	4	   	269.62	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD|1SELL	1aDMG|2aCDMG|3ASPD|4SELL|5DUR|6DLOT|78aVULN|9RCR|aBPWR
64	13333 15115	5	   	269.62	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD|1SELL	1aDMG|2aCDMG|3ASPD|4SELL|5DUR|6DLOT|78aVULN|9RCR|aBPWR
65	16332 12325	9	   	269.45	ACR|4VULN|3DMG|2DUR	17aDMG|2RCR|37DUR|4AART|579aVULN|6DMSP|7aBPWR|8aFEWX
66	16332 12416	9	   	269.45	ACR|4VULN|3DMG|2DUR	179DMG|2RCR|37DUR|4AART|579aVULN|6DMSP|79BPWR|89LHND
67	11353 32462	6	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|2BEXP|34DUR|589aVULN|6ASPD|7RCR
68	13342 25236	3	 * 	269.42	DCR|3VULN|2DMG|3CDMG|1ASPD	17DMG|278CDMG|3ASPD|4AART|5LHND|67aVULN|7BPWR|9RCR
69	14523 23243	6	   	269.39	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	12DMG|348VULN|56DUR|7TLV|9SELL|aRCR
70	11632 32515	5	   	269.28	DCR|3VULN|3DMG|2ASPD	16aDMG|2BEXP|35aVULN|4AART|7aASPD|8RMIN|9RCR|aBPWR
71	16332 12125	7	   	269.25	ACR|4VULN|3DMG|2DUR	17aDMG|2RCR|37DUR|4AART|578aVULN|6DMSP|7aBPWR|9aDUST
72	16332 12442	7	   	269.25	ACR|4VULN|3DMG|2DUR	179DMG|2RCR|37DUR|4AART|579aVULN|6DMSP|79BPWR|89ERES
73	16332 12642	8	   	269.25	ACR|4VULN|3DMG|2DUR	179DMG|2RCR|37DUR|4AART|579aVULN|6DMSP|79BPWR|89ERES
74	12612 22541	4	   	269.24	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aBEXP
75	12612 22543	4	   	269.24	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aDMSP
76	12612 22545	4	   	269.24	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aZMB
77	12612 22547	4	   	269.24	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aFEWX
78	12662 22541	3	   	269.24	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aBEXP
79	12662 22543	3	   	269.24	DCR|3VULN|3DMG|2DUR	139DMG|23CGEN|39BPWR|489VULN|59DUR|6MBVNT|7RCR|aDMSP
80	11222 34647	1	   	269.24	DCR|3VULN|3DMG|3ASPD	19aDMG|2MBVNT|3DMSP|4MLV|5BELT|69aVULN|7RCR|89aASPD|9aBPWR
81	12251 13253	8	   	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	147DMG|27CGEN|3CDMG|59VULN|678DUR|7BPWR|aRCR
82	12251 13315	7	   	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	147DMG|27CGEN|3CDMG|59VULN|67aDUR|7BPWR|8RCR
83	12251 13453	7	   	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	147DMG|27CGEN|3CDMG|59VULN|678DUR|7BPWR|aRCR
84	14413 32263	9	   	269.18	DCR|3VULN|3DMG|2ASPD	127DMG|3LWND|4LEGI|578VULN|67ASPD|7BPWR|9RCR|aAART
85	16321 21451	5	   	269.16	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|2RCR|37DUR|4TLV|5CDMG|679VULN|7BPWR|8LIT|aAART
86	12512 22541	4	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aBEXP
87	12512 22543	4	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aDMSP
88	12512 22545	4	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aZMB
89	12512 22547	4	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aFEWX
90	12562 22541	3	   	269.14	DCR|3VULN|3DMG|2DUR	139DMG|2CGEN|489VULN|59DUR|6MBVNT|7RCR|9BPWR|aBEXP
