0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23822 42278	9	 * 	302.60	DCR|4VULN|3DUR|3ASPD|2CDMG	1MBVNT|247aVULN|38CDMG|57aASPD|67aDUR|7aBPWR|9RCR
2	23852 32711	8	 * 	302.43	DCR|3VULN|3DMG|3DUR|2CDMG	1MBVNT|27aVULN|3aCDMG|47aDUR|567DMG|7aBPWR|8RCR|9BBNT
3	23813 62314	9	 * 	297.44	DCR|5VULN|3DUR|3CDMG	1MBVNT|26789VULN|378CDMG|4RMIN|578DUR|78BPWR|aRCR
4	23813 62344	8	   	297.44	DCR|5VULN|3DUR|3CDMG	1MBVNT|26789VULN|378CDMG|4RMIN|578DUR|78BPWR|aRCR
5	23813 68344	9	   	297.44	DCR|5VULN|3DUR|3CDMG	1MBVNT|26789VULN|389CDMG|4RMIN|589DUR|89BPWR|aRCR
6	23823 42314	9	   	297.44	DCR|5VULN|3DUR|3CDMG	1MBVNT|24789VULN|378CDMG|5RMIN|678DUR|78BPWR|aRCR
7	23823 42344	8	   	297.44	DCR|5VULN|3DUR|3CDMG	1MBVNT|24789VULN|378CDMG|5RMIN|678DUR|78BPWR|aRCR
8	23823 48344	9	   	297.44	DCR|5VULN|3DUR|3CDMG	1MBVNT|24789VULN|389CDMG|5RMIN|689DUR|89BPWR|aRCR
9	23852 11534	10	   	296.11	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|29aVULN|3CDMG|49aDUR|59aDMG|6BELT|7LEGI|8RCR|9aBPWR
10	23852 32721	10	   	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	1MBVNT|27aVULN|3CDMG|479DUR|567DMG|7BPWR|8RCR
11	23732 75342	2	 * 	295.66	DCR|5VULN|2DMG|2DUR	1MBVNT|2345aVULN|6RPLT|7aDMG|8RCR|9aDUR|aBPWR
12	23741 61414	7	   	293.57	DCR|3VULN|3DMG|3DUR|1ASPD	1MBVNT|29aVULN|3BELT|49aDUR|5LHND|6RCR|7ASPD|89aDMG|9aBPWR
13	63541 61414	7	   	293.57	DCR|3VULN|3DMG|3DUR|1ASPD	1BELT|2MBVNT|39aVULN|49aDUR|5LHND|6RCR|7ASPD|89aDMG|9aBPWR
14	23822 42618	10	   	293.40	DCR|4VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|2479VULN|3CDMG|57ASPD|67DUR|7BPWR|8DMG|aRCR
15	23542 26342	5	 * 	291.88	DCR|4VULN|3DMG|2DUR	1MBVNT|267aVULN|3RPLT|4RCVC|56aDMG|6aBPWR|8RCR|9aDUR
16	23542 26542	5	   	291.88	DCR|4VULN|3DMG|2DUR	1MBVNT|267aVULN|3RPLT|4RCVC|56aDMG|6aBPWR|8aDUR|9RCR
17	23852 32714	9	   	291.09	DCR|3VULN|3DMG|2DUR|1CDMG	1MBVNT|27aVULN|3CDMG|47DUR|567DMG|7BPWR|8RCR|9LIT
18	23713 21174	3	 * 	290.93	DCR|5VULN|2DMG|3CDMG	1MBVNT|2567aVULN|3BELT|457CDMG|57aBPWR|8aDMG|9RCR
19	63213 21174	2	   	290.93	DCR|5VULN|2DMG|3CDMG	1BELT|2MBVNT|3567aVULN|457CDMG|57aBPWR|8aDMG|9RCR
20	63513 21174	3	   	290.93	DCR|5VULN|2DMG|3CDMG	1BELT|2MBVNT|3567aVULN|457CDMG|57aBPWR|8aDMG|9RCR
21	23515 14112	2	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|258aVULN|3aDUR|4LHND|6CDMG|7RCR|9aDMG|aBPWR
