0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33531 23545	8	 * 	308.13	DCR|4VULN|3DMG|3ASPD|1TLV	1MBVNT|2389VULN|489ASPD|5TLV|6LWND|789DMG|89BPWR|aRCR
2	33522 38343	10	 * 	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1MBVNT|238aVULN|4CDMG|5aDMG|69aDUR|7RCR|aBPWR
3	33522 87343	10	   	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1MBVNT|238aVULN|4CDMG|5aDMG|6RCR|79aDUR|aBPWR
4	33622 38343	10	   	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1MBVNT|238aVULN|3aBPWR|4CDMG|5aDMG|69aDUR|7RCR
5	33622 87343	10	   	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1MBVNT|238aVULN|3aBPWR|4CDMG|5aDMG|6RCR|79aDUR
6	24222 43336	4	 * 	302.43	DCR|3VULN|3DMG|3DUR|2CDMG	134DUR|246DMG|49BPWR|59CDMG|79aVULN|8RCR
7	33222 33488	10	   	297.16	DCR|4VULN|3DMG|2CDMG|1DUR	1MBVNT|2489VULN|3DUR|568DMG|78CDMG|8BPWR|aRCR
8	33512 33488	10	   	297.16	DCR|4VULN|3DMG|2CDMG|1DUR	1MBVNT|2389VULN|4DUR|568DMG|78CDMG|8BPWR|aRCR
9	33612 33488	10	   	297.16	DCR|4VULN|3DMG|2CDMG|1DUR	1MBVNT|2389VULN|38BPWR|4DUR|568DMG|78CDMG|aRCR
10	33222 58343	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	1MBVNT|248aVULN|39DUR|5aDMG|6aCDMG|7RCR|aBPWR
11	33512 58343	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	1MBVNT|238aVULN|49DUR|5aDMG|6aCDMG|7RCR|aBPWR
12	33612 58343	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	1MBVNT|238aVULN|3aBPWR|49DUR|5aDMG|6aCDMG|7RCR
13	33533 23545	8	   	291.88	DCR|4VULN|3DMG|3ASPD	1MBVNT|2389VULN|489ASPD|5CGEN|6LWND|789DMG|89BPWR|aRCR
14	24222 43334	4	   	291.77	DCR|2VULN|3DMG|3DUR|2CDMG|1TLV	134DUR|246DMG|49BPWR|59CDMG|79VULN|8RCR|aTLV
15	33222 37488	10	 * 	291.53	DCR|4VULN|3DMG|2DUR|1SELL	1MBVNT|2489VULN|38DUR|568DMG|7SELL|8BPWR|aRCR
16	11221 15355	1	   	290.87	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3BBNT|489DMG|5BEXP|6LIT|789VULN|89BPWR|aRCR
17	11222 15355	1	   	290.87	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3BBNT|489DMG|5LIT|6BEXP|789VULN|89BPWR|aRCR
18	11222 25355	1	   	290.87	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3BBNT|489DMG|5LIT|6LWND|789VULN|89BPWR|aRCR
19	11321 15355	1	   	290.87	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3TBNT|489DMG|5BEXP|6LIT|789VULN|89BPWR|aRCR
20	11322 15355	1	   	290.87	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3TBNT|489DMG|5LIT|6BEXP|789VULN|89BPWR|aRCR
21	11322 25355	1	   	290.87	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3TBNT|489DMG|5LIT|6LWND|789VULN|89BPWR|aRCR
22	11222 35355	1	   	290.77	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3BBNT|489DMG|5LIT|6DUST|789VULN|89BPWR|aRCR
23	11322 35355	1	   	290.77	DCR|3VULN|3DMG|3DUR	1RCVC|289DUR|3TBNT|489DMG|5LIT|6DUST|789VULN|89BPWR|aRCR
24	24222 33332	4	 * 	289.96	DCR|2VULN|3DMG|3DUR|3CDMG	134DUR|246DMG|469BPWR|569CDMG|79VULN|8RCR|aLIT
25	33522 38323	10	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|238aVULN|4CDMG|5aDMG|6aDUR|7RCR|9DMSP|aBPWR
26	33522 87323	10	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|238aVULN|4CDMG|5aDMG|6RCR|7aDUR|9DMSP|aBPWR
27	33622 38323	10	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|238aVULN|3aBPWR|4CDMG|5aDMG|6aDUR|7RCR|9DMSP
28	33622 87323	10	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|238aVULN|3aBPWR|4CDMG|5aDMG|6RCR|7aDUR|9DMSP
29	33282 33488	10	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG	1MBVNT|289VULN|34DUR|568DMG|78CDMG|8BPWR|aRCR
30	33583 31272	9	   	288.16	DCR|4VULN|2DUR|1DMG|2CDMG	1MBVNT|237aVULN|4AART|57DUR|67CDMG|7BPWR|8DMG|9RCR
31	33683 31272	9	   	288.16	DCR|4VULN|2DUR|1DMG|2CDMG	1MBVNT|237aVULN|37BPWR|4AART|57DUR|67CDMG|8DMG|9RCR
32	35227 32314	4	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1MBVNT|2TLV|358DUR|459aVULN|5BPWR|6DMG|7RCR
33	35537 32314	2	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1MBVNT|2TLV|359aVULN|458DUR|5BPWR|6DMG|7RCR
34	35537 32314	3	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1MBVNT|2TLV|359aVULN|458DUR|5BPWR|6DMG|7RCR
35	38537 32314	1	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1MBVNT|2TLV|359aVULN|458DUR|5BPWR|6DMG|7RCR
36	24222 53633	4	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	134DUR|24DMG|4BPWR|58CDMG|6RCR|79aVULN
37	33526 38343	10	 * 	286.56	DCR|4VULN|3DUR|2ASPD|1CDMG	1MBVNT|238aVULN|4CDMG|5aASPD|69aDUR|7RCR|aBPWR
38	33626 38343	10	   	286.56	DCR|4VULN|3DUR|2ASPD|1CDMG	1MBVNT|238aVULN|3aBPWR|4CDMG|5aASPD|69aDUR|7RCR
39	22526 43222	4	 * 	286.40	DCR|5VULN|3DUR|2LIT	156DUR|28MLV|3LHND|45689VULN|568BPWR|78LIT|aRCR
40	33322 61882	9	 * 	286.04	DCR|5VULN|2DMG|2ASPD	1MBVNT|24789VULN|3FEWX|59DMG|69ASPD|9BPWR|aRCR
41	37227 53411	4	   	286.02	DCR|3VULN|3DUR|2DMG|1ASPD	1MBVNT|2ASPD|356DUR|456VULN|56BPWR|7LIT|89DMG|aRCR
42	24434 21221	9	   	286.00	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|358aVULN|4LIT|7TLV|9RCR
43	24434 21222	10	   	286.00	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|26DMG|358aVULN|4LIT|7TLV|9RCR
