0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62122 32153	7	 * 	299.21	DCR|4VULN|3ASPD|2DUR|1TLV|1CDMG	138ASPD|2TLV|478aVULN|58DUR|6RCR|8BPWR|9CDMG
2	53123 52161	7	 * 	296.19	DCR|4VULN|2DMG|2DUR|2TLV	18DUR|28DMG|3LHND|457aVULN|68TLV|8BPWR|9RCR
3	62121 43152	4	 * 	294.23	DCR|5VULN|3ASPD|2CDMG|1TLV	13aASPD|2TLV|4578aVULN|6aCDMG|9RCR|aBPWR
4	43121 12161	7	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	178aVULN|28DMG|3LHND|4TLV|58DUR|6RCVC|8BPWR|9RCR
5	43121 42161	7	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	178aVULN|28DMG|36LHND|4TLV|58DUR|8BPWR|9RCR
6	31261 33443	5	 * 	292.30	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	1SELL|239DMG|39BPWR|49DUR|579VULN|6AART|8RCR|aCDMG
7	62122 32154	7	 * 	289.79	DCR|3VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|478VULN|58aDUR|6RCR|8BPWR|9CDMG
8	62122 32131	6	   	289.79	DCR|3VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|48aVULN|578DUR|6RCR|8BPWR|9CDMG
9	62122 35131	7	   	289.79	DCR|3VULN|3DUR|3ASPD|1TLV|1CDMG	138ASPD|2TLV|48aVULN|578DUR|6RCR|8BPWR|9CDMG
10	53123 52163	7	   	287.20	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG	18DUR|28DMG|3LHND|457VULN|68TLV|8BPWR|9RCR|aCDMG
11	33523 13232	5	 * 	286.90	DCR|4VULN|3DMG|3CDMG|1SELL	1SELL|278CDMG|3MLV|4789VULN|578DMG|6TBNT|78BPWR|aRCR
12	33526 23232	4	 * 	286.90	DCR|4VULN|3DMG|3CDMG|1SELL	1SELL|278CDMG|3MLV|4789VULN|5TBNT|678DMG|78BPWR|aRCR
13	62122 32125	7	 * 	286.69	DCR|3VULN|3ASPD|2DUR|2TLV|1DMG	138ASPD|2aTLV|478VULN|58DUR|6RCR|8BPWR|9DMG
14	62122 32161	6	   	285.80	DCR|3VULN|3DUR|3ASPD|1TLV	138ASPD|2TLV|48aVULN|578DUR|6RCR|8BPWR|9AART
15	62122 35161	7	   	285.80	DCR|3VULN|3DUR|3ASPD|1TLV	138ASPD|2TLV|48aVULN|578DUR|6RCR|8BPWR|9AART
16	45213 32142	7	 * 	284.89	DCR|5VULN|2DMG|2CDMG	1478aVULN|2aBEXP|38ERES|58DMG|6RCR|8aBPWR|9aCDMG
17	62122 32155	7	   	284.87	DCR|3VULN|3ASPD|2DUR|1TLV|1CDMG	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9CDMG|aLIT
18	43121 12163	7	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	178VULN|28DMG|3LHND|4TLV|58DUR|6RCVC|8BPWR|9RCR|aCDMG
19	43121 42163	7	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	178VULN|28DMG|36LHND|4TLV|58DUR|8BPWR|9RCR|aCDMG
20	43121 12165	7	 * 	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3LHND|4TLV|58aDUR|6RCVC|8BPWR|9RCR
21	62122 32122	7	   	282.98	DCR|3VULN|3ASPD|2DUR|1DMG|1TLV	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9DMG|aCGEN
22	62122 32123	7	   	282.98	DCR|3VULN|3ASPD|2DUR|1DMG|1TLV	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9DMG|aFEWX
23	62122 32136	6	 * 	282.95	DCR|2VULN|3DUR|3ASPD|1DMG|1TLV|1CDMG	138ASPD|2TLV|48VULN|578DUR|6RCR|8BPWR|9CDMG|aDMG
24	62122 35136	7	   	282.95	DCR|2VULN|3DUR|3ASPD|1DMG|1TLV|1CDMG	138ASPD|2TLV|48VULN|578DUR|6RCR|8BPWR|9CDMG|aDMG
25	62122 32121	7	   	282.88	DCR|3VULN|3ASPD|2DUR|1DMG|1TLV	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9DMG|aDUST
26	62122 32126	7	   	282.88	DCR|3VULN|3ASPD|2DUR|1DMG|1TLV	138ASPD|2TLV|478VULN|58DUR|6RCR|8BPWR|9DMG|aERES
27	43653 32131	6	 * 	282.74	DCR|3VULN|3DUR|3TLV|1DMG|1CDMG	18aVULN|2DMG|358TLV|478DUR|6RCR|8BPWR|9CDMG
28	63522 32123	7	   	282.71	DCR|4VULN|3ASPD|2DUR|1CDMG|1SELL	189ASPD|2CDMG|3SELL|478aVULN|58DUR|6RCR|8BPWR
29	52184 34721	6	 * 	282.36	DCR|3VULN|3DMG|3DUR	178DUR|2LHND|3MBVNT|458DMG|68aVULN|8BPWR|9RCR
30	41184 47224	5	 * 	281.11	DCR|4VULN|3DMG|2CDMG	179aVULN|279FEWX|3MBVNT|457DMG|6RCR|79BPWR|89CDMG
31	42533 11314	6	   	281.05	DCR|4VULN|2DMG|1DUR|1ASPD	1379VULN|237LHND|37BPWR|4LIT|5ASPD|67DMG|8RCR|aDUR
32	42533 11316	6	   	281.05	DCR|4VULN|2DMG|1TLV|1ASPD	1379VULN|237LHND|37BPWR|4LIT|5ASPD|67DMG|8RCR|aTLV
33	43621 13211	5	 * 	281.01	DCR|4VULN|3DMG|3TLV	1578VULN|278DMG|378TLV|4RMIN|6TBNT|78BPWR|9RCR|aFEWX
34	43621 13212	5	   	281.01	DCR|4VULN|3DMG|3TLV	1578VULN|278DMG|378TLV|4RMIN|6TBNT|78BPWR|9RCR|aRCVC
35	43621 13213	5	   	281.01	DCR|4VULN|3DMG|3TLV	1578VULN|278DMG|378TLV|4RMIN|6TBNT|78BPWR|9RCR|aCGEN
36	43621 13214	5	   	281.01	DCR|4VULN|3DMG|3TLV	1578VULN|278DMG|378TLV|4RMIN|6TBNT|78BPWR|9RCR|aBEXP
37	43621 13215	5	   	281.01	DCR|4VULN|3DMG|3TLV	1578VULN|278DMG|378TLV|4RMIN|6TBNT|78BPWR|9RCR|aLHND
38	43621 13216	5	   	281.01	DCR|4VULN|3DMG|3TLV	1578VULN|278DMG|378TLV|4RMIN|6TBNT|78BPWR|9RCR|aMLV
39	43153 33161	7	   	280.98	DCR|5VULN|2DMG|1DUR	1568aVULN|28DMG|3LHND|4DUR|78ERES|8BPWR|9RCR
40	12183 17721	6	 * 	280.38	DCR|5VULN|3DMG	178DUST|2LHND|3MBVNT|478DMG|5678aVULN|78BPWR|9RCR
41	12183 37721	5	   	280.38	DCR|5VULN|3DMG	178DUST|2LHND|3MBVNT|478DMG|5678aVULN|78BPWR|9RCR
42	12183 37721	4	   	280.38	DCR|5VULN|3DMG	178DUST|2LHND|3MBVNT|478DMG|5678aVULN|78BPWR|9RCR
43	31232 15535	3	   	280.27	DCR|3VULN|3DMG|1DUR|2LIT|1ASPD|1SELL	1SELL|239DMG|39BPWR|4ASPD|59LIT|679VULN|8RCR|aDUR
44	43651 32122	7	   	280.19	DCR|3VULN|3DUR|2TLV|1DMG|1ASPD	178VULN|2DMG|38TLV|458DUR|6RCR|8BPWR|9ASPD|aCGEN
45	43651 32123	7	   	280.19	DCR|3VULN|3DUR|2TLV|1DMG|1ASPD	178VULN|2DMG|38TLV|458DUR|6RCR|8BPWR|9ASPD|aBEXP
46	31223 65152	6	   	280.14	DCR|5VULN|3DMG|1SELL	1SELL|23aDMG|3aBPWR|4aERES|5678aVULN|9RCR
47	43651 32121	7	   	280.09	DCR|3VULN|3DUR|2TLV|1DMG|1ASPD	178VULN|2DMG|38TLV|458DUR|6RCR|8BPWR|9ASPD|aBBNT
48	43651 32113	7	   	278.75	DCR|3VULN|3DUR|2TLV|1DMG	178VULN|2DMG|38TLV|458DUR|6RCR|8BPWR|9BBNT|aAART
49	31261 33441	5	   	278.65	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|239DMG|39BPWR|49DUR|579VULN|6AART|8RCR|aBEXP
50	31261 33442	5	   	278.65	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|239DMG|39BPWR|49DUR|579VULN|6AART|8RCR|aRMIN
51	31261 17274	9	   	278.55	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|238DMG|38BPWR|48DUR|589VULN|6MBVNT|7AART|aRCR
52	43221 12161	7	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	178aVULN|2DMG|3LEGI|48TLV|58DUR|6RCVC|8BPWR|9RCR
53	43653 32113	7	 * 	278.40	DCR|4VULN|2DUR|3TLV|1DMG	178aVULN|2DMG|358TLV|48DUR|6RCR|8BPWR|9TBNT
54	62121 41152	4	 * 	278.40	DCR|4VULN|3ASPD|2TLV|2CDMG	13aASPD|27TLV|458aVULN|6aCDMG|9RCR|aBPWR
55	42211 31161	7	 * 	278.08	DCR|5VULN|2DUR|1DMG	1458aVULN|28LHND|3ERES|6DMG|78DUR|8BPWR|9RCR
56	44211 31161	7	   	278.08	DCR|5VULN|2DUR|1DMG	1458aVULN|28LWND|3ERES|6DMG|78DUR|8BPWR|9RCR
