0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63461 21643	8	 * 	286.46	ACR|4VULN|3DMG|3DUR|1TLV	1MBVNT|2RCR|379DMG|4TLV|579DUR|679aVULN|79BPWR|8LEGI
2	63461 21247	7	 * 	283.25	ACR|3VULN|3DMG|3DUR|2TLV|1AART	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aAART
3	61784 34441	8	 * 	281.42	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	1MBVNT|27TLV|35DUR|47VULN|67aDMG|7BPWR|8RCR|9CDMG
4	63463 21241	7	 * 	281.31	ACR|4VULN|3DMG|2TLV|2DUR	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679aVULN|79BPWR|89DUR
5	51216 32252	1	 * 	275.47	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1LIT|247aVULN|3DUR|5DMG|6RCR|8TLV|9AART
6	61781 24414	10	 * 	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	1MBVNT|27TLV|3aDUR|467VULN|57ASPD|7BPWR|8RCR|9DMG
7	61781 24411	9	   	274.43	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1CDMG	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9DMG|aCDMG
8	61781 24441	8	   	274.43	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1CDMG	1MBVNT|27TLV|3DUR|467VULN|57ASPD|7BPWR|8RCR|9CDMG|aDMG
9	61784 34431	9	   	274.07	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1MBVNT|27TLV|35DUR|47VULN|67DMG|7BPWR|8RCR|9ASPD|aCDMG
10	63463 21244	7	   	273.91	ACR|3VULN|3DMG|2TLV|2DUR|1CDMG	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89DUR|aCDMG
11	61784 34434	10	 * 	273.64	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|27TLV|35aDUR|47VULN|67DMG|7BPWR|8RCR|9ASPD
12	63461 21241	7	   	273.59	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aLWND
13	63461 21242	7	   	273.59	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aRPLT
14	63461 21244	7	   	273.59	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aBEXP
15	63461 21245	7	   	273.59	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aRMIN
16	63461 21243	7	   	273.49	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aBBNT
17	63461 21246	7	   	273.49	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|49TLV|578DUR|679VULN|79BPWR|aDUST
18	63463 21246	7	   	273.49	ACR|3VULN|3DMG|3DUR|2TLV	1MBVNT|2RCR|379DMG|47TLV|5LEGI|679VULN|79BPWR|89aDUR
19	34212 24746	7	 * 	273.06	DCR|4VULN|3DUR|1DMG|1CDMG	178MLV|2DMG|378DUR|4678VULN|5MBVNT|78BPWR|9CDMG|aRCR
20	26332 34537	8	 * 	272.67	DCR|2VULN|3DMG|3DUR|3CDMG|1SELL	179CDMG|28VULN|379DUR|4MBVNT|5SELL|679DMG|79BPWR|aRCR
