0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51513 11212	8	 * 	273.55	DCR|3VULN|2DMG|2DUR|2TLV	18TLV|2FEWX|38DUR|4LWND|59aVULN|6RCR|78DMG|8BPWR
2	25513 11212	8	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18BEXP|2TLV|38DUR|4LWND|59aVULN|6RCR|78DMG|8BPWR
3	25536 11212	8	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18BEXP|2TLV|38DUR|49aVULN|5LWND|6RCR|78DMG|8BPWR
4	25533 13114	6	 * 	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1BEXP|2TLV|36DUR|4578VULN|9CDMG|aRCR
5	32353 62134	9	 * 	263.12	ACR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1RCR|2LIT|3aASPD|4TLV|5DMG|67aVULN|8CDMG|9aDUR|aBPWR
6	45335 21222	5	 * 	261.44	DCR|4VULN|2DMG|1DUR	1ERES|25DMG|3DMSP|458aVULN|5BPWR|6DUR|7LWND|9RCR
7	45235 21222	5	   	261.34	DCR|4VULN|2DMG|1DUR	13ERES|25DMG|458aVULN|5BPWR|6DUR|7LWND|9RCR
8	45335 13112	9	 * 	260.84	DCR|4VULN|3DMG	178ERES|258DMG|3DMSP|458aVULN|58BPWR|6RCR|9BEXP
9	45335 13122	8	   	260.84	DCR|4VULN|3DMG	178ERES|258DMG|3DMSP|458aVULN|58BPWR|6RCR|9FEWX
10	45335 13132	9	   	260.84	DCR|4VULN|3DMG	178ERES|258DMG|3DMSP|458aVULN|58BPWR|6RCR|9LHND
11	25533 31135	8	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1BEXP|2TLV|3DUR|458aVULN|6ASPD|7AART|9RCR
12	51523 11213	8	 * 	259.86	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|2FEWX|38aDUR|4BEXP|59VULN|6RCR|78DMG|8BPWR
13	45331 43111	4	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1ERES|2DMG|3DMSP|478aVULN|5TLV|6RCR|9CDMG
14	45231 43111	4	   	257.30	DCR|4VULN|1DMG|1TLV|1CDMG	13ERES|2DMG|478aVULN|5TLV|6RCR|9CDMG
15	25535 11213	8	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	18BEXP|2TLV|38aDUR|49VULN|5LHND|6RCR|78DMG|8BPWR
16	22163 32611	10	 * 	255.45	DCR|5VULN|1DMG	1BEXP|2FEWX|3LIT|4DMG|56789VULN|aRCR
17	12211 31524	9	   	255.18	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	1aLIT|2MLV|3aDUR|4CDMG|58VULN|6aDMG|7RMIN|9RCR|aBPWR
18	51523 51221	10	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|28FEWX|3DUR|4BEXP|58aVULN|6DUST|78DMG|8BPWR|9RCR
19	51523 51222	9	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|28FEWX|3DUR|4BEXP|58aVULN|6DUST|78DMG|8BPWR|9RCR
20	55232 25112	2	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|23DMG|4DUST|59aVULN|6RPLT|7RCR|8DUR
21	55232 25112	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|23DMG|4DUST|59aVULN|6RPLT|7RCR|8DUR
22	55233 15112	2	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|23DMG|4DUST|5RPLT|69aVULN|7RCR|8DUR
23	55233 15112	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|23DMG|4DUST|5RPLT|69aVULN|7RCR|8DUR
24	51513 11214	8	   	254.94	DCR|2VULN|2DMG|2DUR|2TLV	18TLV|2FEWX|38DUR|4LWND|59VULN|6RCR|78DMG|8BPWR|aLIT
25	51523 11214	8	   	254.94	DCR|2VULN|2DMG|2DUR|2TLV	18TLV|2FEWX|38DUR|4BEXP|59VULN|6RCR|78DMG|8BPWR|aLIT
26	32353 63124	7	 * 	254.85	ACR|3VULN|2ASPD|1DMG|2CDMG|1TLV|1DUR	1RCR|2LIT|3aASPD|4TLV|5DMG|68aVULN|7DUR|9aCDMG|aBPWR
27	32353 63324	8	   	254.85	ACR|3VULN|2ASPD|1DMG|2CDMG|1TLV|1DUR	1RCR|2LIT|3aASPD|4TLV|5DMG|68aVULN|7DUR|9aCDMG|aBPWR
