0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36222 46121	1	 * 	291.98	DCR|4VULN|3DMG|2DUR	1347VULN|23DUR|37BPWR|57LWND|67aDMG|8RCR|9ZMB
2	36232 46121	1	   	291.98	DCR|4VULN|3DMG|2DUR	1357VULN|23DUR|37BPWR|47LWND|67aDMG|8RCR|9ZMB
3	36211 33244	4	   	291.75	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG|1AART	158VULN|2AART|38DUR|4aDMG|6CDMG|78LIT|8BPWR|9RCR
4	36226 21331	3	 * 	290.84	DCR|5VULN|2DMG|1DUR|1AART	1789aVULN|2AART|3DUR|4aCGEN|5aDMG|6RCR|aBPWR
5	36626 21331	2	   	290.84	DCR|5VULN|2DMG|1DUR|1AART	1789aVULN|2AART|3DUR|4aCGEN|5aDMG|6RCR|aBPWR
6	36222 41612	1	 * 	289.55	DCR|4VULN|3DUR|2DMG	134aVULN|238DUR|3aBPWR|5aLWND|6aDMG|7BELT|9RCR
7	36232 41612	1	   	289.55	DCR|4VULN|3DUR|2DMG	135aVULN|238DUR|3aBPWR|4aLWND|6aDMG|7BELT|9RCR
8	36223 23256	1	 * 	289.15	DCR|5VULN|3ASPD|2DUR	1348aVULN|23DUR|38aBPWR|58aCGEN|68aASPD|7RCR|9RPLT
9	34321 54331	4	   	288.99	DCR|5VULN|2DUR|2ASPD|1AART	1589aVULN|2CGEN|3aASPD|4aDUR|6RCR|7AART|aBPWR
10	31414 36132	1	   	288.69	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	167aVULN|27DUST|3ASPD|4TLV|57DMG|7BPWR|8RCR|9DUR
11	36226 21311	3	 * 	288.26	DCR|4VULN|2DUR|2TLV|1DMG|1AART	178aVULN|2AART|3aDUR|4CGEN|5DMG|6RCR|9aTLV|aBPWR
12	36626 21311	2	   	288.26	DCR|4VULN|2DUR|2TLV|1DMG|1AART	178aVULN|2AART|3aDUR|4CGEN|5DMG|6RCR|9aTLV|aBPWR
13	36223 23222	1	   	287.73	DCR|5VULN|2DUR|2ASPD	1348aVULN|23DUR|38BPWR|58CGEN|68ASPD|7RCR|9LIT
14	36226 23222	1	   	287.53	DCR|5VULN|2DUR|2ASPD	1348aVULN|23DUR|38BPWR|58ERES|68ASPD|7RCR|9LIT
