0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21221 25541	7	 * 	295.56	DCR|5VULN|2DMG|2DUR|1CDMG	12367VULN|38BPWR|48DMG|58DUR|9RCR|aCDMG
2	21221 25542	7	 * 	295.14	DCR|5VULN|3DUR|2DMG	12367VULN|38BPWR|48DMG|58aDUR|9RCR
3	21221 22246	8	 * 	293.43	DCR|5VULN|2DMG|1TLV|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCR|aTLV
4	21221 22646	7	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCR|aTLV
5	21621 22246	8	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	12368VULN|47DMG|5DUR|9RCR|aTLV
6	21221 25136	8	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	12367VULN|3BPWR|49DMG|5DUR|8RCR|aTLV
7	21621 25136	8	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	12367VULN|49DMG|5DUR|8RCR|aTLV
8	21261 11253	9	 * 	292.30	DCR|5VULN|2TLV|2DUR|1CDMG	12369VULN|39BPWR|49DUR|5CDMG|7LHND|89TLV|aRCR
9	21661 11253	9	   	292.30	DCR|5VULN|2TLV|2DUR|1CDMG	12369VULN|49DUR|5CDMG|7LHND|89TLV|9BPWR|aRCR
10	21221 25126	9	 * 	290.43	DCR|5VULN|2DUR|1TLV|1DMG	12367VULN|3BPWR|4DMG|59DUR|8RCR|aTLV
11	21221 25346	7	   	290.43	DCR|5VULN|2DUR|1TLV|1DMG	12367VULN|3BPWR|4DMG|58DUR|9RCR|aTLV
12	21621 25126	9	   	290.43	DCR|5VULN|2DUR|1TLV|1DMG	12367VULN|4DMG|59DUR|8RCR|aTLV
13	21443 12215	8	   	287.14	DCR|4VULN|2DUR|1TLV|1DMG|2LIT	1267VULN|3BELT|47LIT|57DUR|7BPWR|8RCR|9TLV|aDMG
14	21223 56243	5	   	287.04	DCR|5VULN|2DMG|1TLV|1AART	12389VULN|38BPWR|48DMG|58FEWX|6AART|7RCR|aTLV
15	21223 66243	6	   	287.04	DCR|5VULN|2DMG|1TLV|1AART	12389VULN|38BPWR|48DMG|58FEWX|6AART|7RCR|aTLV
16	21222 66243	6	   	286.84	DCR|5VULN|2DMG|1TLV|1AART	12389VULN|38BPWR|48DMG|58DUST|6AART|7RCR|aTLV
17	21443 12214	8	   	285.42	DCR|5VULN|2DUR|1TLV|2LIT	1267aVULN|3BELT|47LIT|57DUR|7BPWR|8RCR|9TLV
18	23122 61135	6	 * 	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1467VULN|2TLV|3ZMB|568DUR|6BPWR|9DMG|aRCR
19	23122 63135	7	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1467VULN|2TLV|3ZMB|568DUR|6BPWR|9DMG|aRCR
20	21221 24223	9	 * 	284.29	DCR|5VULN|2DUR|3LIT|1DMG	1236aVULN|3aBPWR|4DMG|5aDUR|78aLIT|9RCR
21	21621 24223	9	   	284.29	DCR|5VULN|2DUR|3LIT|1DMG	1236aVULN|4DMG|5aDUR|78aLIT|9RCR|aBPWR
22	21262 11622	6	   	282.01	DCR|5VULN|2DMG|2DUR	12389VULN|39BPWR|49DUR|57RCVC|69DMG|aRCR
23	21262 15322	8	   	282.01	DCR|5VULN|2DMG|2DUR	12379VULN|39BPWR|49DUR|58RCVC|69DMG|aRCR
24	21662 11622	6	   	282.01	DCR|5VULN|2DMG|2DUR	12389VULN|49DUR|57RCVC|69DMG|9BPWR|aRCR
25	21662 15322	8	   	282.01	DCR|5VULN|2DMG|2DUR	12379VULN|49DUR|58RCVC|69DMG|9BPWR|aRCR
26	21221 22232	8	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|3BPWR|47DMG|59DUR|aRCR
27	21221 22242	8	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|3BPWR|47DMG|5aDUR|9RCR
28	21221 22632	7	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|3BPWR|47DMG|59DUR|aRCR
29	21221 22642	7	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|3BPWR|47DMG|5aDUR|9RCR
30	21221 25543	7	   	281.81	DCR|5VULN|2DMG|2DUR	12367VULN|38BPWR|48DMG|58DUR|9RCR|aERES
31	21621 22232	8	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|47DMG|59DUR|aRCR
32	21621 22242	8	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|47DMG|5aDUR|9RCR
33	21621 22632	7	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|47DMG|59DUR|aRCR
34	21621 22642	7	   	281.81	DCR|5VULN|2DMG|2DUR	12368VULN|47DMG|5aDUR|9RCR
35	21221 25132	8	   	281.81	DCR|5VULN|2DMG|2DUR	12367VULN|3BPWR|49DMG|5aDUR|8RCR
36	21621 25132	8	   	281.81	DCR|5VULN|2DMG|2DUR	12367VULN|49DMG|5aDUR|8RCR
37	22144 13252	3	 * 	281.74	DCR|4VULN|3DUR|2TLV	1459VULN|2LIT|379DUR|69TLV|8TBNT|9BPWR|aRCR
38	14122 21226	1	 * 	281.59	DCR|3VULN|3DMG|2TLV|2CDMG	139DMG|25TLV|459VULN|59BPWR|6TBNT|79CDMG|8MBVNT|aRCR
39	14122 31226	1	   	281.59	DCR|3VULN|3DMG|2TLV|2CDMG	139DMG|25TLV|459VULN|59BPWR|6BBNT|79CDMG|8MBVNT|aRCR
40	21221 22241	8	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12368VULN|3BPWR|47DMG|5DUR|9RCR|aCDMG
41	21221 22641	7	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12368VULN|3BPWR|47DMG|5DUR|9RCR|aCDMG
42	21621 22241	8	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12368VULN|47DMG|5DUR|9RCR|aCDMG
43	21621 22641	7	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12368VULN|47DMG|5DUR|9RCR|aCDMG
44	21221 25131	8	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12367VULN|3BPWR|49DMG|5DUR|8RCR|aCDMG
45	21621 25131	8	   	280.88	DCR|5VULN|2DMG|1DUR|1CDMG	12367VULN|49DMG|5DUR|8RCR|aCDMG
46	23653 32325	9	 * 	280.77	DCR|4VULN|1TLV|2CDMG|1DUR|2LIT	189aVULN|2TLV|3aLIT|4DUR|5ASPD|6aCDMG|7RCR|aBPWR
47	21221 24523	9	   	279.28	DCR|5VULN|2DUR|1DMG|2LIT	1236aVULN|3aBPWR|4DMG|5aDUR|7aLIT|8RCVC|9RCR
