0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15233 16361	6	 * 	298.81	DCR|3VULN|3DMG|3DUR|1TLV	168DMG|238VULN|48LHND|567DUR|68BPWR|9RCR|aTLV
2	13633 33151	1	 * 	293.44	DCR|4VULN|3DMG|1TLV|1DUR	148DMG|246aVULN|3RPLT|4BPWR|5TLV|7DUR|9RCR
3	15133 33151	3	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	148DMG|246aVULN|3RPLT|4BPWR|5TLV|7DUR|9RCR
4	15633 33151	2	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	148DMG|246aVULN|3RPLT|4BPWR|5TLV|7DUR|9RCR
5	13633 33443	1	 * 	292.37	DCR|4VULN|2DMG|2DUR|1TLV	14DMG|2468VULN|3RPLT|4BPWR|5TLV|79DUR|aRCR
6	15133 33443	3	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	14DMG|2468VULN|3RPLT|4BPWR|5TLV|79DUR|aRCR
7	15262 16323	8	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	19aDMG|237aVULN|4DUR|5ZMB|6aLIT|8RCR|aBPWR
8	13311 13455	1	 * 	290.42	DCR|3VULN|3DMG|3CDMG|1TLV	178DMG|278VULN|3TBNT|4TLV|5MLV|678CDMG|78BPWR|9AART|aRCR
9	13311 13645	1	   	290.42	DCR|3VULN|3DMG|3CDMG|1TLV	179DMG|279VULN|3TBNT|4TLV|5MLV|679CDMG|79BPWR|8AART|aRCR
10	15314 12241	9	 * 	286.08	DCR|3VULN|2DMG|3ASPD|1TLV|1DUR	19DMG|269VULN|3DUR|4TLV|569ASPD|69BPWR|78DMSP|aRCR
11	15263 11361	6	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|238VULN|48DUR|567LWND|68BPWR|9RCR|aTLV
12	13234 41531	9	   	284.53	DCR|4VULN|2DMG|2DUR	19DMG|2BEXP|369aVULN|4LWND|5LIT|7RCR|89DUR|9BPWR
13	14213 53243	6	 * 	283.60	DCR|2VULN|3DMG|2DUR|2ASPD|2TLV	179DMG|2LEGI|37VULN|49TLV|5CGEN|67ASPD|79BPWR|89DUR|aRCR
14	15233 16362	6	   	282.56	DCR|3VULN|3DMG|3DUR	168DMG|238VULN|48LHND|567DUR|68BPWR|9RCR|aFEWX
15	15233 16363	6	   	282.56	DCR|3VULN|3DMG|3DUR	168DMG|238VULN|48LHND|567DUR|68BPWR|9RCR|aCGEN
16	15316 16331	8	   	282.06	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1DMG|257aVULN|3DUR|4TLV|6LIT|8RCR|9CDMG
17	15324 12334	3	 * 	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	18DMG|2489VULN|3DUR|5DUST|6RPLT|78CDMG|8BPWR|aRCR
18	22115 11526	7	 * 	281.18	DCR|4VULN|3DUR|2CDMG|1SELL	1SELL|2AART|37aDUR|4678VULN|57CDMG|7BPWR|9RCR
19	51241 22313	7	 * 	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	1RPLT|289DUR|35CDMG|458ASPD|58BPWR|6RCR|78aVULN
20	51242 22336	7	 * 	279.75	DCR|4VULN|2DUR|2ASPD|2CDMG	1RPLT|28DUR|35CDMG|48ASPD|6RCR|789aVULN|8BPWR
21	22115 11523	7	   	278.96	DCR|4VULN|2DUR|2CDMG|1ASPD|1SELL	1SELL|2AART|37DUR|4678VULN|57CDMG|7BPWR|9RCR|aASPD
22	15145 22131	10	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1aDMG|27aVULN|3RPLT|4CDMG|5RCVC|6RCR|8ASPD|9aDUR|aBPWR
23	15314 13523	8	   	277.96	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	1DMG|269VULN|3DUR|4TLV|567ASPD|6BPWR|8AART|aRCR
24	13633 33463	1	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2468VULN|3RPLT|4BPWR|5TLV|7DUR|9DMSP|aRCR
25	15133 33463	3	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2468VULN|3RPLT|4BPWR|5TLV|7DUR|9DMSP|aRCR
26	13533 33235	1	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2368VULN|5TLV|7DUR|9LHND|aRCR
27	13533 33243	1	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2368VULN|5TLV|7DUR|9RPLT|aRCR
28	15233 33235	3	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2368VULN|5TLV|7DUR|9LHND|aRCR
29	15233 33243	3	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2368VULN|5TLV|7DUR|9RPLT|aRCR
30	15326 12135	3	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	17DMG|2468VULN|3DUR|5RCVC|9TLV|aRCR
31	15533 33235	2	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2368VULN|5TLV|7DUR|9LHND|aRCR
32	15533 33243	2	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	14DMG|2368VULN|5TLV|7DUR|9RPLT|aRCR
33	13234 21536	9	   	277.54	DCR|3VULN|3DMG|2DUR	169DMG|2BEXP|39aVULN|4LWND|5LIT|7RCR|89DUR|9BPWR
34	13633 43324	1	   	277.39	DCR|4VULN|3DMG|1TLV	148DMG|2489VULN|3RPLT|48BPWR|5TLV|6BEXP|78LHND|aRCR
35	15133 43324	3	   	277.39	DCR|4VULN|3DMG|1TLV	148DMG|2489VULN|3RPLT|48BPWR|5TLV|6BEXP|78LHND|aRCR
36	13633 31151	1	   	277.19	DCR|4VULN|3DMG|1TLV	148DMG|246aVULN|3RPLT|4BPWR|5TLV|7FEWX|9RCR
37	15133 31151	3	   	277.19	DCR|4VULN|3DMG|1TLV	148DMG|246aVULN|3RPLT|4BPWR|5TLV|7FEWX|9RCR
38	15633 31151	2	   	277.19	DCR|4VULN|3DMG|1TLV	148DMG|246aVULN|3RPLT|4BPWR|5TLV|7FEWX|9RCR
39	15236 21141	9	 * 	276.12	DCR|4VULN|2DMG|3ASPD	19DMG|2359VULN|4LHND|6MLV|789ASPD|9BPWR|aRCR
40	15623 24335	4	   	276.12	DCR|4VULN|2DMG|2DUR	18DMG|2689VULN|3FEWX|4MBVNT|5ZMB|78DUR|8BPWR|aRCR
41	14221 25335	5	   	276.02	DCR|4VULN|2DMG|2DUR	18DMG|2LEGI|3689VULN|4MBVNT|5RMIN|78DUR|8BPWR|aRCR
42	14223 25335	4	   	276.02	DCR|4VULN|2DMG|2DUR	18DMG|2LEGI|3689VULN|4MBVNT|5RMIN|78DUR|8BPWR|aRCR
43	15253 24335	4	   	276.02	DCR|4VULN|2DMG|2DUR	18DMG|2389VULN|4ZMB|5MBVNT|6DUST|78DUR|8BPWR|aRCR
44	65114 32321	6	   	276.01	DCR|3VULN|2DMG|3CDMG|1TLV|1ASPD	159CDMG|269VULN|3ASPD|4TLV|79DMG|8RMIN|9BPWR|aRCR
45	13215 36431	4	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	19DMG|2BEXP|368aVULN|4TLV|5CDMG|7RCR
46	15233 13165	9	 * 	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	16DMG|239VULN|4LHND|56DUR|6BPWR|78ASPD|aRCR
