0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12312 15744	8	 * 	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aCDMG
2	41113 56111	10	 * 	305.20	DCR|4VULN|3DMG|3DUR	178DUR|267DMG|3ERES|48CGEN|5789VULN|78BPWR|aRCR
3	53243 14213	6	 * 	303.99	DCR|5VULN|2DUR|1DMG|1TLV	1TLV|24568VULN|36DUR|6BPWR|7RCR|9AART|aDMG
4	12312 65843	9	 * 	300.55	DCR|5VULN|3DMG|2TLV	1368aVULN|2RCVC|4MBVNT|58aDMG|7RCR|8aBPWR|9aTLV
5	41343 12352	10	   	297.33	DCR|5VULN|2DMG|1TLV|1DUR	1DUR|26DMG|3456aVULN|6BPWR|7RPLT|8RCR|9TLV
6	12312 15845	10	   	296.73	DCR|5VULN|3DMG|1TLV	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aTLV
7	12312 15884	8	   	295.44	DCR|5VULN|3DMG|2LIT	1368aVULN|2RCVC|4MBVNT|568DMG|68aBPWR|7RCR|9aLIT
8	12312 15847	10	   	294.13	DCR|5VULN|3DMG|1CDMG	13689VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|aCDMG
9	12312 15813	10	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9DUR|aTLV
10	12312 15822	9	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aDUR
11	12312 15822	10	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aDUR
12	11262 73282	5	   	292.51	DCR|4VULN|2DMG|2TLV|1DUR|1ASPD	1789VULN|27DMG|3DUR|4MBVNT|5ASPD|67TLV|7BPWR|aRCR
13	13441 73282	1	   	292.51	DCR|4VULN|2DMG|2TLV|1DUR|1ASPD	1789VULN|2MBVNT|37DMG|4ASPD|5DUR|67TLV|7BPWR|aRCR
14	11243 12321	8	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1459VULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|aTLV
15	11243 12352	10	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	145aVULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|9TLV
16	43384 53144	1	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	17DUR|2MBVNT|3789VULN|4RPLT|57DMG|6RCR|7BPWR|aTLV
17	13884 53144	1	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1789VULN|2MBVNT|37DUR|4RPLT|57DMG|6RCR|7BPWR|aTLV
18	41321 43621	3	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	18DUR|25DMG|3569VULN|4RPLT|5BPWR|7RCR|aTLV
19	11112 23656	2	 * 	292.35	ACR|5VULN|3DMG|3DUR	1479aVULN|237DMG|5RCR|678DUR|7BPWR
20	41343 12321	8	   	292.08	DCR|5VULN|2DMG|1DUR|1ASPD	1DUR|26DMG|34569VULN|6BPWR|7RPLT|8RCR|aASPD
21	12312 15742	8	   	291.88	DCR|4VULN|3DMG|2DUR	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aBELT
22	12312 15743	8	   	291.88	DCR|4VULN|3DMG|2DUR	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aBEXP
23	12312 15746	8	   	291.88	DCR|4VULN|3DMG|2DUR	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aZMB
24	12312 15747	8	   	291.88	DCR|4VULN|3DMG|2DUR	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aDMSP
25	12312 15748	8	   	291.88	DCR|4VULN|3DMG|2DUR	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aLHND
26	12312 15741	8	   	291.78	DCR|4VULN|3DMG|2DUR	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aDUST
27	12312 15812	10	   	291.78	DCR|4VULN|3DMG|2DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9aDUR
28	12533 15252	6	   	291.78	DCR|4VULN|3DMG|2DUR	1589VULN|2RCVC|36DUR|469DMG|69BPWR|79DUST|aRCR
