0	Index      	 *	Score 	Summary	Detail	
1	52122 12356	 * 	196.09	DCR|3DMG|2AART|1VULN|2CDMG	1BELT|2aLWND|3VULN|45AART|6RCR|78aDMG|9aCDMG|aBPWR
2	16112 36331	 * 	188.76	DCR|3VULN|2AART|2CDMG|2DUR	1RPLT|27aVULN|35AART|47ERES|6RCR|7aBPWR|8aDUR|9aCDMG
3	42136 33136	 * 	186.85	ACR|4VULN|2AART|1DMG	1FEWX|24AART|3BEXP|5RCR|6DMG|789aVULN
4	42452 33133	   	186.18	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|789VULN|aDUR
5	16112 36153	 * 	184.12	DCR|4VULN|2AART|2ASPD	1RPLT|279aVULN|35AART|479ERES|6RCR|79BPWR|89ASPD
6	26323 36326	 * 	181.57	DCR|3DMG|2VULN|3CDMG	15aCDMG|24RMIN|35BEXP|5aBPWR|6RCR|79aDMG|8aVULN
7	42452 12333	 * 	181.09	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD|1DUR	1FEWX|2AART|36ASPD|46ZMB|5RCR|6BPWR|79VULN|8DMG|aDUR
8	52122 12156	   	180.44	DCR|2AART|2DMG|2CDMG|1VULN	1BELT|2aLWND|3VULN|45AART|6RCR|7aDMG|8RCVC|9aCDMG|aBPWR
9	26628 32313	 * 	179.75	DCR|2VULN|3ZMB|3CDMG|1AART	179CDMG|2RMIN|379ZMB|4MBVNT|5RCVC|6RCR|79BPWR|89VULN|aAART
10	42136 33133	   	179.69	ACR|3VULN|2AART|1DMG|1DUR	1FEWX|24AART|3BEXP|5RCR|6DMG|789VULN|aDUR
11	42136 33135	   	179.69	ACR|3VULN|2AART|1DMG|1ASPD	1FEWX|24AART|3BEXP|5RCR|6DMG|789VULN|aASPD
12	16236 25233	 * 	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|258VULN|3CGEN|4DMG|6CDMG|7RCR|9AART|aDUR
13	42452 33131	   	179.24	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|789VULN|aLWND
14	42452 33132	   	179.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3ASPD|4ZMB|5RCR|6DMG|789VULN|aTLV
15	33636 26312	 * 	178.86	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|38DMG|4aVULN|5RPLT|6CDMG|7RCR|9LHND
16	33634 16312	   	178.86	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|38DMG|4aVULN|5CDMG|6RPLT|7RCR|9LHND
17	16112 36321	   	177.40	DCR|4VULN|2AART|1DUR	1RPLT|279aVULN|35AART|47ERES|6RCR|7BPWR|8DUR
18	16113 36331	   	177.31	DCR|3VULN|1AART|2CDMG|2DUR	1RPLT|27aVULN|3AART|47ERES|5RCVC|6RCR|7aBPWR|8aDUR|9aCDMG
19	12553 26123	   	177.02	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1RPLT|29FEWX|39VULN|4SELL|5AART|69DMG|7RCR|8RMIN|9BPWR|aCDMG
20	16232 22261	 * 	176.92	DCR|2VULN|2DMG|1AART|2ASPD|1SELL	1RPLT|2aVULN|3CGEN|4aDMG|5AART|6RCVC|7RCR|8SELL|9aASPD|aBPWR
21	16232 42261	 * 	176.92	DCR|2VULN|2DMG|1AART|2ASPD|1SELL	1RPLT|2aVULN|36CGEN|4aDMG|5AART|7RCR|8SELL|9aASPD|aBPWR
22	16121 33361	 * 	176.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1RPLT|2aVULN|3AART|45aCGEN|6RCR|7CDMG|8DMG|9aASPD|aBPWR
23	33634 11161	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2AART|3DMG|4aVULN|5CDMG|6RPLT|7DUR|8RCR|9ZMB
24	33636 21161	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2AART|3DMG|4aVULN|5RPLT|6CDMG|7DUR|8RCR|9ZMB
25	26628 32314	 * 	176.61	DCR|2VULN|3ZMB|3CDMG|1DMG	179CDMG|2RMIN|379ZMB|4MBVNT|5RCVC|6RCR|79BPWR|89VULN|aDMG
26	35422 42232	 * 	176.57	DCR|3VULN|2DMG|1AART	13LWND|248VULN|5MBVNT|6aDMG|7RCR|9AART
