0	Index      	 *	Score 	Summary	Detail	
1	42313 22426	 * 	208.99	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68aDMG|78VULN|8BPWR|9LHND
2	42313 22416	 * 	208.89	ACR|3VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78aVULN|8BPWR|9ERES
3	24613 88314	 * 	203.14	ACR|4VULN|2DMG|1AART|2ZMB	1MBVNT|2689VULN|3CGEN|49ZMB|5RCR|79DMG|9BPWR|aAART
4	24633 88314	   	201.84	ACR|4VULN|2DMG|1AART|2ASPD	1MBVNT|2689VULN|3CGEN|49ASPD|5RCR|79DMG|9BPWR|aAART
5	42313 22425	   	200.27	ACR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9LHND|aDUR
6	42333 32426	   	199.95	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4aDMG|5AART|68ASPD|78VULN|8BPWR|9LHND
7	42333 32416	   	197.91	ACR|3VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2RCVC|3RCR|4DMG|5AART|68ASPD|78aVULN|8BPWR|9ERES
8	36321 41432	 * 	196.41	DCR|3VULN|2DMG|1AART|2ASPD|1DUR|1SELL	1SELL|2AART|38DMG|4DUR|58ASPD|678VULN|8BPWR|9RCR|aERES
9	36321 41433	 * 	196.41	DCR|3VULN|2DMG|1AART|2ASPD|1DUR|1SELL	1SELL|2AART|38DMG|4DUR|58ASPD|678VULN|8BPWR|9RCR|aTLV
10	53314 53313	 * 	195.92	ACR|5VULN|2DMG|1ZMB	19TLV|2RCR|3LEGI|4ZMB|59DMG|6789aVULN|9BPWR
11	24316 17814	 * 	194.71	DCR|3VULN|3ZMB|1AART|1DMG|1ASPD	1MBVNT|279VULN|3ASPD|479ZMB|5AART|679MLV|79BPWR|8RCR|aDMG
12	42313 22424	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9LHND|aBEXP
13	42313 22432	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9aRMIN
14	42313 22433	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9RMIN|aDMSP
15	42313 22435	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9RMIN|aLHND
16	42313 22451	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|29RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|aDMSP
17	42313 22453	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|29RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|aFEWX
18	42333 32343	   	193.33	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	1aCDMG|2RCVC|3RCR|4aDMG|5AART|6ASPD|79VULN|8aLIT|aBPWR
19	42313 22412	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9ERES|aRMIN
20	42313 22413	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9ERES|aLHND
21	42313 22422	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9LHND|aERES
22	42313 22423	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9LHND|aTLV
23	42313 22431	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9RMIN|aDUST
24	42313 22436	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9RMIN|aERES
25	42313 22452	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|29RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|aERES
26	42313 22411	   	193.13	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|2RCVC|3RCR|4ASPD|5AART|68DMG|78VULN|8BPWR|9ERES|aDUST
27	24613 88313	 * 	192.77	ACR|5VULN|2DMG|2ZMB	1MBVNT|2689aVULN|3CGEN|49ZMB|5RCR|79DMG|9BPWR
28	53334 53313	   	191.85	ACR|5VULN|2DMG|1ASPD	19TLV|2RCR|3LEGI|4ASPD|59DMG|6789aVULN|9BPWR
29	24633 88313	   	191.46	ACR|5VULN|2DMG|2ASPD	1MBVNT|2689aVULN|3CGEN|49ASPD|5RCR|79DMG|9BPWR
30	42333 26343	   	191.40	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	18CDMG|2RCVC|3RCR|468DMG|5AART|78MGNLIT|8BPWR|9VULN|aDUR
31	42333 25322	 * 	191.33	ACR|2VULN|2AART|2DMG|1CDMG	1CDMG|27RCVC|3RCR|46DMG|58AART|9aVULN
32	53214 53313	   	190.66	ACR|5VULN|1DMG|2DUR|1ZMB	19TLV|2RCR|39DUR|4ZMB|5DMG|6789aVULN|9BPWR
33	42333 24633	 * 	190.50	ACR|3DMG|1AART|3CDMG|1VULN	189CDMG|2RCVC|3RCR|468DMG|5AART|78LHND|8BPWR|aVULN
34	42333 26341	   	190.50	ACR|3DMG|1AART|3CDMG|1VULN	18aCDMG|2RCVC|3RCR|468DMG|5AART|78MGNLIT|8BPWR|9VULN
35	36343 32161	 * 	189.57	DCR|3VULN|2DMG|1AART|2ASPD|1SELL	1SELL|2AART|38DMG|458VULN|68ASPD|7aDMSP|8BPWR|9RCR
36	36343 32163	 * 	189.57	DCR|3VULN|2DMG|1AART|2ASPD|1SELL	1SELL|2AART|38DMG|458VULN|68ASPD|7DMSP|8BPWR|9RCR|aFEWX
