0	Index      	 *	Score 	Summary	Detail	
1	13255 31214	 * 	186.00	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56aVULN|7DMG|8DUR|9AART
2	13241 31621	 * 	183.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3ZMB|47VULN|5FEWX|6DUR|8CDMG|9DMG|aAART
3	13242 21621	   	183.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3ZMB|47VULN|5DUR|6FEWX|8CDMG|9DMG|aAART
4	13524 21611	 * 	182.83	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1RCVC|2RCR|36DUR|47DMG|5SELL|8AART|9aVULN
5	13246 26121	 * 	182.34	ACR|2VULN|3ZMB|1AART|1DMG	1RCVC|2RCR|35aZMB|45VULN|5BPWR|6MLV|7AART|8BEXP|9DMG
6	42433 51123	 * 	182.29	ACR|3DMG|2VULN|2CDMG|1DUR	1aLWND|23aDMG|4RCR|57VULN|6DUR|8RCVC|9aCDMG|aBPWR
7	13164 33621	 * 	180.88	ACR|3VULN|2AART|1CDMG|1ASPD	1RCVC|2RCR|3FEWX|4CDMG|5ASPD|67aVULN|89AART
8	42433 51323	   	180.39	ACR|3DMG|2VULN|2CDMG|1DUR	18aLWND|23aDMG|4RCR|57VULN|6DUR|9aCDMG|aBPWR
9	13124 33621	 * 	180.11	ACR|3VULN|2AART|1DMG|1SELL	1RCVC|2RCR|3FEWX|4DMG|5SELL|67aVULN|89AART
10	13223 62626	 * 	179.91	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2RCR|3ZMB|4LHND|57aVULN|6RMIN|8AART|9DMG
11	13164 33521	   	179.58	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2RCR|3FEWX|4CDMG|5ASPD|67VULN|8DUR|9DMG|aAART
12	13246 22433	 * 	178.62	ACR|3VULN|1AART|2ZMB|1CDMG	18RCVC|2RCR|35ZMB|45aVULN|5BPWR|6MLV|7CDMG|9AART
13	13643 21223	   	178.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3BELT|4BEXP|58VULN|6DMG|7AART|9CDMG|aZMB
14	13653 21223	   	178.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3BELT|4FEWX|58VULN|6DMG|7AART|9CDMG|aZMB
15	25253 22263	 * 	178.26	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1ASPD	13aDUR|2CDMG|4AART|5ASPD|6DMG|78VULN|9RCR
16	13553 33163	 * 	178.18	ACR|2VULN|2DMG|1AART|1DUR	1RCVC|2RCR|3DUR|4DUST|59VULN|6VENICY|7AART|8aDMG
17	13643 24131	 * 	178.14	ACR|3VULN|3DMG	1RCVC|2RCR|3BELT|479BEXP|57aVULN|679DMG|79BPWR|89LWND
18	13653 24131	   	178.14	ACR|3VULN|3DMG	1RCVC|2RCR|3BELT|479FEWX|57aVULN|679DMG|79BPWR|89LWND
19	13521 33635	 * 	178.13	ACR|2DMG|2AART|1VULN|2DUR	1RCVC|2RCR|37DUR|49DMG|5FEWX|68AART|aVULN
20	13246 26213	   	178.05	ACR|3VULN|1AART|2ZMB|1CDMG	1RCVC|2RCR|35ZMB|458VULN|5BPWR|6MLV|7AART|9LIT|aCDMG
