0	Index      	 *	Score 	Summary	Detail	
1	12123 43551	 * 	199.66	DCR|3VULN|2DMG|1AART|2ASPD|1DUR	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9AART|aDUR
2	12123 43542	 * 	198.22	DCR|3VULN|3DMG|1CDMG|2ASPD	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78aDMG|9CDMG
3	12122 43551	   	192.94	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2DMSP|345VULN|6RCR|78DMG|9AART|aDUR
4	12123 43552	   	192.72	DCR|3VULN|2DMG|1AART|2ASPD	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9AART|aLWND
5	12123 43553	   	192.72	DCR|3VULN|2DMG|1AART|2ASPD	15ASPD|2aDMSP|345VULN|5BPWR|6RCR|78DMG|9AART
6	12122 43542	   	191.51	DCR|3VULN|3DMG|1CDMG|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78aDMG|9CDMG
7	16124 25221	 * 	187.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	13ASPD|29DMG|4AART|5ZMB|6RCR|7VULN|8CDMG|aLHND
8	16124 25222	   	187.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	13ASPD|29DMG|4AART|5ZMB|6RCR|7VULN|8CDMG|aLWND
9	16124 25223	   	187.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	13ASPD|29DMG|4AART|5ZMB|6RCR|7VULN|8CDMG|aCGEN
10	12123 43526	   	186.86	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9ZMB|aDUR
11	23222 63611	   	186.81	DCR|3VULN|2DMG|1AART|1DUR	19LWND|2CGEN|39DMG|4AART|589VULN|6RPLT|7RCR|9BPWR|aDUR
12	23226 43611	   	186.81	DCR|3VULN|2DMG|1AART|1DUR	19LWND|2CGEN|39DMG|4AART|5RPLT|689VULN|7RCR|9BPWR|aDUR
13	12144 36133	 * 	186.28	ACR|2VULN|2DMG|3ZMB|3ASPD	179ASPD|2DMSP|3aVULN|4RCR|57BEXP|67aZMB|7aBPWR|8aDMG
14	13143 14324	 * 	186.07	ACR|2VULN|1AART|3ASPD|1DMG|2CDMG	137ASPD|239DUST|39BPWR|4RCR|5AART|69CDMG|89VULN|aDMG
15	12122 43552	   	186.01	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9AART|aLWND
16	12122 43553	   	186.01	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2aDMSP|345VULN|6RCR|78DMG|9AART
17	12123 43512	   	184.32	DCR|3VULN|3DMG|2ASPD|1SELL	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78aDMG|9SELL
18	12123 25612	 * 	183.94	DCR|4VULN|1AART|1DMG|2ASPD	15ASPD|2DMSP|3457VULN|5BPWR|6RCVC|8DMG|9RCR|aAART
19	26632 42331	 * 	183.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	17LWND|2ZMB|3RCR|4AART|579VULN|67BEXP|7BPWR|8DUR|aDMG
20	26632 41331	   	182.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2ZMB|3RCR|4AART|579VULN|6BEXP|8DUR|aDMG
