0	Index      	 *	Score 	Summary	Detail	
1	11611 53316	 * 	208.77	DCR|3VULN|3DMG|1AART|1CDMG	178DMG|27aCGEN|3CDMG|4aLWND|57aVULN|6RCR|7aBPWR|9AART
2	34333 12356	 * 	206.97	DCR|3VULN|3DMG|2AART	16aVULN|29aDMG|3aBEXP|48AART|5RPLT|7RCR|aBPWR
3	33412 13353	 * 	205.59	DCR|3DMG|2VULN|1AART|2CDMG|2ZMB	14VULN|25CDMG|35ZMB|5BPWR|689DMG|7AART|aRCR
4	34333 12366	 * 	205.42	DCR|4VULN|2AART|2DMG	169aVULN|2aDMG|3aBEXP|48AART|5RPLT|7RCR|aBPWR
5	13412 23313	 * 	200.88	DCR|4VULN|3DMG|1AART|1SELL	158DMG|2SELL|3459VULN|59BPWR|6AART|7RMIN|aRCR
6	13412 24253	   	200.33	DCR|3VULN|3DMG|1AART|2ASPD|1SELL	159DMG|2SELL|345VULN|5BPWR|6AART|78ASPD|aRCR
7	15254 83223	 * 	197.55	DCR|4VULN|3DMG|2DUR	17aDMG|2RCVC|37FEWX|4MBVNT|579aVULN|6RCR|7aBPWR|8aDUR
8	12433 14611	 * 	197.07	5VULN|3DMG|3ZMB|1AART|1DUR	189DMG|2DUR|3689aVULN|4AART|5RPLT|789ZMB|89BPWR
9	32232 34653	   	196.90	DCR|4VULN|3DMG|1DUR|1ASPD	139aVULN|29aFEWX|4ASPD|5DUR|69aDMG|7RCR|8RMIN|9aBPWR
10	34422 11225	   	196.71	DCR|4VULN|2DMG|1AART|1DUR	139aVULN|29DMG|4FEWX|5DUR|69LWND|7AART|8RCR|9BPWR
11	13412 11453	   	195.98	DCR|3VULN|3DMG|1AART|1ZMB|1SELL	156DMG|2SELL|345VULN|5BPWR|7ZMB|8LWND|9AART|aRCR
12	13412 13653	   	195.98	DCR|3VULN|3DMG|1AART|1ZMB|1SELL	156DMG|2SELL|345VULN|5BPWR|7LWND|8ZMB|9AART|aRCR
13	34133 12356	   	195.52	DCR|3VULN|3DMG|1AART	16aVULN|29aDMG|38aFEWX|4AART|5RPLT|7RCR|aBPWR
14	34333 12156	   	195.52	DCR|3VULN|3DMG|1AART	16aVULN|29aDMG|38aBEXP|4AART|5RPLT|7RCR|aBPWR
15	33415 13353	   	195.32	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	14VULN|2CDMG|3ZMB|5RCVC|689DMG|7AART|aRCR
16	13115 53316	   	194.88	DCR|3VULN|3DMG|1AART|1SELL	178DMG|2SELL|3aLWND|47aVULN|57aCGEN|6RCR|7aBPWR|9AART
17	15254 83312	   	194.82	DCR|3VULN|3DMG|1AART	17aDMG|2RCVC|37FEWX|4MBVNT|578VULN|6RCR|7BPWR|9AART
18	34133 12366	   	193.97	DCR|4VULN|2DMG|1AART	169aVULN|2aDMG|38aFEWX|4AART|5RPLT|7RCR|aBPWR
19	34333 12166	   	193.97	DCR|4VULN|2DMG|1AART	169aVULN|2aDMG|38aBEXP|4AART|5RPLT|7RCR|aBPWR
20	13412 24313	   	193.72	DCR|3VULN|3DMG|1AART|1ASPD|1SELL	159DMG|2SELL|345VULN|5BPWR|6AART|7ASPD|8LWND|aRCR
21	11633 51316	   	192.92	DCR|3DMG|2VULN|1AART|1CDMG	158DMG|2aCGEN|3CDMG|4aVULN|6RCR|7aLHND|9AART|aBPWR
22	11611 53311	   	192.92	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|27CGEN|3CDMG|4LWND|57VULN|6RCR|7BPWR|9AART|aFEWX
23	11611 53312	   	192.92	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|27aCGEN|3CDMG|4LWND|57VULN|6RCR|7BPWR|9AART
24	11611 53313	   	192.92	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|27CGEN|3CDMG|4LWND|57VULN|6RCR|7BPWR|9AART|aLHND
25	11611 53314	   	192.82	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|27CGEN|3CDMG|4LWND|57VULN|6RCR|7BPWR|9AART|aTLV
26	11611 53315	   	192.82	DCR|3DMG|2VULN|1AART|1CDMG	178DMG|27CGEN|3CDMG|4LWND|57VULN|6RCR|7BPWR|9AART|aERES
27	34523 31313	 * 	192.52	DCR|3VULN|3DMG|3CDMG	17aVULN|269DMG|37aMLV|4RMIN|57aCDMG|7aBPWR|8RCR
28	22421 43111	 * 	192.33	DCR|4VULN|1AART|1DMG|3DUR	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aLHND
29	22421 43112	   	192.33	DCR|4VULN|1AART|1DMG|3DUR	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aRMIN
