0	Index      	 *	Score 	Summary	Detail	
1	13324 21424	 * 	193.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|59VULN|7RCR|8AART|aCDMG
2	26133 21424	   	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|29VULN|3ZMB|4LIT|56DMG|7RCR|8AART|aCDMG
3	13324 21421	   	184.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aDUR|26DMG|3LIT|4ZMB|59VULN|7RCR|8AART
4	26233 21424	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LWND|29VULN|3ASPD|4LIT|56DMG|7RCR|8AART|aCDMG
5	13364 21125	 * 	180.95	DCR|3VULN|3DMG|2DUR	19DUR|269DMG|3LIT|4CGEN|59aVULN|7RCR|8RMIN|9BPWR
6	13344 21421	   	180.78	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|26DMG|3LIT|4ASPD|59VULN|7RCR|8AART
7	13324 21422	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|59VULN|7RCR|8AART|aBEXP
8	13324 21423	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3aLIT|4ZMB|59VULN|7RCR|8AART
9	13324 21425	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|59VULN|7RCR|8AART|aMLV
10	26133 21421	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|29VULN|3ZMB|4LIT|56DMG|7RCR|8AART|aDUR
11	13324 21426	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|59VULN|7RCR|8AART|aMBVNT
12	13324 21442	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|5aVULN|7RCR|8AART|9ERES
13	13364 21122	 * 	178.95	DCR|3DMG|2VULN|1CDMG|2DUR	19DUR|269DMG|3LIT|4CGEN|59VULN|7RCR|8RMIN|9BPWR|aCDMG
14	62412 36333	 * 	178.50	ACR|4VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|4679VULN|5AART|89LIT|9BPWR|aDMG
15	13326 16432	 * 	177.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|27DMG|3LIT|4ZMB|5RCR|6MLV|8AART|9aVULN
16	13326 21312	   	177.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2aDMG|3LIT|4ZMB|5RCR|6aBEXP|7LHND|8aVULN|9AART|aBPWR
17	13326 43212	   	177.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2aDMG|3LIT|4ZMB|5RCR|6aVULN|7LWND|8aBEXP|9AART|aBPWR
18	13326 43312	   	177.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2aDMG|3LIT|4ZMB|5RCR|6aVULN|7LWND|8aFEWX|9AART|aBPWR
19	13326 42212	   	177.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2aDMG|3LIT|4ZMB|5RCR|6aVULN|7DUST|8aBEXP|9AART|aBPWR
20	13326 42312	   	177.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2aDMG|3LIT|4ZMB|5RCR|6aVULN|7DUST|8aFEWX|9AART|aBPWR
21	13453 11241	 * 	176.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|357VULN|4BELT|6AART|8CDMG|9RCR|aFEWX
22	13453 11242	   	176.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|357VULN|4BELT|6AART|8CDMG|9RCR|aCGEN
23	13453 11243	   	176.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|357VULN|4BELT|6AART|8CDMG|9RCR|aRMIN
24	15353 33143	 * 	175.56	DCR|3DMG|2VULN|3DUR|1CDMG	179DUR|2BELT|3CDMG|469DMG|5RMIN|89VULN|9BPWR|aRCR
25	13344 21422	   	175.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|26DMG|3LIT|4ASPD|59VULN|7RCR|8AART|aBEXP
26	13344 21423	   	175.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|26DMG|3aLIT|4ASPD|59VULN|7RCR|8AART
27	26233 21421	   	175.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1LWND|29VULN|3ASPD|4LIT|56DMG|7RCR|8AART|aDUR
28	23433 21424	   	175.26	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2RMIN|39VULN|4LIT|56DMG|7RCR|8AART|aCDMG
29	13364 21421	   	173.85	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|26DMG|3LIT|4CGEN|59VULN|7RCR|8AART
30	13435 21421	   	173.75	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|26DMG|39VULN|4LIT|5ERES|7RCR|8AART
31	13346 21312	   	173.11	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2aDMG|3LIT|4ASPD|5RCR|6aBEXP|7LHND|8aVULN|9AART|aBPWR
32	13346 43212	   	173.11	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2aDMG|3LIT|4ASPD|5RCR|6aVULN|7LWND|8aBEXP|9AART|aBPWR
33	13346 43312	   	173.11	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2aDMG|3LIT|4ASPD|5RCR|6aVULN|7LWND|8aFEWX|9AART|aBPWR
34	13346 42212	   	173.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2aDMG|3LIT|4ASPD|5RCR|6aVULN|7DUST|8aBEXP|9AART|aBPWR
35	13346 42312	   	173.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2aDMG|3LIT|4ASPD|5RCR|6aVULN|7DUST|8aFEWX|9AART|aBPWR
36	26133 21422	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	1aLWND|29VULN|3ZMB|4LIT|56DMG|7RCR|8AART
37	26133 21423	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|29VULN|3ZMB|4aLIT|56DMG|7RCR|8AART
38	26133 21425	   	172.62	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|29VULN|3ZMB|4LIT|56DMG|7RCR|8AART|aMLV
39	26133 21426	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|29VULN|3ZMB|4LIT|56DMG|7RCR|8AART|aMBVNT
40	26133 21442	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2aVULN|3ZMB|4LIT|56DMG|7RCR|8AART|9ERES
41	13162 62234	 * 	171.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3CGEN|4MLV|5ZMB|6RCR|7CDMG|8aAART|9VULN
42	12243 22312	 * 	171.51	DCR|2VULN|2AART|1DMG|2DUR|1ZMB	12DUR|3LHND|45VULN|6DMG|7ZMB|89AART|aRCR
43	26133 21231	   	171.42	DCR|2VULN|2DMG|1AART|1ZMB	18LWND|29VULN|3ZMB|4LIT|56DMG|7RCR|aAART
44	62412 32423	 * 	171.27	ACR|5VULN|1AART	1RCVC|2DMSP|3RCR|4689aVULN|5AART|79CGEN|9BPWR
45	16133 51421	 * 	171.18	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	15aDUR|29VULN|3ZMB|45LIT|5BPWR|6DMG|7RCR|8AART
46	16131 51421	   	171.08	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	15aDUR|29VULN|3ZMB|4LIT|6DMG|7RCR|8AART
47	13268 11641	 * 	171.05	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1DUR|2aDMG|3FEWX|4MBVNT|5ASPD|6aCDMG|7RCR|8DUST|9aVULN|aBPWR
48	61312 23635	 * 	170.92	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|23BEXP|3BPWR|48VULN|56AART|7RCR|9DMG|aCDMG
49	13216 14533	   	170.85	DCR|2VULN|2DMG|1AART|2DUR	15DUR|2aDMG|3FEWX|45VULN|5BPWR|6BASICY|7LHND|8RCR|9AART
50	63212 33535	   	170.82	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2ERES|3MLV|46VULN|58AART|7RCR|9DMG|aCDMG
51	13216 16533	   	170.75	DCR|2VULN|2DMG|1AART|2DUR	15DUR|2aDMG|3FEWX|45VULN|5BPWR|6BASICY|7LEGI|8RCR|9AART
52	26124 61322	 * 	170.67	DCR|2VULN|2DMG|1AART|2ZMB	19LWND|27VULN|39ZMB|4LHND|5CGEN|6AART|89DMG|9BPWR|aRCR
53	53643 11312	 * 	169.27	DCR|4VULN|2DMG	1ERES|2CGEN|3459VULN|6RCR|7aDMG|8BEXP
54	53643 11112	   	169.17	DCR|4VULN|2DMG	1ERES|2CGEN|3459VULN|6RCR|7aDMG|8DUST
55	62412 31326	 * 	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DMSP|3RCR|46VULN|5AART|7DUST|8CDMG|9DUR|aDMG
56	13324 21244	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|5aVULN|7RCR|8LWND|9CDMG
57	13412 12213	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2aDMG|39VULN|4TLV|5CDMG|6CGEN|7RCR|8ZMB
58	13412 22213	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2aDMG|39VULN|4TLV|5CDMG|6RMIN|7RCR|8ZMB
59	13412 32213	   	168.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2aDMG|39VULN|4TLV|5CDMG|6ERES|7RCR|8ZMB
60	13154 22116	   	168.56	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	17DUR|27DMG|3CGEN|4ZMB|57LHND|6RCR|7BPWR|8VULN|9MBVNT|aAART
61	13364 21412	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|3LIT|4CGEN|5aVULN|7RCR|8AART|9BEXP
62	13364 21422	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|3LIT|4CGEN|59VULN|7RCR|8AART|aBEXP
63	13364 21423	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|3aLIT|4CGEN|59VULN|7RCR|8AART
64	26233 21422	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1aLWND|29VULN|3ASPD|4LIT|56DMG|7RCR|8AART
65	26233 21423	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|29VULN|3ASPD|4aLIT|56DMG|7RCR|8AART
66	26233 21425	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|29VULN|3ASPD|4LIT|56DMG|7RCR|8AART|aMLV
67	23433 21421	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2RMIN|39VULN|4LIT|56DMG|7RCR|8AART|aDUR
68	34433 21421	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2FEWX|39VULN|4LIT|56DMG|7RCR|8AART|aDUR
69	13412 32463	   	168.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	19DUR|2DMG|39VULN|4TLV|5CDMG|689ERES|7RCR|9BPWR|aAART
70	13364 21432	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|3LIT|4CGEN|5aVULN|7RCR|8AART|9DUST
71	13435 21422	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|39VULN|4LIT|5ERES|7RCR|8AART|aBEXP
72	13435 21423	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|39VULN|4aLIT|5ERES|7RCR|8AART
73	26233 21426	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|29VULN|3ASPD|4LIT|56DMG|7RCR|8AART|aMBVNT
