0	Index      	 *	Score 	Summary	Detail	
1	16124 33332	 * 	208.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	129DMG|29BPWR|39DUR|4AART|5LIT|6RCR|7ERES|89VULN|aCDMG
2	13336 66132	 * 	206.62	DCR|4VULN|3DMG|1AART	14aDMG|234aVULN|4aBPWR|5MBVNT|6RPLT|7RCR|8aBEXP|9AART
3	13332 62624	 * 	206.51	DCR|4VULN|3DMG|3ZMB	147DMG|2348VULN|48BPWR|58aZMB|68LIT|9RCR
4	13335 33661	   	201.12	DCR|4VULN|3DMG|1AART	148DMG|2349VULN|49BPWR|59LWND|6AART|79DUST|aRCR
5	13336 26335	   	201.02	DCR|4VULN|3DMG|1AART	148DMG|2347VULN|4BPWR|5MBVNT|6BELT|9RCR|aAART
6	13332 62623	   	199.91	DCR|4VULN|3DMG|2ZMB|1DUR	147DMG|2348VULN|48BPWR|58ZMB|68LIT|9RCR|aDUR
7	33154 52834	 * 	199.63	DCR|3VULN|2DMG|1AART|2CDMG	19aVULN|2MBVNT|3RCVC|49CDMG|5NUKE|6RCR|79DMG|8AART|9BPWR
8	12212 16535	 * 	198.41	DCR|2AART|2VULN|2DMG|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|46AART|59aDUR|7RCR|89VULN|9BPWR
9	13335 33621	 * 	198.37	DCR|3VULN|3DMG|2AART	148DMG|234VULN|4BPWR|5LWND|69AART|7DUST|aRCR
10	33423 46764	   	198.27	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	159VULN|2MBVNT|3RMIN|4ASPD|6AART|79CDMG|89DMG|9BPWR|aRCR
11	16122 61122	   	198.05	DCR|3DMG|2AART|2VULN|1DUR	12aDMG|2aBPWR|3DUR|48AART|5RPLT|6aDUST|7RCR|9aVULN
12	16125 32313	 * 	197.90	DCR|3DMG|3ZMB|1AART|3DUR|2ASPD	127DMG|27aBPWR|357DUR|4AART|67aZMB|8RCR|9aASPD
13	16125 32333	 * 	197.72	DCR|3DMG|1AART|1VULN|3DUR|2ZMB|1ASPD	127DMG|27BPWR|357DUR|4AART|67ZMB|8RCR|9VULN|aASPD
14	32351 35225	   	197.68	DCR|4VULN|3DMG|2ZMB	138aVULN|2MLV|4aZMB|5RPLT|69aDMG|7RCR|aBPWR
15	13336 66213	   	197.11	DCR|4VULN|2DMG|1AART|1DUR	14DMG|2348VULN|4BPWR|5MBVNT|6RPLT|7RCR|9DUR|aAART
16	13662 41121	   	196.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19DMG|2aVULN|39CDMG|4BEXP|5AART|6RCR|7ZMB|89LIT|9BPWR
17	13325 34621	   	196.35	DCR|3DMG|2AART|2VULN|2DUR	178DMG|23VULN|49AART|57DUR|67LWND|7BPWR|aRCR
18	13324 35422	   	195.67	DCR|3VULN|2DMG|1AART|1FLTHEA|1SELL	19DMG|239VULN|4AART|59LIT|6RCR|7SELL|8RMIN|9BPWR|aFLTHEA
19	13662 42322	   	195.12	DCR|3DMG|2VULN|1AART|1CDMG	19aDMG|29VULN|3CDMG|4BEXP|5AART|6RCR|7RCVC|89ERES|9BPWR
20	12212 16532	   	194.59	DCR|2AART|2VULN|2DMG|2DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|46AART|59DUR|7RCR|89VULN|9BPWR|aBELT
21	12212 16534	   	194.59	DCR|2AART|2VULN|2DMG|2DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|46AART|59DUR|7RCR|89VULN|9BPWR|aFEWX
22	12212 16531	   	194.49	DCR|2AART|2VULN|2DMG|2DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|46AART|59DUR|7RCR|89VULN|9BPWR|aMBVNT
23	12212 16533	   	194.49	DCR|2AART|2VULN|2DMG|2DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|46AART|59DUR|7RCR|89VULN|9BPWR|aAIRHEA
24	12212 16536	   	194.49	DCR|2AART|2VULN|2DMG|2DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|46AART|59DUR|7RCR|89VULN|9BPWR|aTLV
25	13324 34431	   	194.40	DCR|3VULN|2DMG|1AART|2DUR	19DMG|239VULN|4AART|5LIT|6RCR|7ERES|89DUR|9BPWR|aRMIN
26	13324 34433	   	194.40	DCR|3VULN|2DMG|1AART|2DUR	19DMG|239VULN|4AART|5LIT|6RCR|7ERES|89DUR|9BPWR|aRCVC
27	16124 33331	   	194.40	DCR|3DMG|2VULN|1AART|2DUR	129DMG|29BPWR|39DUR|4AART|5LIT|6RCR|7ERES|89VULN|aCGEN
28	16124 33333	   	194.40	DCR|3DMG|2VULN|1AART|2DUR	129DMG|29BPWR|39DUR|4AART|5LIT|6RCR|7ERES|89VULN|aRPLT
29	16124 33335	   	194.40	DCR|3DMG|2VULN|1AART|2DUR	129DMG|29BPWR|39DUR|4AART|5LIT|6RCR|7ERES|89VULN|aLWND
30	13335 66332	   	194.36	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|234VULN|4BPWR|5LWND|6CDMG|7RPLT|8RCR|9ASPD|aAART
31	13324 34432	   	194.30	DCR|3VULN|2DMG|1AART|2DUR	19DMG|239VULN|4AART|5LIT|6RCR|7aERES|89DUR|9BPWR
32	12152 41531	 * 	194.28	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|1SELL	19DMG|2SELL|38FEWX|49VULN|5AART|6RCR|79ZMB|9BPWR|aCDMG
33	16124 35222	   	194.26	DCR|3DMG|2VULN|1AART|2DUR|1SELL	129DMG|29BPWR|3aDUR|4AART|59LIT|6RCR|7SELL|89VULN
34	16316 12533	 * 	193.83	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	12aDMG|2aBPWR|3MGNLIT|4aVULN|5RCR|6DUR|7AART|8ZMB|9aTLV
35	16125 22333	   	193.77	DCR|3DMG|1AART|1VULN|3DUR|1ZMB|1ASPD	126DMG|26BPWR|356DUR|4AART|7ZMB|8RCR|9VULN|aASPD
36	33153 52822	   	193.22	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2MBVNT|3RCVC|4CDMG|59ERES|6RCR|79aDMG|8AART|9BPWR
37	13332 62626	   	192.98	DCR|4VULN|3DMG|2ZMB	147DMG|2348VULN|48BPWR|58ZMB|68LIT|9RCR|aCGEN
38	13332 62621	   	192.88	DCR|4VULN|3DMG|2ZMB	147DMG|2348VULN|48BPWR|58ZMB|68LIT|9RCR|aERES
39	12232 45335	 * 	192.70	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4RMIN|59VULN|6RCR|79ZMB|8AART|9BPWR|aDUR
40	13322 61552	   	192.10	DCR|3DMG|2VULN|1AART|2DUR	18aDMG|23VULN|4AART|5RPLT|6aLHND|7RCR|9aDUR|aBPWR
41	16122 21112	   	192.10	DCR|3DMG|2VULN|1AART|2DUR	12aDMG|2aBPWR|38DUR|4AART|5RPLT|6aVULN|7RCR|9aBEXP
42	16122 21242	   	192.10	DCR|3DMG|2VULN|1AART|2DUR	12aDMG|2aBPWR|39DUR|4AART|5RPLT|6aVULN|7RCR|8aLHND
43	16122 21342	   	192.10	DCR|3DMG|2VULN|1AART|2DUR	12aDMG|2aBPWR|39DUR|4AART|5RPLT|6aVULN|7RCR|8aBEXP
44	16122 21561	   	192.10	DCR|3DMG|2VULN|1AART|2DUR	128DMG|2aBPWR|3aDUR|4AART|5RPLT|6aVULN|7RCR|9aMLV
45	35322 31532	   	192.00	DCR|3VULN|2DMG|1AART|2DUR	13aVULN|2RMIN|4AART|5RPLT|6DUST|7RCR|8aDMG|9aDUR|aBPWR
46	13322 31552	   	191.90	DCR|3DMG|2VULN|1AART|2DUR	18aDMG|23VULN|4AART|5RPLT|6aDUST|7RCR|9aDUR|aBPWR
47	16122 21511	   	191.90	DCR|3DMG|2VULN|1AART|2DUR	128DMG|2aBPWR|3aDUR|4AART|5RPLT|6aVULN|7RCR|9aERES
48	31412 84162	   	191.81	DCR|3VULN|2DMG|2AART	15aVULN|2aFEWX|3RPLT|4MBVNT|6RCR|78AART|9aDMG|aBPWR
49	16262 43323	   	191.69	ACR|3DMG|2VULN|1AART|1CDMG|1SELL	129DMG|29BPWR|3LIT|4RCR|59VULN|69DUST|7AART|8SELL|aCDMG
50	33552 84142	   	191.61	DCR|3VULN|2DMG|2AART	15aVULN|2MBVNT|3RPLT|4aDUST|6RCR|78AART|9aDMG|aBPWR
51	36412 84142	   	191.61	DCR|3VULN|2DMG|2AART	15aVULN|2aDUST|3RPLT|4MBVNT|6RCR|78AART|9aDMG|aBPWR
52	13632 41412	   	191.52	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1ZMB	1aDMG|2VULN|3aCDMG|4LHND|5AART|6RCR|7ZMB|8LEGI|9aDUR|aBPWR
53	33543 65442	   	191.27	DCR|4VULN|2DMG|1AART	167aVULN|2MBVNT|3RPLT|4AART|5aDUST|8RCR|9aDMG|aBPWR
54	16125 32331	   	190.79	DCR|3DMG|1AART|1VULN|3DUR|2ZMB	127DMG|27BPWR|357DUR|4AART|67ZMB|8RCR|9VULN|aBEXP
55	16125 32335	   	190.79	DCR|3DMG|1AART|1VULN|3DUR|2ZMB	127DMG|27BPWR|357DUR|4AART|67ZMB|8RCR|9VULN|aMLV
56	16125 32336	   	190.79	DCR|3DMG|1AART|1VULN|3DUR|2ZMB	127DMG|27BPWR|357DUR|4AART|67ZMB|8RCR|9VULN|aFEWX
57	16125 32332	   	190.69	DCR|3DMG|1AART|1VULN|3DUR|2ZMB	127DMG|27BPWR|357DUR|4AART|67ZMB|8RCR|9VULN|aERES
58	16125 32334	   	190.69	DCR|3DMG|1AART|1VULN|3DUR|2ZMB	127DMG|27BPWR|357DUR|4AART|67ZMB|8RCR|9VULN|aLEGI
59	13322 61532	   	190.67	DCR|3VULN|2DMG|1AART|1ZMB	18DMG|23aVULN|4AART|5RPLT|6LHND|7RCR|9ZMB
60	13336 26332	 * 	190.65	DCR|5VULN|3DMG	148DMG|2347aVULN|4BPWR|5MBVNT|6BELT|9RCR
61	13322 31532	   	190.57	DCR|3VULN|2DMG|1AART|1ZMB	18DMG|23aVULN|4AART|5RPLT|6DUST|7RCR|9ZMB
62	16124 31234	   	190.56	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	128DMG|28BPWR|38DUR|4AART|578LIT|6RCR|9VULN|aCDMG
63	13333 15364	   	190.38	DCR|4VULN|3DMG|2ZMB	148DMG|2348VULN|48BPWR|5CANSTR|6CGEN|78ZMB|9DLOT|aRCR
