0	Index      	 *	Score 	Summary	Detail	
1	51512 14321	 * 	224.45	DCR|5VULN|3DMG|1AART	1AART|2569aVULN|3MGNLIT|49aDMG|7RCR|89aLHND|9aBPWR
2	54523 13223	 * 	218.33	ACR|3VULN|3DMG|2AART	15AART|268DMG|3RCR|48aVULN|78DUST|8BPWR|9DUR
3	53526 12212	 * 	217.81	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9CGEN|aDUR
4	53526 12223	   	217.81	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9DUR|aLWND
5	53526 12221	   	217.71	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9DUR|aLSRREG
6	53526 12234	   	217.71	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9MBVNT|aDUR
7	54523 13222	   	216.32	ACR|3DMG|2AART|2VULN|1CDMG	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9DUR|aCDMG
8	53532 11432	 * 	213.47	ACR|2VULN|2DMG|1AART|3ZMB|3DUR	1AART|257ZMB|3RCR|47aDUR|67DMG|7aBPWR|8aLHND|9aVULN
9	53521 11241	 * 	212.87	ACR|3VULN|2DMG|1AART|3ZMB	1AART|29aZMB|3RCR|47aVULN|5LIT|6BEXP|8aDMG|aBPWR
10	53521 31241	   	212.87	ACR|3VULN|2DMG|1AART|3ZMB	1AART|29aZMB|3RCR|47aVULN|5LIT|6LWND|8aDMG|aBPWR
11	53525 12232	 * 	212.79	ACR|3DMG|2VULN|1AART|2ZMB|2ASPD	1AART|28ZMB|3RCR|45VULN|68aDMG|78ASPD|8BPWR|9ERES
12	51512 14131	   	211.42	DCR|4VULN|3DMG|1AART	1AART|256aVULN|3MGNLIT|48aDMG|7RCR|9aLWND|aBPWR
13	53542 12221	 * 	210.79	ACR|3DMG|2AART|2VULN|2ZMB	19AART|28ZMB|3RCR|4CGEN|568DMG|78VULN|8BPWR|aLHND
14	53542 12222	   	210.79	ACR|3DMG|2AART|2VULN|2ZMB	19AART|28ZMB|3RCR|4CGEN|568DMG|78VULN|8BPWR|aFEWX
15	53526 12211	   	210.77	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9CGEN|aCANHEL
16	53526 12213	   	210.77	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9CGEN|aDUST
17	53526 12233	   	210.77	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9MBVNT|aLWND
18	53526 12231	   	210.67	ACR|2VULN|2DMG|1AART|3ZMB|2ASPD	1AART|258ZMB|3RCR|45VULN|58BPWR|68DMG|78ASPD|9MBVNT|aLSRREG
19	54523 11121	   	209.38	ACR|3DMG|2AART|2VULN|1CDMG	15AART|268DMG|3RCR|49VULN|7MGNLIT|aCDMG
20	54523 13232	   	209.38	ACR|3DMG|2AART|2VULN|1CDMG	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9RPLT|aCDMG
21	51532 14111	   	209.32	DCR|4VULN|2DMG|1AART|2ASPD	1AART|256aVULN|3MGNLIT|4aASPD|7RCR|8aDMG|9RMIN|aBPWR
22	51512 14122	   	209.22	DCR|4VULN|2DMG|1AART|1CDMG	1AART|2569VULN|3MGNLIT|48DMG|7RCR|aCDMG
23	54522 23134	   	208.84	ACR|3DMG|2VULN|1AART|2ASPD|1ZMB	1AART|28aDMG|3RCR|48VULN|5ZMB|6DUST|78ASPD|8BPWR|9MBVNT
24	53532 11215	 * 	207.52	ACR|3DMG|1AART|3ZMB|1VULN|2DUR	1AART|257ZMB|3RCR|47DUR|678DMG|7BPWR|9FEWX|aVULN
25	53522 12251	   	206.83	ACR|2DMG|1AART|3ZMB|1VULN|1CDMG|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9CDMG|aFEWX
26	53522 12252	   	206.83	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD|1CDMG	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9CDMG|aMLV
27	53522 12253	   	206.83	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD|1CDMG	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9CDMG|aRMIN
28	54523 22332	 * 	206.28	ACR|2AART|2VULN|2DMG|3CDMG	15AART|2aDMG|3RCR|4aVULN|6RPLT|7RMIN|89aCDMG|aBPWR
29	53542 12232	   	206.28	ACR|3DMG|2VULN|1AART|2ZMB	1AART|28ZMB|3RCR|4CGEN|568DMG|78VULN|8BPWR|9BELT|aASPD
30	53522 12226	   	205.42	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD|2DUR	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9aDUR
31	53525 12231	   	204.08	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD	1AART|28ZMB|3RCR|45VULN|68DMG|78ASPD|8BPWR|9ERES|aDUR
32	53525 12222	   	202.98	ACR|3VULN|2DMG|1AART|3ZMB|2ASPD|2MSE	1AART|28aZMB|3RCR|45aVULN|68DMG|78ASPD|8aBPWR|9aMSE
33	54523 13212	   	202.67	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9CGEN|aDUR
34	54523 13221	   	202.57	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9DUR|aLSRREG
35	53532 11224	   	201.11	ACR|3DMG|1AART|3ZMB|1CDMG|2DUR	1AART|257ZMB|3RCR|47DUR|678DMG|7BPWR|9CDMG|aLWND
36	53532 11226	   	201.11	ACR|3DMG|1AART|3ZMB|1CDMG|2DUR	1AART|257ZMB|3RCR|47DUR|678DMG|7BPWR|9CDMG|aRPLT
37	53532 11221	   	201.01	ACR|3DMG|1AART|3ZMB|1CDMG|2DUR	1AART|257ZMB|3RCR|47DUR|678DMG|7BPWR|9CDMG|aERES
38	53532 11222	   	201.01	ACR|3DMG|1AART|3ZMB|1CDMG|2DUR	1AART|257ZMB|3RCR|47DUR|678DMG|7BPWR|9CDMG|aDUST
39	53532 11225	   	201.01	ACR|3DMG|1AART|3ZMB|1CDMG|2DUR	1AART|257ZMB|3RCR|47DUR|678DMG|7BPWR|9CDMG|aAIRHEA
40	53521 11211	   	200.95	ACR|3VULN|2DMG|1AART|2ZMB	1AART|2aZMB|3RCR|47aVULN|5LIT|6BEXP|8aDMG|9RCVC|aBPWR
41	53521 31211	   	200.95	ACR|3VULN|2DMG|1AART|2ZMB	1AART|2aZMB|3RCR|47aVULN|5LIT|6LWND|8aDMG|9RCVC|aBPWR
42	54522 23121	   	200.22	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1AART|28DMG|3RCR|48VULN|5ZMB|6DUST|78ASPD|8BPWR|9DUR|aLHND
43	54522 23122	   	200.22	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1AART|28DMG|3RCR|48VULN|5ZMB|6DUST|78ASPD|8BPWR|9DUR|aFEWX
44	53522 12212	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9CGEN|aDUR
45	53522 12223	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLWND
46	53522 12224	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLHND
47	53522 12225	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLIT
48	53522 12221	   	200.02	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLSRREG
