0	Index      	 *	Score 	Summary	Detail	
1	26131 16211	 * 	209.99	ACR|3VULN|3DMG|1AART|1CDMG	189DMG|2RMIN|3AART|4RCR|5CDMG|67aVULN
2	26131 16216	   	201.28	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	189DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|aDUR
3	21212 62132	 * 	198.81	DCR|2AART|2VULN|2DMG|1CDMG|1DUR|1SELL	14DMG|2SELL|38AART|5aVULN|6RCR|7CDMG|9DUR
4	21212 62212	 * 	198.81	DCR|2AART|2VULN|2DMG|1CDMG|1DUR|1SELL	14DMG|2SELL|39AART|5aVULN|6RCR|7CDMG|8DUR
5	26112 13626	 * 	197.73	DCR|2AART|2VULN|2DMG|2DUR|1ASPD	1aDMG|2RMIN|34AART|5ASPD|6RCR|7LEGI|8aVULN|9aDUR|aBPWR
6	22131 16416	   	196.52	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	19DMG|2TLV|3AART|4RCR|5CDMG|67VULN|8DUR|aZMB
7	21212 62362	 * 	196.07	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	14DMG|2SELL|3AART|59aVULN|6RCR|7CDMG|8FEWX
8	21212 62562	 * 	195.97	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	14DMG|2SELL|3AART|59aVULN|6RCR|7CDMG|8DUST
9	26131 16343	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2RMIN|3AART|4RCR|5CDMG|679VULN|8ASPD|aZMB
10	26131 16212	   	194.34	ACR|3DMG|2VULN|1AART|1CDMG	189DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|aLWND
11	26131 16222	   	194.34	ACR|3DMG|2VULN|1AART|1CDMG	18aDMG|2RMIN|3AART|4RCR|5CDMG|67VULN|9LIT
12	26131 16215	   	194.24	ACR|3DMG|2VULN|1AART|1CDMG	189DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|aTLV
13	26133 62147	   	194.24	ACR|3VULN|2DMG|1AART|2ASPD	1aDMG|2RMIN|3AART|4RCR|5DUST|68aVULN|7MBVNT|9aASPD|aBPWR
14	35122 43253	 * 	194.10	DCR|2AART|2VULN|3ZMB|2ASPD|1CDMG	149ZMB|2TLV|38AART|59ASPD|69VULN|7RCR|9BPWR|aCDMG
15	22124 43251	 * 	193.82	DCR|2AART|2VULN|2DMG|2ZMB	19DMG|2TLV|38AART|49ZMB|5RCVC|69VULN|7RCR|9BPWR|aLWND
16	22124 43253	   	193.82	DCR|2AART|2VULN|2DMG|2ZMB	19DMG|2TLV|38AART|49ZMB|5RCVC|69VULN|7RCR|9BPWR|aRPLT
17	22124 43252	   	193.72	DCR|2AART|2VULN|2DMG|2ZMB	19DMG|2TLV|38AART|49ZMB|5RCVC|69VULN|7RCR|9BPWR|aERES
18	23341 66311	   	192.83	ACR|3DMG|2VULN|1AART|1ZMB|1ASPD	167DMG|2LIT|37VULN|47FEWX|5RCR|7BPWR|8ASPD|9AART|aZMB
19	21212 62242	   	192.65	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	14DMG|2SELL|3AART|5aVULN|6RCR|7CDMG|89DUR
20	26132 61431	 * 	192.33	ACR|3VULN|2AART|2DMG	18DMG|2RMIN|39AART|4RCR|5RPLT|68aVULN|78CGEN|8BPWR
21	21212 62112	   	191.87	DCR|2AART|2VULN|2DMG|1CDMG|1SELL	14DMG|2SELL|38AART|5aVULN|6RCR|7CDMG|9LHND
22	21212 62312	   	191.87	DCR|2AART|2VULN|2DMG|1CDMG|1SELL	14DMG|2SELL|39AART|5aVULN|6RCR|7CDMG|8FEWX
23	21212 62512	   	191.77	DCR|2AART|2VULN|2DMG|1CDMG|1SELL	14DMG|2SELL|39AART|5aVULN|6RCR|7CDMG|8DUST
24	26131 53141	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2RMIN|3AART|4RCR|5CDMG|68CGEN|78DUR|8BPWR|9aVULN
25	26132 42633	   	191.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	19DMG|2RMIN|3AART|4RCR|5RPLT|6BELT|79VULN|89DUR|9BPWR|aCDMG
26	22132 42533	   	191.02	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	19DMG|2TLV|3AART|4RCR|5RPLT|6BELT|79VULN|89DUR|9BPWR|aCDMG
27	26131 23141	   	190.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2RMIN|3AART|4RCR|5CDMG|68ERES|78DUR|8BPWR|9aVULN
28	52113 12117	   	190.73	ACR|3VULN|2DMG|1AART|1ASPD	1RMIN|2RCR|3aLWND|4ASPD|58aVULN|6AART|7MBVNT|9aDMG|aBPWR
29	26131 14126	   	190.33	ACR|2AART|2VULN|2DMG|1CDMG	1aDMG|2RMIN|38AART|4RCR|5CDMG|6aVULN|7RPLT|9aFEWX|aBPWR
30	26131 14136	   	190.33	ACR|2AART|2VULN|2DMG|1CDMG	1aDMG|2RMIN|38AART|4RCR|5CDMG|6aVULN|7RPLT|9aBEXP|aBPWR
31	26131 16511	   	190.13	ACR|2AART|2VULN|2DMG|1CDMG	19DMG|2RMIN|38AART|4RCR|5CDMG|67VULN|aBELT
32	26131 16512	   	190.13	ACR|2AART|2VULN|2DMG|1CDMG	19DMG|2RMIN|38AART|4RCR|5CDMG|67VULN|aCGEN
33	26131 16522	   	190.13	ACR|2AART|2VULN|2DMG|1CDMG	1aDMG|2RMIN|38AART|4RCR|5CDMG|67VULN|9LIT
34	22131 16252	   	190.03	ACR|2AART|2VULN|2DMG|1CDMG	1aDMG|2TLV|39AART|4RCR|5CDMG|67VULN|8LIT
35	26131 16513	   	190.03	ACR|2AART|2VULN|2DMG|1CDMG	19DMG|2RMIN|38AART|4RCR|5CDMG|67VULN|aLSRHEA
36	22132 23565	   	189.69	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aDMG|2TLV|3AART|4RCR|5RPLT|6aASPD|7ZMB|8LIT|9aVULN|aBPWR
37	22131 16125	   	189.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2TLV|3AART|4RCR|5CDMG|67VULN|8BASICY|aZMB
38	22131 16164	   	189.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aDMG|2TLV|3AART|4RCR|5CDMG|67VULN|8BASICY|9ZMB
39	21212 62232	   	188.96	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	14DMG|2SELL|3AART|5aVULN|6RCR|7CDMG|8DUR|9RCVC
40	52113 13116	   	188.72	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1RMIN|2RCR|3aLWND|4aASPD|58VULN|6AART|7DUR|9aDMG|aBPWR
41	21214 46233	 * 	187.88	DCR|3DMG|2VULN|1AART|2ZMB|1SELL	147DMG|2SELL|3AART|57CGEN|67ZMB|7BPWR|89VULN|aRCR
42	26131 16143	   	187.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2RMIN|3AART|4RCR|5CDMG|679VULN|8MLV|aZMB
43	26132 61433	   	187.68	ACR|2AART|2VULN|2DMG|1ZMB	18DMG|2RMIN|39AART|4RCR|5RPLT|68VULN|78CGEN|8BPWR|aZMB
44	21211 46233	 * 	187.68	DCR|3DMG|2VULN|1AART|2ZMB|1SELL	147DMG|2SELL|3AART|57ERES|67ZMB|7BPWR|89VULN|aRCR
45	22131 16135	   	187.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2TLV|3AART|4RCR|5CDMG|679VULN|8BASICY|aZMB
46	21212 62133	 * 	187.53	DCR|2AART|2DMG|1VULN|2CDMG|1DUR|1SELL	14DMG|2SELL|38AART|5VULN|6RCR|7aCDMG|9DUR
47	21212 62213	 * 	187.53	DCR|2AART|2DMG|1VULN|2CDMG|1DUR|1SELL	14DMG|2SELL|39AART|5VULN|6RCR|7aCDMG|8DUR
48	35122 43251	   	187.39	DCR|2AART|2VULN|3ZMB|2ASPD|1DUR	149ZMB|2TLV|38AART|59ASPD|69VULN|7RCR|9BPWR|aDUR
49	21212 62366	   	187.36	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	14DMG|2SELL|3AART|59VULN|6RCR|7CDMG|8FEWX|aDUR
50	32122 12366	 * 	187.05	DCR|3VULN|3ZMB|1AART|2ASPD	147ZMB|2RMIN|3AART|5aASPD|6RCR|89aVULN|aBPWR
51	31122 12366	   	186.95	DCR|3VULN|3ZMB|1AART|2ASPD	147ZMB|2NUKE|3AART|5aASPD|6RCR|89aVULN|aBPWR
52	26112 11626	   	186.86	DCR|2AART|2DMG|1VULN|2ASPD|2DUR	1aDMG|2RMIN|34AART|5aASPD|6RCR|7FEWX|8VULN|9aDUR|aBPWR
53	21212 62363	 * 	186.73	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	14DMG|2SELL|3AART|59VULN|6RCR|7aCDMG|8FEWX
54	21212 62563	 * 	186.63	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	14DMG|2SELL|3AART|59VULN|6RCR|7aCDMG|8DUST
55	52113 12317	   	186.52	ACR|2VULN|2DMG|2AART|1ASPD	1RMIN|2RCR|3aLWND|4ASPD|5aVULN|68AART|7MBVNT|9aDMG|aBPWR
56	21212 62136	   	186.51	DCR|2AART|2DMG|1VULN|1CDMG|2DUR|1SELL	14DMG|2SELL|38AART|5VULN|6RCR|7CDMG|9aDUR
57	21212 62216	   	186.51	DCR|2AART|2DMG|1VULN|1CDMG|2DUR|1SELL	14DMG|2SELL|39AART|5VULN|6RCR|7CDMG|8aDUR
58	26132 21132	   	186.19	ACR|2AART|2DMG|1VULN|2ASPD|1CDMG	18DMG|2RMIN|37AART|4RCR|5RPLT|68ASPD|8BPWR|9CDMG|aVULN
59	22142 16631	 * 	185.67	DCR|3DMG|1AART|1VULN|2ASPD|1DUR	14aDMG|24TLV|3AART|4aBPWR|5aASPD|6RCR|7DUR|8VULN|9aMLV
60	26131 53221	   	185.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2RMIN|3AART|4RCR|5CDMG|6CGEN|7DUR|8aVULN
61	26131 16232	   	185.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|9RPLT|aDUR
62	26131 16411	   	185.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|8DUR|aLHND
63	26131 23221	   	185.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2RMIN|3AART|4RCR|5CDMG|6ERES|7DUR|8aVULN
