0	Index      	 *	Score 	Summary	Detail	
1	45222 12142	 * 	205.57	DCR|3VULN|3DMG|1AART|2ASPD	169VULN|24ASPD|349DMG|49BPWR|589LHND|7RCR|aAART
2	11333 35351	 * 	195.38	ACR|4VULN|3ZMB|1AART|1CDMG	189FEWX|2789VULN|389ZMB|4RPLT|5RCR|6AART|89BPWR|aCDMG
3	11226 22351	 * 	194.64	ACR|3VULN|3DMG|1AART	149FEWX|249VULN|3RCVC|49BPWR|5RCR|6RPLT|79aDMG|8AART
4	23431 21544	 * 	193.27	DCR|4VULN|2DMG|1AART	1AART|2aLIT|357aVULN|4BELT|6aDMG|8RCR|9MBVNT|aBPWR
5	11226 22354	 * 	193.09	ACR|4VULN|2DMG|1AART	149FEWX|249aVULN|3RCVC|49BPWR|5RCR|6RPLT|79DMG|8AART
6	45223 13325	   	192.42	DCR|3DMG|2VULN|1AART|2ASPD	1aVULN|24ASPD|34aDMG|4aBPWR|5RMIN|6aFEWX|7RCR|8RCVC|9AART
7	45222 32142	   	189.92	DCR|3DMG|2VULN|1AART|2ASPD	19VULN|24ASPD|349DMG|49BPWR|5689LHND|7RCR|aAART
8	41211 43135	   	189.70	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|3aDMG|46FEWX|5LHND|7RCR|8AART|9aDUR|aBPWR
9	22113 25362	 * 	188.72	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	12AART|368VULN|4CDMG|5LHND|7DMG|9DUR|aRCR
10	11333 35356	   	188.66	ACR|4VULN|3ZMB|1AART|1DUR	189FEWX|2789VULN|389ZMB|4RPLT|5RCR|6AART|89BPWR|aDUR
11	45222 12363	   	188.31	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	16VULN|24ASPD|34DMG|4BPWR|5LHND|7RCR|8BEXP|9AART|aCDMG
12	41242 33161	   	188.17	DCR|3VULN|2DMG|1AART|1ZMB	124VULN|39DMG|5LWND|6DUST|7RCR|8AART|aZMB
13	41424 31133	   	187.77	DCR|4VULN|2DMG|1AART	124aVULN|34LHND|4BPWR|5DLOT|6AART|78DMG|9RCR
14	41524 31133	   	187.77	DCR|4VULN|2DMG|1AART	124aVULN|34LWND|4BPWR|5DLOT|6AART|78DMG|9RCR
15	41242 61133	   	187.67	DCR|4VULN|2DMG|1AART	124aVULN|38DMG|5LWND|6AART|7DLOT|9RCR
16	41324 31133	   	187.57	DCR|4VULN|2DMG|1AART	124aVULN|3LEGI|4BPWR|5DLOT|6AART|78DMG|9RCR
17	45222 12353	 * 	187.13	DCR|4VULN|2DMG|3ASPD	169aVULN|24aASPD|34DMG|4aBPWR|5LHND|7RCR|8aBEXP
18	22111 62255	 * 	186.83	DCR|2AART|2VULN|2CDMG|3DUR|1ZMB	12AART|39VULN|49CDMG|5FEWX|6ZMB|7RCR|89aDUR|9BPWR
19	11226 12153	   	186.63	ACR|4VULN|2DMG|1ZMB|1DUR	14aFEWX|246aVULN|3RCVC|4aBPWR|5RCR|7ZMB|8DUR|9aDMG
20	11226 22352	   	185.93	ACR|3VULN|2DMG|1AART|1DUR	149FEWX|249VULN|3RCVC|49BPWR|5RCR|6RPLT|79DMG|8AART|aDUR
21	23466 33113	 * 	185.71	DCR|3VULN|2AART|2DMG	14AART|2LIT|369VULN|5BEXP|78DMG|aRCR
22	22126 33113	   	185.71	DCR|3VULN|2AART|2DMG	12AART|369VULN|4LIT|5BEXP|78DMG|aRCR
23	45225 12221	   	185.67	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	16VULN|24ASPD|34DMG|4BPWR|5FEWX|7RCR|8RMIN|9AART|aZMB
24	45223 15223	 * 	185.48	DCR|3VULN|2DMG|3ASPD|2ZMB	19aVULN|24aASPD|34DMG|4aBPWR|5RMIN|6FEWX|7aZMB|8RCR
