0	Index      	 *	Score 	Summary	Detail	
1	12562 43741	 * 	276.90	DCR|DCR|1VULN|2MLV|1CDMG|1RPLT	1CGEN|2aMLV|3CDMG|4RPLT|5MBVNT|6BEXP|7VULN|89RCR
2	24153 11141	 * 	274.27	ACR|DCR|3VULN|1MLV|1CDMG	1AIRHEA|248VULN|3CGEN|59RCR|6MLV|7LHND|aCDMG
3	26532 24222	 * 	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AIRHEA|2DMG|3LWND|4CDMG|5ASPD|68RCR|7AAC|9LHND|aVULN
4	26532 24233	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AIRHEA|2DMG|3LWND|4CDMG|5ASPD|68RCR|7AAC|9LIT|aVULN
5	51131 13323	   	263.35	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5BELT|6aRCR|7LHND|8CGEN|9TBNT
6	51131 15423	   	263.25	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5BELT|6aRCR|7ERES|8FEWX|9TBNT
7	51131 15223	   	263.15	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5BELT|6aRCR|7ERES|8DUST|9TBNT
8	51132 62235	   	263.15	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5MBVNT|6BEXP|7aRCR|8MDPS|9RMIN
9	51132 72235	   	263.05	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5MBVNT|6DUST|7aRCR|8MDPS|9RMIN
10	51132 62215	   	263.05	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5MBVNT|6BEXP|7aRCR|8MDPS|9ERES
11	51132 72215	   	262.95	DCR|DCR|1VULN|2MLV|1AART	1VULN|24MLV|3AART|5MBVNT|6DUST|7aRCR|8MDPS|9ERES
12	12562 43742	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1CGEN|2MLV|3CDMG|4RPLT|5MBVNT|6aBEXP|7VULN|89RCR
13	12562 43743	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1CGEN|2MLV|3CDMG|4RPLT|5MBVNT|6BEXP|7VULN|89RCR|aTBNT
14	12562 43744	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1MSE	1CGEN|2MLV|3CDMG|4RPLT|5MBVNT|6BEXP|7VULN|89RCR|aMSE
15	24153 11143	   	260.62	ACR|DCR|3VULN|1MLV	1AIRHEA|248VULN|3CGEN|59RCR|6MLV|7LHND|aFEWX
16	24153 11142	   	260.52	ACR|DCR|3VULN|1MLV|1ZMB	1AIRHEA|248VULN|3CGEN|59RCR|6MLV|7LHND|aZMB
17	31253 32133	 * 	260.47	DCR|2VULN|3DMG|2MLV|1CDMG	1TBNT|2aVULN|3BBNT|467DMG|56MLV|6BPWR|8RCR|9CDMG
18	51421 16333	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4LHND|5BELT|6BBNT|7DUR|8LWND|9aRCR
19	51431 11333	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUR|5BELT|6BBNT|7LHND|8LWND|9aRCR
