0	Index      	 *	Score 	Summary	Detail	
1	51324 13222	 * 	285.07	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1SELL|2AART|35MLV|4AAC|6VULN|7DUR|8CDMG|9aRCR
2	51323 13222	 * 	277.23	DCR|DCR|1VULN|2AART|1MLV|1CDMG|1SELL	1SELL|25AART|3MLV|4AAC|6VULN|7DUR|8CDMG|9aRCR
3	51412 52222	 * 	271.99	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1SELL	1SELL|2AART|3CDMG|4DMG|5DUR|68CGEN|7VULN|9aRCR
4	51412 52322	 * 	271.99	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1SELL	1SELL|2AART|3CDMG|4DMG|5DUR|6CGEN|7VULN|8RCVC|9aRCR
5	51423 12422	 * 	271.59	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1SELL|2AART|3CDMG|4TLV|5NUKE|6FEWX|78VULN|9aRCR
6	51423 22422	 * 	271.49	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1SELL|2AART|3CDMG|4TLV|5NUKE|6LEGI|78VULN|9aRCR
7	12126 36212	 * 	271.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1RPLT	1RPLT|2AART|39BEXP|4FEWX|5CDMG|6VULN|7aRCR|8MLV
8	12126 36242	   	271.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1RPLT	1RPLT|2AART|3BEXP|4FEWX|5CDMG|6VULN|7aRCR|8MLV|9RCVC
9	12126 36252	   	271.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1RPLT	1RPLT|2AART|3BEXP|4FEWX|5CDMG|6VULN|7aRCR|8MLV|9DMSP
10	51322 13222	   	269.46	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1SELL|2AART|3MLV|4AAC|5DMSP|6VULN|7DUR|8CDMG|9aRCR
11	13144 11211	 * 	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2ERES|39RCVC|4MLV|5DMG|6VULN|7aRCR|8LHND
12	13144 11261	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2ERES|3RCVC|4MLV|5DMG|6VULN|7aRCR|89LHND
13	13144 11311	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2ERES|39RCVC|4MLV|5DMG|6VULN|7aRCR|8LWND
14	13144 11341	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2ERES|3RCVC|4MLV|5DMG|6VULN|7aRCR|89LWND
15	13144 11411	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2ERES|39RCVC|4MLV|5DMG|6VULN|7aRCR|8BEXP
16	33132 16615	 * 	263.99	DCR|DCR|1VULN|2ASPD|1MLV	1LSRICY|23ASPD|4AELOIC|5MLV|6TLV|7aRCR|8MDPS|9VULN
17	51411 52222	   	263.68	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1SELL	1SELL|2AART|3CDMG|4DMG|5LHND|68CGEN|7VULN|9aRCR
18	51411 52322	   	263.68	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1SELL	1SELL|2AART|3CDMG|4DMG|5LHND|6CGEN|7VULN|8RCVC|9aRCR
19	11313 31231	   	261.51	DCR|DCR|1VULN|2ASPD|2RPLT	14RPLT|2LHND|38BEXP|56ASPD|7aRCR|9VULN
20	14113 31631	   	261.51	DCR|DCR|1VULN|2ASPD|2RPLT	14RPLT|2FEWX|3LWND|56ASPD|7aRCR|8DMSP|9VULN
21	13145 11211	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2ERES|39RCVC|4MLV|5ASPD|6VULN|7aRCR|8LHND
22	13145 11261	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2ERES|3RCVC|4MLV|5ASPD|6VULN|7aRCR|89LHND
23	13145 11311	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2ERES|39RCVC|4MLV|5ASPD|6VULN|7aRCR|8LWND
24	13145 11341	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2ERES|3RCVC|4MLV|5ASPD|6VULN|7aRCR|89LWND
25	13145 11411	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2ERES|39RCVC|4MLV|5ASPD|6VULN|7aRCR|8BEXP
26	51321 43222	   	261.15	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1SELL|2AART|3MLV|4AAC|5VULN|6LWND|7RCVC|8CDMG|9aRCR
27	51321 24222	   	261.05	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1SELL|2AART|3MLV|4AAC|5VULN|6ERES|7TLV|8CDMG|9aRCR
28	12624 33362	 * 	260.80	ACR|DCR|2VULN|1CDMG|1AART|1RPLT	1RPLT|2AART|3AME|4aRCR|56VULN|7CDMG|8DUR|9LEGI
29	51123 13222	   	259.69	DCR|DCR|1VULN|2AART|1CDMG|1SELL	1SELL|25AART|3TLV|4AAC|6VULN|7DUR|8CDMG|9aRCR
30	51223 13222	   	259.69	DCR|DCR|1VULN|2AART|1CDMG|1SELL	1SELL|25AART|3CGEN|4AAC|6VULN|7DUR|8CDMG|9aRCR
31	46311 14522	 * 	257.89	DCR|DCR|2VULN|1AART	12DUST|3MBVNT|4ERES|5AART|6RCVC|78VULN|9aRCR
32	51642 13222	   	257.17	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1SELL	1SELL|2AART|3LWND|4ERES|5VULN|6ASPD|7RCVC|8CDMG|9aRCR
33	51662 13222	   	257.17	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1SELL	1SELL|2AART|3LWND|4AME|5VULN|6ASPD|7RCVC|8CDMG|9aRCR
34	11353 31231	   	256.31	DCR|DCR|1VULN|2ASPD|1RPLT	1RPLT|2LHND|38BEXP|4RCVC|56ASPD|7aRCR|9VULN
35	14123 31631	   	256.31	DCR|DCR|1VULN|2ASPD|1RPLT	1RPLT|2FEWX|34LWND|56ASPD|7aRCR|8DMSP|9VULN
36	14153 31631	   	256.31	DCR|DCR|1VULN|2ASPD|1RPLT	1RPLT|2FEWX|3LWND|4RCVC|56ASPD|7aRCR|8DMSP|9VULN
37	14513 31631	   	256.21	DCR|DCR|1VULN|2ASPD|1RPLT	1RPLT|2FEWX|38DMSP|4LEGI|56ASPD|7aRCR|9VULN
