0	Index      	 *	Score 	Summary	Detail	
1	52112 23516	 * 	306.24	DCR|DCR|2VULN|2DMG|2CDMG	18CDMG|23VULN|4TBNT|5FEWX|67DMG|9aRCR
2	63133 63313	 * 	296.81	DCR|DCR|3VULN|2DUR	167VULN|2LHND|3RPLT|47FEWX|57DUR|7BPWR|8TLV|9aRCR
3	63133 63613	   	296.71	DCR|DCR|3VULN|2DUR	167VULN|2LHND|3RPLT|47FEWX|57DUR|7BPWR|8ERES|9aRCR
4	33123 63313	   	296.61	DCR|DCR|3VULN|2DUR	17DUST|2LHND|3RPLT|467VULN|57DUR|7BPWR|8TLV|9aRCR
5	63163 63313	   	296.61	DCR|DCR|3VULN|2DUR	167VULN|2LHND|3RPLT|47DUST|57DUR|7BPWR|8TLV|9aRCR
6	61542 11313	 * 	291.43	DCR|DCR|2VULN|2MLV	13VULN|23FEWX|3BPWR|45MLV|6DUST|7LHND|8RPLT|9aRCR
7	52332 23216	   	286.61	DCR|DCR|2DMG|1VULN|2DUR|1CDMG	1CDMG|2VULN|3MDPS|4FEWX|58DUR|67DMG|9aRCR
8	26162 23216	   	286.51	DCR|DCR|2DMG|1VULN|2DUR|1CDMG	1MDPS|2VULN|3DUST|48DUR|5CDMG|67DMG|9aRCR
9	52362 23216	   	286.51	DCR|DCR|2DMG|1VULN|2DUR|1CDMG	1CDMG|2VULN|3MDPS|4DUST|58DUR|67DMG|9aRCR
10	22254 22316	   	286.37	DCR|DCR|2DMG|1VULN|2CDMG	1MDPS|2FEWX|37DMG|45CDMG|6VULN|8DUR|9aRCR
11	52332 23516	   	286.37	DCR|DCR|2DMG|1VULN|2CDMG	18CDMG|2VULN|3MDPS|4FEWX|5DUR|67DMG|9aRCR
12	52111 51115	   	285.64	DCR|DCR|3VULN|1CDMG	1CDMG|236VULN|4TBNT|56AME|6BPWR|7DMSP|8aRCR|9TLV
13	52111 61115	   	285.64	DCR|DCR|3VULN|1CDMG	1CDMG|236VULN|4TBNT|5AME|7DMSP|8aRCR|9TLV
14	25212 12123	   	285.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1MDPS|2MLV|3CDMG|4TBNT|5DMG|6LWND|7aRCR|8ASPD|9VULN
15	61522 24313	   	284.13	DCR|DCR|2VULN|1MLV	13VULN|23FEWX|3BPWR|4ERES|5MLV|6TLV|7DUR|8RPLT|9aRCR
16	61522 53313	   	284.13	DCR|DCR|2VULN|1MLV	13VULN|23FEWX|3BPWR|4ERES|5MLV|6RPLT|7DUR|8TLV|9aRCR
17	63522 53313	   	284.13	DCR|DCR|2VULN|1MLV	13VULN|23LHND|3BPWR|4ERES|5MLV|6RPLT|7DUR|8TLV|9aRCR
18	52332 63316	   	283.45	DCR|DCR|2VULN|2CDMG|2DUR	17CDMG|26VULN|3MDPS|47FEWX|57DUR|7BPWR|8NUKE|9aRCR
19	52332 63216	   	283.30	DCR|DCR|2VULN|2CDMG|2DUR|1ZMB	17CDMG|26VULN|3MDPS|47FEWX|57DUR|7BPWR|8ZMB|9aRCR
20	61613 16313	   	281.65	DCR|DCR|3VULN	167VULN|2FEWX|3CGEN|4DUST|5LHND|8RPLT|9aRCR
21	22252 22316	   	280.06	DCR|DCR|2DMG|1VULN|1CDMG	1MDPS|25FEWX|37DMG|4CDMG|6VULN|8DUR|9aRCR
22	26252 32316	   	280.06	DCR|DCR|2DMG|1VULN|1CDMG	1MDPS|2VULN|37DMG|4CDMG|5FEWX|6RCVC|8DUR|9aRCR
23	52326 12316	   	279.96	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2VULN|3MDPS|4AELOIC|57DMG|6FEWX|8DUR|9aRCR
24	22254 22136	   	278.06	DCR|DCR|2DMG|1VULN|2CDMG	1MDPS|2FEWX|37DMG|45CDMG|6VULN|8aRCR|9LHND
25	26122 23516	   	277.96	DCR|DCR|2DMG|1VULN|2CDMG	1MDPS|2VULN|3DUST|4LHND|58CDMG|67DMG|9aRCR
26	52322 13316	   	276.60	DCR|DCR|2VULN|2CDMG	17CDMG|27VULN|3MDPS|4AELOIC|5DUR|67DUST|7BPWR|8NUKE|9aRCR
27	52322 13216	   	276.45	DCR|DCR|2VULN|2CDMG|1ZMB	17CDMG|27VULN|3MDPS|4AELOIC|5DUR|67DUST|7BPWR|8ZMB|9aRCR
