0	Index      	 *	Score 	Summary	Detail	
1	26132 71622	 * 	301.37	DCR|DCR|3MLV|1VULN|1DMG|1ASPD	147MLV|2DMG|3VULN|5MBVNT|6TBNT|8ASPD|9aRCR
2	31523 53222	 * 	292.14	DCR|DCR|4VULN	1LEGI|279aVULN|3LIT|49CANARM|59BEXP|68RCR|9BPWR
3	53633 23143	 * 	290.03	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG	1TBNT|2aASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9CDMG
4	53633 23131	   	289.76	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9DUR|aMLV
5	25132 73122	   	287.72	DCR|DCR|3MLV|1VULN|1DMG	148MLV|2AAC|3VULN|5MBVNT|6TBNT|7DMG|9aRCR
6	26132 76122	   	287.72	DCR|DCR|3MLV|1VULN|1DMG	148MLV|2DMG|3VULN|5MBVNT|6TBNT|7AAC|9aRCR
7	26132 86122	   	287.48	DCR|DCR|3MLV|1VULN|1DMG|1ZMB	148MLV|2DMG|3VULN|5MBVNT|6ZMB|7TBNT|9aRCR
8	31523 53263	   	285.54	DCR|DCR|3VULN|1CDMG	1LEGI|27aVULN|3LIT|4CANARM|5BEXP|68RCR|9CDMG
9	31523 53225	   	281.65	DCR|DCR|3VULN	1LEGI|279VULN|3LIT|49CANARM|59BEXP|68RCR|9BPWR|aAART
10	53633 23151	   	281.46	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9FEWX|aMLV
11	53633 23161	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9DUST|aMLV
12	25132 71622	   	281.31	DCR|DCR|3MLV|1VULN|1ASPD	147MLV|2AAC|3VULN|5MBVNT|6TBNT|8ASPD|9aRCR
13	12162 62464	   	280.04	DCR|DCR|2VULN|1ASPD	1ASPD|2ERES|38VULN|4AART|5MBVNT|6aRCR|7RMIN|9DUR
14	31365 23253	   	279.41	DCR|DCR|2VULN|2AART|1CDMG	1LEGI|23VULN|49AART|5CDMG|6aRCR|7DUST|8MSLREG
15	53633 23141	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9CDMG|aBBNT
16	53633 23142	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9CDMG|aCGEN
17	12132 42522	   	274.74	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|257ERES|3VULN|4MLV|6CDMG|8RPLT|9aRCR
18	53633 33113	 * 	274.07	DCR|DCR|2DMG|2ASPD|2DUR	1TBNT|2aASPD|3RPLT|4aDMG|5AAC|6aDUR|78RCR|9RCVC|aBPWR
19	53633 33123	   	274.07	DCR|DCR|2DMG|2ASPD|2DUR	1TBNT|2aASPD|3RPLT|4aDMG|5AAC|6aDUR|78RCR|9DMSP|aBPWR
20	53633 23122	   	273.59	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5aAAC|6VULN|78RCR|9AART
21	53633 23125	   	273.59	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9AART|aLHND
