0	Index      	 *	Score 	Summary	Detail	
1	12152 13531	 * 	269.27	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LWND|2DMG|3VULN|4CDMG|5DUST|6TBNT|7aRCR|8RPLT|9DUR
2	42421 12631	 * 	261.86	DCR|DCR|2VULN|1RPLT	1DUR|24VULN|3BELT|5TBNT|6LWND|7RMIN|8RPLT|9aRCR
3	22412 63316	   	261.76	DCR|DCR|2VULN|1AART	1TLV|2LSRHEA|3LWND|4DUR|5TBNT|6AART|78VULN|9aRCR
4	42421 11631	   	261.76	DCR|DCR|2VULN|1RPLT	1DUR|24VULN|3BELT|5TBNT|6LWND|7ERES|8RPLT|9aRCR
5	42221 52123	 * 	259.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|259VULN|3CDMG|4RMIN|6BEXP|789DMG|9BPWR|aRCR
6	42251 42123	   	259.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249VULN|3CDMG|5BEXP|6RMIN|789DMG|9BPWR|aRCR
7	42252 52123	   	259.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249VULN|3CDMG|5RMIN|6BEXP|789DMG|9BPWR|aRCR
8	23615 26131	   	253.46	DCR|DCR|2VULN|1RPLT	1TLV|2RCVC|38VULN|4BELT|5MDPS|6TBNT|7RPLT|9aRCR
9	26111 65231	   	253.19	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3CGEN|4BELT|5RPLT|6VULN|7TBNT|8DUR|9aRCR
10	26311 65231	   	253.09	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3ERES|4BELT|5RPLT|6VULN|7TBNT|8DUR|9aRCR
11	31563 13613	 * 	252.31	DCR|DCR|3DMG|1ASPD|1ZMB	1AAC|2ZMB|347DMG|5CGEN|6ASPD|8aRCR|9RMIN
12	31563 13623	 * 	252.31	DCR|DCR|3DMG|1ASPD|1ZMB	1AAC|2ZMB|347DMG|5CGEN|6ASPD|8aRCR|9BBNT
13	61261 13531	   	248.97	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1DUST|2LWND|3CDMG|4ZMB|5VULN|6TBNT|7aRCR|8RPLT|9DUR
14	32522 61423	 * 	248.09	DCR|4VULN|1DMG|1MLV|1ASPD	12AAC|3DMG|4MLV|5689VULN|7ASPD|aRCR
15	32522 61623	   	246.52	DCR|3VULN|2DMG|1MLV|1ASPD	12AAC|38DMG|4MLV|569VULN|7ASPD|aRCR
16	12133 78128	 * 	246.44	DCR|2VULN|3DMG|2CDMG|1MLV	19LWND|289DMG|37VULN|4MBVNT|5MLV|69CDMG|9BPWR|aRCR
17	33316 24142	   	246.21	DCR|DCR|1DMG|1MLV|1CDMG|1RPLT	1AAC|2RPLT|3LSRREG|4BASICY|5MLV|69RCR|7VENFST|8CDMG|aDMG
18	34533 44243	   	245.86	DCR|DCR|1VULN|1DMG	1AAC|2ERES|3DMG|4MBVNT|5VULN|6aRCR|7DUR|8TBNT|9CGEN
19	12135 13731	   	245.86	DCR|DCR|1VULN|1DMG	1LWND|2DMG|3VULN|4MBVNT|5BBNT|6AAC|7DUST|8aRCR|9DUR
